tvk,code,taxon
NHMSYS0020308907,1,Aepophilus bonnairei
NHMSYS0000527504,1,Aquarius paludum
NHMSYS0000527519,3,Corixa iberica
NHMSYS0020309118,1,Cryptostemma (Pachycoleus) waltli
NHMSYS0020063202,2,Cymatia rogenhoferi
NHMSYS0020309292,1,Hebrus (Hebrus) pusillus
NHMSYS0000527547,1,Hydrometra gracilenta
NHMSYS0000527550,1,Limnoporus rufoscutellatus
NHMSYS0020309451,1,Micracanthia marginalis
NHMSYS0020309456,2,Micronecta (Micronecta) griseola
NHMSYS0020309457,1,Micronecta (Micronecta) minutissima
NHMSYS0020309464,1,Microvelia (Microvelia) buenoi
NHMSYS0000583218,2,Naucoris maculatus
NHMSYS0020309791,1,Saldula arenicola
NHMSYS0020309793,1,Saldula fucicola
NHMSYS0020309794,1,Saldula melanoscela
NBNSYS0000010348,1,Saldula setulosa
NHMSYS0020309830,1,Sigara (Sigara) striata
NHMSYS0020309836,2,Sigara (Subsigara) iactans
NHMSYS0020309837,2,Sigara (Subsigara) longipalis
