taxon,tvk,km100,km10,coord_system
Aphelocheirus aestivalis,NHMSYS0000527501,NN,50 51 60 70 71 72 80 81 86 90 91 92 95,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,NO,02 03 04 12 13 14 23 24 25 34 35 45 54 55,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,NS,00 10 14 20 21 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 48 50 51 52 53 54 55 57 58 59 61 62 63 64 67 68 69 70 71 72 77 78 79 87 88,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,NW,96 97,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,NX,03 04 05 06 07 08 13 14 15 16 17 18 19 24 25 26 27 28 29 34 35 36 37 38 39 40 44 45 46 47 48 49 54 55 56 57 58 59 64 65 66 67 68 69 74 75 76 77 78 79 84 85 86 87 88 89 90 91 92 93 95 96 97 98,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,NY,00 01 02 03 04 05 06 07 08 10 11 12 13 14 15 16 20 21 22 23 24 25 26 30 31 32 33 34 35 36 37 40 41 42 43 44 45 46 50 51 52 53 54 55 56 63,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SC,49,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SD,08 09 17 18 19 20 28 29 38 39 49,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SE,37 38 45 46 47 52 53 54 55 56 57 60 61 62 63 64 65 66 67 70 71 72 73 74 75 76 77 81 83 84 85 86 87 88 93 94 95 96 97 98,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SH,12 22 23 24 27 28 32 33 36 37 38 39 43 45 46 47 48 50 52 53 56 57 58 61 67 68 70 71 77 78 80 87 88 90 91 94 95 96 97 98,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SJ,00 01 02 03 04 05 06 07 08 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 78 80 81 82 83 84 85 86 87 90 91 92 93,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SK,00 02 03 10 11 13 20 21 22 23 30 60 61 62 65 66 67 68 69 70 71 72 75 76 77 78 79 80 81 82 83 84 88 89 90 91 92 93 94 95 98,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SM,70 71 72 73 81 82 83 90 91 92 93 94,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SN,00 01 02 03 04 10 11 12 13 14 15 20 21 22 23 24 25 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 82 83 84 85 86 87 88 89 90 92 93 94 95 96 97 98 99,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SO,00 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SP,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 50 51 52 53 54 55 56 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SS,10 11 14 20 21 22 30 31 32 40 41 42 43 44 49 50 51 52 53 54 58 59 60 61 62 63 64 68 69 70 71 72 73 74 75 77 79 80 81 82 83 84 88 89 90 91 92 93 94 96 97,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,ST,00 01 02 03 04 06 07 08 09 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SU,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 94 95 96 97 98 99,OSGB
Aphelocheirus aestivalis,NHMSYS0000527501,SW,63 73 74 75 83 84 85 86 87 93 94 95 96 97 98,OSGB
