tvk,code,taxon
NHMSYS0020705529,3,Acanthodelphax denticauda
NHMSYS0020745861,2,Acericerus (Idiocerus) ribauti
NHMSYS0020973325,2,Acericerus heydenii
NHMSYS0020705647,2,Acericerus vittifrons
NHMSYS0020705532,2,Adarrus (Adarrus) multinotatus
NHMSYS0020442286,2,Agallia brachyptera
NHMSYS0020705177,3,Agallia consobrina
NHMSYS0020705182,1,Aguriahana stellulata
NHMSYS0020705184,3,Alebra albostriella
NHMSYS0020705185,3,Alebra coryli
NHMSYS0020745855,3,Alebra viridis
NHMSYS0020705186,3,Alebra wahlbergi
NHMSYS0020705188,2,Allygidius (Allygidius) commutatus
NHMSYS0020705189,2,Allygus mixtus
NHMSYS0020705190,2,Allygus modestus
NHMSYS0020705191,2,Alnetoidea alneti
NHMSYS0020705178,4,Anaceratagallia laevis
NHMSYS0020705179,4,Anaceratagallia ribauti
NHMSYS0020917128,4,Anaceratagallia venosa
NHMSYS0020705193,3,Anakelisia fasciata
NHMSYS0020705194,3,Anakelisia perspicillata
NHMSYS0020322280,2,Anoscopus albifrons
NHMSYS0020705213,4,Anoscopus albiger
NHMSYS0020322282,5,Anoscopus duffieldi
NHMSYS0020705216,1,Anoscopus flavostriatus
NHMSYS0020705217,1,Anoscopus histrionicus
NHMSYS0020917141,2,Anoscopus limicola
NHMSYS0020705219,2,Anoscopus serratulae
NHMSYS0020973343,2,Anoterostemma ivanoffi
NHMSYS0020442289,2,Aphrodes aestuarinus
NHMSYS0020705214,5,Aphrodes bicincta
NHMSYS0020705218,2,Aphrodes makarovi
NHMSYS0020705221,1,Aphrophora alni
NHMSYS0020705222,2,Aphrophora major
NHMSYS0020705223,3,Aphrophora pectoralis
NHMSYS0020705224,3,Aphrophora salicina
NHMSYS0020705226,2,Arboridia parvula
NHMSYS0020705227,4,Arboridia ribauti
NHMSYS0020705229,2,Arocephalus (Ariellus) punctum
NHMSYS0020705231,1,Arthaldeus pascuellus
NHMSYS0020705232,2,Arthaldeus striifrons
NHMSYS0020442293,1,Asiraca clavicornis
NHMSYS0020705240,1,Athysanus argentarius
NHMSYS0020442294,3,Austroagallia sinuata
NHMSYS0020442295,3,Austroasca vittata
NHMSYS0020705244,1,Balclutha punctata
NBNSYS0100001908,4,Balclutha saltuella
