taxon,tvk,start_day,start_month,end_day,end_month,stage
Acanthodelphax denticauda,NHMSYS0020705529,1,4,31,10,mature
Adarrus (Adarrus) multinotatus,NHMSYS0020705532,1,5,31,10,mature
Agallia brachyptera,NHMSYS0020442286,1,7,31,10,mature
Agallia consobrina,NHMSYS0020705177,1,6,31,10,mature
Aguriahana stellulata,NHMSYS0020705182,1,6,31,10,mature
Alebra albostriella,NHMSYS0020705184,1,6,31,10,mature
Alebra coryli,NHMSYS0020705185,1,6,30,9,mature
Alebra viridis,NHMSYS0020745855,1,7,31,10,mature
Alebra wahlbergi,NHMSYS0020705186,1,5,30,9,mature
Allygidius (Allygidius) commutatus,NHMSYS0020705188,1,6,31,10,mature
Allygus mixtus,NHMSYS0020705189,1,6,31,10,mature
Allygus modestus,NHMSYS0020705190,1,6,31,10,mature
Alnetoidea alneti,NHMSYS0020705191,1,5,31,10,mature
Anaceratagallia venosa,NHMSYS0020917128,1,7,31,10,mature
Anakelisia fasciata,NHMSYS0020705193,1,7,31,10,mature
Anakelisia perspicillata,NHMSYS0020705194,1,7,31,10,mature
Anoscopus albifrons,NHMSYS0020322280,1,6,31,10,mature
Anoscopus albiger,NHMSYS0020705213,1,6,30,11,mature
Anoscopus duffieldi,NHMSYS0020322282,1,6,30,9,mature
Anoscopus flavostriatus,NHMSYS0020705216,1,7,30,11,mature
Anoscopus histrionicus,NHMSYS0020705217,1,6,30,9,mature
Anoscopus limicola,NHMSYS0020917141,1,7,30,9,mature
Anoscopus serratulae,NHMSYS0020705219,1,7,31,10,mature
Aphrodes aestuarinus,NHMSYS0020442289,1,7,30,9,mature
Aphrodes aestuarinus,NHMSYS0020442289,1,7,30,9,mature
Aphrodes bicincta,NHMSYS0020705214,1,6,31,10,mature
Aphrodes makarovi,NHMSYS0020705218,1,6,31,10,mature
Aphrophora alni,NHMSYS0020705221,1,6,31,10,mature
Aphrophora major,NHMSYS0020705222,1,7,30,9,mature
Aphrophora pectoralis,NHMSYS0020705223,1,6,30,9,mature
Aphrophora salicina,NHMSYS0020705224,1,6,31,10,mature
Arocephalus (Ariellus) punctum,NHMSYS0020705229,1,6,31,10,mature
Arthaldeus pascuellus,NHMSYS0020705231,1,5,31,10,mature
Arthaldeus striifrons,NHMSYS0020705232,1,6,31,10,mature
Asiraca clavicornis,NHMSYS0020442293,1,4,31,10,mature
Athysanus argentarius,NHMSYS0020705240,1,6,30,9,mature
Austroagallia sinuata,NHMSYS0020442294,1,6,30,9,mature
Austroasca vittata,NHMSYS0020442295,1,5,31,10,mature
Balclutha saltuella,NBNSYS0100001908,1,6,31,10,mature
Batracomorphus allionii,NHMSYS0020745850,1,6,30,9,mature
Batracomorphus irroratus,NBNSYS0100001917,1,6,30,9,mature
Calligypona reyi,NHMSYS0020442299,1,6,30,9,mature
Centrotus cornutus,NHMSYS0020705258,1,5,31,8,mature
Cercopis vulnerata,NHMSYS0020705260,1,5,31,7,mature
Chloriona dorsata,NHMSYS0020442301,1,5,31,8,mature
Chloriona glaucescens,NHMSYS0020705263,1,5,30,9,mature
Chloriona smaragdula,NHMSYS0020705264,1,5,30,9,mature
Chloriona unicolor,NHMSYS0020705265,1,5,31,8,mature
Chloriona vasconica,NHMSYS0020442302,1,5,30,9,mature
Chlorita dumosa,NHMSYS0020442303,1,5,31,10,mature
Chlorita viridula,NBNSYS0000010620,1,7,30,9,mature
Cicadella lasiocarpae,NHMSYS0020442305,1,6,30,9,mature
Cicadella viridis,NHMSYS0020705270,1,7,31,10,mature
Cicadetta montana,NBNSYS0000010417,1,5,31,7,mature
Cicadula (Cicadula) flori,NHMSYS0020705274,1,6,31,10,mature
Cicadula (Cicadula) persimilis,NHMSYS0020705278,1,6,31,10,mature
Cicadula (Cicadula) quadrinotata,NHMSYS0020705279,1,6,31,10,mature
Cicadula (Cicadula) quinquenotata,NHMSYS0020705280,1,7,31,10,mature
Cicadula (Cicadula) saturata,NHMSYS0020705281,1,7,31,10,mature
Cicadula (Cyperana) intermedia,NHMSYS0020705276,1,7,31,10,mature
Cicadula (Cyperana) ornata,NHMSYS0020705277,1,7,30,9,mature
Cicadula (Henriana) frontalis,NHMSYS0020705275,1,7,31,10,mature
Cicadula aurantipes,NHMSYS0020705273,1,7,31,10,mature
Cixius (Acanthocixius) cambricus,NHMSYS0020705284,1,5,30,9,mature
Cixius (Acanthocixius) similis,NHMSYS0020705289,1,5,31,8,mature
Cixius (Ceratocixius) caledonicus,NHMSYS0020705283,1,5,30,9,mature
Cixius (Ceratocixius) cunicularius,NHMSYS0020705285,1,5,30,9,mature
Cixius (Ceratocixius) remotus,NHMSYS0020705288,1,5,30,9,mature
Cixius (Ceratocixius) simplex,NHMSYS0020705290,1,6,31,10,mature
Cixius (Paracixius) distinguendus,NHMSYS0020705286,1,6,31,10,mature
Cixius nervosus,NHMSYS0020705287,1,5,30,9,mature
Colladonus torneellus,NHMSYS0020705292,1,5,31,8,mature
Conomelus anceps,NHMSYS0020705295,1,6,31,10,mature
Conosanus obsoletus,NHMSYS0020705297,1,7,31,10,mature
Cosmotettix (Airosus) costalis,NHMSYS0020705300,1,6,31,10,mature
Cosmotettix (Cosmotettix) caudatus,NHMSYS0020705299,1,6,30,9,mature
Cosmotettix (Cosmotettix) panzeri,NHMSYS0020705301,1,7,31,10,mature
