tvk,code,taxon
NHMSYS0000875032,2,Agenioideus sericeus
NHMSYS0000875052,1,Ancistrocerus quadratus
NHMSYS0000875115,1,Andrena (Micrandrena) proxima
NHMSYS0000875126,1,Andrena (Plastandrena) pilipes
NHMSYS0000875157,1,Andrena alfkenella
NHMSYS0000875162,1,Andrena apicata
NHMSYS0000875164,1,Andrena argentata
NHMSYS0000875181,1,Andrena coitana
NBNSYS0000009676,1,Andrena congruens
NHMSYS0000875199,1,Andrena falsifica
NHMSYS0000875201,1,Andrena ferox
NHMSYS0000875204,1,Andrena floricola
NHMSYS0000875208,1,Andrena fulvago
NHMSYS0000875213,2,Andrena gravida
NHMSYS0000875216,1,Andrena hattorfiana
NHMSYS0000875226,1,Andrena lathyri
NHMSYS0000875227,1,Andrena lepida
NHMSYS0000875232,1,Andrena marginata
NHMSYS0000875238,1,Andrena nana
NHMSYS0000875240,1,Andrena nanula
NHMSYS0000875241,1,Andrena nigriceps
NHMSYS0000875244,1,Andrena nigrospina
NBNSYS0100001525,1,Andrena nitidiuscula
NHMSYS0000875247,1,Andrena niveata
NHMSYS0000875256,1,Andrena polita
NHMSYS0000875262,1,Andrena rosae
NHMSYS0000875264,1,Andrena ruficrus
NHMSYS0000875273,1,Andrena similis
NHMSYS0000875274,1,Andrena simillima
NHMSYS0000875281,1,Andrena tarsata
NHMSYS0000875283,1,Andrena tibialis
NHMSYS0000875284,1,Andrena tridentata
NHMSYS0000875286,1,Andrena vaga
NHMSYS0000875287,1,Andrena varians
NHMSYS0000875294,1,Anergates atratulus
NHMSYS0000875304,1,Anoplius caviventris
NHMSYS0000875305,1,Anoplius concinnus
NHMSYS0000875408,1,Anthophora quadrimaculata
NHMSYS0000875409,1,Anthophora retusa
NBNSYS0000009434,1,Aporus unicolor
NBNSYS0000009417,1,Arachnospila consobrina
NHMSYS0000875439,1,Arachnospila minutula
NBNSYS0000009422,1,Arachnospila rufa
NBNSYS0000009419,1,Arachnospila wesmaeli
NHMSYS0000875445,1,Argogorytes fargeii
NHMSYS0000875550,1,Bombus cullumanus
NHMSYS0000875554,1,Bombus distinguendus
NHMSYS0000875563,2,Bombus humilis
NHMSYS0000875572,2,Bombus muscorum
NHMSYS0000875577,1,Bombus pomorum
NHMSYS0000875582,2,Bombus ruderarius
NHMSYS0000875583,2,Bombus ruderatus
NHMSYS0000875592,1,Bombus subterraneus
NHMSYS0000875593,2,Bombus sylvarum
NHMSYS0000875631,2,Cerceris quadricincta
NHMSYS0000875632,2,Cerceris quinquefasciata
NHMSYS0000875635,1,Cerceris sabulosa
NHMSYS0000875637,1,Ceropales maculata
NHMSYS0000875638,1,Ceropales variegata
NHMSYS0000875658,1,Chrysis fulgida
NHMSYS0000875659,1,Chrysis gracillima
NHMSYS0000875662,1,Chrysis illigeri
NHMSYS0000875664,1,Chrysis longula
NHMSYS0000875667,1,Chrysis pseudobrevitarsis
NHMSYS0000875668,1,Chrysis ruddii
NHMSYS0000875670,1,Chrysis schencki
NHMSYS0000875676,1,Chrysura hirsuta
NHMSYS0000875679,1,Chrysura radians
NHMSYS0000875681,1,Cleptes nitidulus
NHMSYS0000875683,1,Cleptes semiauratus
NHMSYS0000875697,1,Coelioxys afra
NHMSYS0000875701,1,Coelioxys inermis
NHMSYS0000875702,1,Coelioxys mandibularis
NHMSYS0000875703,1,Coelioxys quadridentata
NHMSYS0000875704,1,Coelioxys rufescens
NHMSYS0000875722,2,Colletes cunicularius
NHMSYS0000875724,1,Colletes floralis
NHMSYS0000875726,1,Colletes halophilus
NHMSYS0000875727,1,Colletes marginatus
NHMSYS0000875735,1,Crabro scutellatus
NHMSYS0000875777,1,Crossocerus binotatus
NHMSYS0000875782,1,Crossocerus congener
NHMSYS0000875786,1,Crossocerus exiguus
NHMSYS0000875791,1,Crossocerus leucostomus
NHMSYS0000875797,1,Crossocerus palmipes
NHMSYS0000875804,1,Crossocerus styrius
NHMSYS0000875806,1,Crossocerus vagabundus
NHMSYS0000875810,1,Crossocerus walkeri
NHMSYS0000875815,2,Cryptocheilus notatus [Genus inferred]
NBNSYS0100002844,1,Didineis lunicornis
NHMSYS0000875825,1,Dinetus pictus
NHMSYS0000875828,1,Diodontus insidiosus
NHMSYS0000875831,1,Diodontus tristis
NBNSYS0000009395,1,Dipogon bifasciatus
NHMSYS0000875860,1,Dufourea halictula
NBNSYS0000009745,1,Dufourea minuta
NHMSYS0000875877,1,Ectemnius borealis
NBNSYS0000009512,1,Ectemnius sexcinctus
NHMSYS0020936558,1,Episyron gallicum
NHMSYS0000875930,1,Eucera longicornis
NHMSYS0000875931,1,Eucera nigrescens
NHMSYS0000875934,1,Eumenes coarctatus
NBNSYS0100003105,2,Eumenes papillarius
NHMSYS0000875939,1,Euodynerus quadrifasciatus
NHMSYS0000875943,1,Evagetes dubius
NHMSYS0000875944,2,Evagetes pectinipes
NHMSYS0000875949,1,Formica aquilonia
NHMSYS0000875953,1,Formica exsecta
NHMSYS0000875960,1,Formica picea [Genus inferred]
NHMSYS0000875961,1,Formica pratensis
NHMSYS0000875964,1,Formica rufibarbis
NHMSYS0000875971,1,Formicoxenus nitidulus
NHMSYS0000876005,2,Gorytes laticinctus
NBNSYS0000009446,1,Gymnomerus laevipes
NHMSYS0000876021,1,Halictus confusus
