taxon,tvk,start_day,start_month,end_day,end_month,stage
Agenioideus cinctellus,NBNSYS0000009414,1,5,30,9,mature
Agenioideus sericeus,NHMSYS0000875032,1,6,31,8,mature
Allepyris microneurus,NHMSYS0020936521,1,7,31,10,mature
Ammophila pubescens,NHMSYS0000875038,1,5,30,9,mature
Ammophila sabulosa,NHMSYS0000875039,1,4,31,10,mature
Ancistrocerus antilope,NHMSYS0000875042,1,5,30,6,mature
Ancistrocerus gazella,NHMSYS0000875045,1,3,31,10,mature
Ancistrocerus nigricornis,NHMSYS0000875046,1,1,31,10,mature
Ancistrocerus oviventris,NBNSYS0000009451,1,4,30,11,mature
Ancistrocerus parietinus,NHMSYS0000875049,1,1,31,10,mature
Ancistrocerus parietum,NHMSYS0000875050,1,3,31,10,mature
Ancistrocerus scoticus,NHMSYS0000875053,1,4,30,9,mature
Ancistrocerus trifasciatus,NHMSYS0000875054,1,4,31,10,mature
Andrena (Micrandrena) proxima,NHMSYS0000875115,1,3,31,7,mature
Andrena (Plastandrena) pilipes,NHMSYS0000875126,1,4,31,12,mature
Andrena alfkenella,NHMSYS0000875157,1,3,30,9,mature
Andrena angustior,NHMSYS0000875161,1,3,31,8,mature
Andrena apicata,NHMSYS0000875162,1,3,30,6,mature
Andrena argentata,NHMSYS0000875164,1,6,30,9,mature
Andrena barbilabris,NHMSYS0000875170,1,3,30,9,mature
Andrena bicolor,NHMSYS0000875171,1,2,30,9,mature
Andrena bimaculata,NHMSYS0000875172,1,2,31,8,mature
Andrena bucephala,NHMSYS0000875173,1,3,30,6,mature
Andrena carantonica misident.,NHMSYS0020936534,1,2,30,11,mature
Andrena chrysosceles,NHMSYS0000875176,1,2,31,12,mature
Andrena cineraria,NHMSYS0000875177,1,1,31,10,mature
Andrena clarkella,NHMSYS0000875179,1,2,31,8,mature
Andrena coitana,NHMSYS0000875181,1,4,30,9,mature
Andrena congruens,NBNSYS0000009676,1,4,30,9,mature
Andrena denticulata,NHMSYS0000875192,1,6,30,9,mature
Andrena dorsata,NHMSYS0000875195,1,3,30,11,mature
Andrena falsifica,NHMSYS0000875199,1,4,31,8,mature
Andrena ferox,NHMSYS0000875201,1,4,30,6,mature
Andrena flavipes,NHMSYS0000875202,1,2,30,11,mature
Andrena florea,NHMSYS0000875203,1,4,31,8,mature
Andrena fucata,NHMSYS0000875206,1,3,31,8,mature
Andrena fulva,NHMSYS0000875207,1,2,31,12,mature
Andrena fulvago,NHMSYS0000875208,1,4,31,12,mature
Andrena fuscipes,NHMSYS0000875212,1,4,30,11,mature
Andrena gravida,NHMSYS0000875213,1,3,30,6,mature
Andrena haemorrhoa,NHMSYS0000875215,1,1,30,9,mature
Andrena hattorfiana,NHMSYS0000875216,1,6,30,9,mature
Andrena helvola,NHMSYS0000875217,1,3,31,8,mature
Andrena humilis,NHMSYS0000875218,1,4,31,8,mature
Andrena labialis,NHMSYS0000875221,1,3,31,8,mature
Andrena labiata,NHMSYS0000875222,1,4,31,7,mature
Andrena lapponica,NHMSYS0000875224,1,3,31,8,mature
Andrena lathyri,NHMSYS0000875226,1,4,31,7,mature
Andrena lepida,NHMSYS0000875227,1,7,31,8,mature
Andrena marginata,NHMSYS0000875232,1,6,31,10,mature
Andrena minutula,NHMSYS0000875234,1,3,31,10,mature
Andrena minutuloides,NHMSYS0000875235,1,3,30,9,mature
Andrena nana,NHMSYS0000875238,1,4,31,7,mature
Andrena nigriceps,NHMSYS0000875241,1,6,31,8,mature
Andrena nigroaenea,NHMSYS0000875243,1,3,30,9,mature
Andrena nigrospina,NHMSYS0000875244,1,4,31,8,mature
Andrena nitida preocc. [Genus inferred],NHMSYS0000875245,1,2,31,7,mature
Andrena nitidiuscula,NBNSYS0100001525,1,6,30,9,mature
Andrena niveata,NHMSYS0000875247,1,5,31,7,mature
Andrena ovatula,NHMSYS0000875249,1,3,31,12,mature
Andrena pilipes sensu lato,NHMSYS0020936540,1,4,30,9,mature
Andrena polita,NHMSYS0000875256,1,7,31,7,mature
Andrena praecox,NHMSYS0000875257,1,3,31,7,mature
Andrena rosae,NHMSYS0000875262,1,4,31,8,mature
Andrena ruficrus,NHMSYS0000875264,1,3,30,6,mature
Andrena semilaevis,NHMSYS0000875269,1,4,30,9,mature
Andrena similis,NHMSYS0000875273,1,3,31,7,mature
Andrena simillima,NHMSYS0000875274,1,6,30,9,mature
Andrena subopaca,NHMSYS0000875279,1,3,31,10,mature
Andrena synadelpha,NHMSYS0000875280,1,3,30,9,mature
Andrena tarsata,NHMSYS0000875281,1,6,30,9,mature
Andrena thoracica,NHMSYS0000875282,1,3,30,9,mature
Andrena tibialis,NHMSYS0000875283,1,3,31,7,mature
Andrena tridentata,NHMSYS0000875284,1,7,31,8,mature
Andrena trimmerana,NHMSYS0000875285,1,3,31,12,mature
Andrena vaga,NHMSYS0000875286,1,4,30,4,mature
Andrena varians,NHMSYS0000875287,1,3,31,7,mature
Andrena wilkella,NHMSYS0000875290,1,3,31,12,mature
Anergates atratulus,NHMSYS0000875294,1,4,30,9,mature
Anoplius caviventris,NHMSYS0000875304,1,4,30,9,mature
Anoplius concinnus,NHMSYS0000875305,1,5,30,9,mature
Anoplius infuscatus,NHMSYS0000875307,1,4,30,9,mature
Anoplius nigerrimus,NHMSYS0000875308,1,4,31,10,mature
Anoplius viaticus,NHMSYS0000873209,1,2,30,11,mature
Anteon arcuatum,NHMSYS0000875314,1,5,31,7,mature
Anteon brachycerum,NHMSYS0000875317,1,4,30,6,mature
Anteon ephippiger,NHMSYS0000875331,1,6,30,9,mature
Anteon exiguum,NBNSYS0100001577,1,6,31,8,mature
Anteon flavicorne,NHMSYS0000875333,1,5,31,7,mature
Anteon fulviventre,NHMSYS0000875338,1,5,30,9,mature
Anteon gaullei,NHMSYS0000875341,1,6,31,8,mature
Anteon infectum,NHMSYS0000875346,1,5,31,8,mature
Anteon jurineanum,NHMSYS0000875347,1,5,31,7,mature
Anteon pubicorne,NHMSYS0000875365,1,3,31,8,mature
Anteon reticulatum,NHMSYS0000875367,1,7,31,7,mature
Anteon scapulare,NHMSYS0000875369,1,5,31,7,mature
Anteon tripartitum,NHMSYS0000875378,1,5,31,8,mature
Anthidium manicatum,NHMSYS0000875389,1,3,30,9,mature
Anthophora bimaculata,NHMSYS0000875402,1,5,30,9,mature
Anthophora furcata,NHMSYS0000875403,1,4,31,10,mature
Anthophora plumipes,NHMSYS0000875407,1,1,31,8,mature
Anthophora quadrimaculata,NHMSYS0000875408,1,3,30,9,mature
Anthophora retusa,NHMSYS0000875409,1,3,31,8,mature
Aphelopus atratus,NHMSYS0000875415,1,5,30,9,mature
Aphelopus melaleucus,NHMSYS0000875419,1,4,30,9,mature
Aphelopus nigriceps,NHMSYS0000875420,1,5,30,6,mature
Aphelopus querceus,NBNSYS0100001612,1,6,31,7,mature
Aphelopus serratus,NHMSYS0000875421,1,5,31,8,mature
Apis mellifera,NHMSYS0000875423,1,1,30,11,mature
Aporus unicolor,NBNSYS0000009434,1,7,30,9,mature
Arachnospila anceps,NBNSYS0000009416,1,4,31,10,mature
Arachnospila consobrina,NBNSYS0000009417,1,6,31,8,mature
Arachnospila minutula,NHMSYS0000875439,1,5,30,9,mature
Arachnospila rufa,NBNSYS0000009422,1,6,30,9,mature
Arachnospila spissa,NHMSYS0000875440,1,4,30,9,mature
Arachnospila trivialis,NBNSYS0000009418,1,4,31,10,mature
Arachnospila wesmaeli,NBNSYS0000009419,1,5,30,9,mature
Argogorytes fargeii,NHMSYS0000875445,1,5,31,8,mature
Argogorytes mystaceus,NHMSYS0000875446,1,4,31,10,mature
Astata boops,NHMSYS0000875449,1,5,31,10,mature
Auplopus carbonarius,NBNSYS0000009398,1,4,31,10,mature
Bethylus boops,NHMSYS0000875457,1,4,31,12,mature
Bethylus dendrophilus,NHMSYS0000875459,1,6,30,9,mature
Bethylus fuscicornis,NHMSYS0000875461,1,2,31,10,mature
Bombus (Bombus) lucorum,NHMSYS0000875473,1,3,30,9,mature
Bombus barbutellus,NBNSYS0100002024,1,3,31,10,mature
Bombus bohemicus,NBNSYS0100002025,1,1,30,11,mature
Bombus campestris,NHMSYS0000875546,1,4,30,11,mature
Bombus cryptarum,NBNSYS0100002027,1,3,30,11,mature
Bombus cullumanus,NHMSYS0000875550,1,5,30,9,mature
Bombus distinguendus,NHMSYS0000875554,1,1,31,10,mature
Bombus humilis,NHMSYS0000875563,1,1,30,11,mature
Bombus hypnorum,NHMSYS0000875564,1,1,30,11,mature
Bombus jonellus,NHMSYS0000875565,1,2,30,11,mature
Bombus magnus,NBNSYS0000009837,1,3,31,12,mature
Bombus monticola,NHMSYS0000875571,1,2,30,11,mature
Bombus muscorum,NHMSYS0000875572,1,1,31,10,mature
Bombus ruderarius,NHMSYS0000875582,1,3,31,10,mature
Bombus ruderatus,NHMSYS0000875583,1,2,31,10,mature
Bombus rupestris,NBNSYS0100002028,1,2,30,9,mature
Bombus soroeensis,NHMSYS0000875588,1,4,31,10,mature
