taxon,tvk,km100,km10,coord_system
Agenioideus cinctellus,NBNSYS0000009414,SE,40 60 61,OSGB
Agenioideus cinctellus,NBNSYS0000009414,SJ,00 01 06 07 10 11 12 14 15 16 17 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 37 40 41 42 43 44 45 46 50 51 52 53 54 55 57 60 61 62 63 64 65 70 71 72 73 74 75 80 81 82 83 85 90 91 92 93 94 95 96,OSGB
Agenioideus cinctellus,NBNSYS0000009414,SK,00 01 02 03 04 05 06 10 11 12 20 21 22 23 24 30 31 32 33 34 40 41 42 43 50 51 52 60 61 69 70 71 80 81 90 91 92 93,OSGB
Agenioideus cinctellus,NBNSYS0000009414,SM,70 72 80 90 91 93,OSGB
Agenioideus cinctellus,NBNSYS0000009414,SN,00 10 14 20 25 30 31 40 41 50 98,OSGB
Agenioideus cinctellus,NBNSYS0000009414,SO,04 05 06 08 09 14 16 18 19 23 24 25 26 27 28 29 33 34 35 36 37 38 39 43 44 45 46 47 48 49 50 54 55 56 57 58 59 60 65 66 67 68 69 70 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Agenioideus cinctellus,NBNSYS0000009414,SP,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 82 84 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Agenioideus cinctellus,NBNSYS0000009414,SR,89 99,OSGB
Agenioideus cinctellus,NBNSYS0000009414,SS,09 10 11 14 19 20 21 22 38 39 42 43 44 48 49 53 58 59 68 69 77 78 79 84 87 88 94,OSGB
Agenioideus cinctellus,NBNSYS0000009414,ST,06 13 14 16 17 21 22 23 24 25 27 28 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
