tvk,code,taxon
NBNSYS0000015870,2,Abrothallus bertianus
NHMSYS0001472729,2,Abrothallus caerulescens
BMSSYS0000000001,2,Abrothallus cetrariae
NHMSYS0000361125,2,Abrothallus cladoniae
NBNSYS0000015872,2,Abrothallus microspermus
NBNSYS0000015873,2,Abrothallus parmeliarum
NHMSYS0000361129,2,Abrothallus prodiens
NBNSYS0000015874,2,Abrothallus suecicus
NBNSYS0000015875,2,Abrothallus usneae
NHMSYS0000361132,2,Abrothallus welwitschii
NHMSYS0001472735,4,Absconditella annexa
NHMSYS0001472736,4,Absconditella celata
NHMSYS0001472737,3,Absconditella delutula
NHMSYS0001472738,4,Absconditella lignicola
NHMSYS0001472740,4,Absconditella pauxilla
NHMSYS0001472741,4,Absconditella sphagnorum
NHMSYS0001472742,4,Absconditella trivialis
NHMSYS0001472768,5,Acarospora admissa
BMSSYS0000000050,5,Acarospora anomala
NBNSYS0000018150,4,Acarospora badiofusca
NHMSYS0001472769,4,Acarospora benedarensis
NHMSYS0001472772,2,Acarospora cervina
NBNSYS0000041599,5,Acarospora durietzii
NHMSYS0000361149,1,Acarospora fuscata
NBNSYS0000018151,2,Acarospora glaucocarpa
NBNSYS0000018154,2,Acarospora impressula
NHMSYS0001472781,4,Acarospora macrospora subsp. macrospora
BMSSYS0000000058,5,Acarospora macrospora subsp. murorum
NHMSYS0020989682,2,Acarospora moenium
NBNSYS0000018156,3,Acarospora nitrophila sensu auct. brit.
NBNSYS0000039553,3,Acarospora rhizobola
NHMSYS0001472793,2,Acarospora sinopica
NBNSYS0000018162,4,Acarospora subrufula
NHMSYS0020989687,2,Acarospora umbilicata f. congredians
NHMSYS0001472799,4,Acarospora veronensis
NHMSYS0001472844,5,Acremonium lichenicola
NHMSYS0001472845,5,Acremonium pedatum
NHMSYS0001472846,5,Acremonium rhabdosporum
NBNSYS0000019873,4,Acrocordia cavata
NHMSYS0001472853,2,Acrocordia conoidea
NHMSYS0001472854,2,Acrocordia gemmata
NBNSYS0000019876,3,Acrocordia macrospora
NBNSYS0000019877,2,Acrocordia salweyi
NHMSYS0020989689,5,Acrocordia subglobosa
NBNSYS0000020194,4,Adelococcus alpestris
NHMSYS0001472888,4,Adelococcus interlatens
NBNSYS0000018706,3,Adelolecia pilati
NBNSYS0000020618,4,Agonimia allobata
NHMSYS0020989690,4,Agonimia flabelliformis
BMSSYS0000001190,4,Agonimia gelatinosa
NHMSYS0001474230,4,Agonimia globulifera
NBNSYS0000020586,4,Agonimia octospora
NHMSYS0020038989,4,Agonimia opuntiella
BMSSYS0000001192,4,Agonimia repleta
NBNSYS0000020587,1,Agonimia tristicula
NBNSYS0000018166,1,Agyrium rufum
NHMSYS0001474269,3,Ainoa mooreana
NBNSYS0000018167,1,Alectoria nigricans
NBNSYS0000018168,3,Alectoria ochroleuca
NHMSYS0001474319,2,Alectoria sarmentosa subsp. sarmentosa
NBNSYS0000018170,2,Alectoria sarmentosa subsp. vexillifera
NBNSYS0000018171,2,Allantoparmelia alpicola
NHMSYS0020989708,2,Amandinea coniops
NHMSYS0020989709,2,Amandinea pelidna
BMSSYS0000001357,1,Amandinea punctata
NHMSYS0020987448,4,Ameliella andreaeicola
NHMSYS0020987450,4,Ameliella grisea
NHMSYS0020987452,4,Amygdalaria consentiens
NBNSYS0000018172,2,Amygdalaria pelobotryon
NHMSYS0001474601,2,Anaptychia ciliaris subsp. ciliaris
NBNSYS0000018174,3,Anaptychia ciliaris subsp. mamillata
NHMSYS0001474607,1,Anaptychia runcinata
NHMSYS0001474641,2,Anisomeridium biforme
BMSSYS0000001474,2,Anisomeridium polypori
NHMSYS0001474644,2,Anisomeridium ranunculosporum
NHMSYS0020534994,3,Anisomeridium robustum
BMSSYS0000001475,3,Anisomeridium viridescens
NHMSYS0020535000,3,Antennulariella lichenisata
NBNSYS0000018176,4,Aphanopsis coenosa
NBNSYS0000018177,3,Arctomia delicatula
NBNSYS0000142224,1,Arctoparmelia incurva
NHMSYS0020989713,3,Arrhenia peltigerina
NHMSYS0001474921,3,Arthonia almquistii
NBNSYS0000039557,3,Arthonia amylospora
