"taxon","tvk","km100","km10","coord_system"
"Armadillidium nasatum","NBNSYS0000008569","SE","30 40 50","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SJ","40 50 51 60 61 70 71","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SK","27 28 29 30 31 36 37 38 39 40 41 46 47 48 49 50 51 52 56 57 58 59 60 61 62 63 67 68 69 70 71 72 73 80 81 82 83 90 91 92 93","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SM","60 70 71 80 81 82 90 91 92","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SN","00 01 02 03 04 10 11 13 14 15 20 21 22 23 24 25 30 31 32 34 35 36 40 41 42 44 45 46 50 51 52 54 55 56 57 60 61 62 70 71 72 80 90 94 95 96","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SO","00 02 03 04 05 06 10 11 12 13 14 15 16 20 21 22 23 24 30 31 32 33 34 35 40 41 42 43 44 45 48 49 50 51 52 53 54 55 58 59 60 61 62 68 69 70 71 72 73 74 79 80 81 82 83 84 90 91 92 93 94","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SP","00 01 02 03 04 05 12 13 14 15 22 23 24 25 26 27 35 36 37 39 40 41 42 43 45 46 47 48 49 50 51 52 53 58 59 60 61 62 63 68 69 79 89 99","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SR","89 99","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SS","09 19 32 38 39 42 43 44 48 49 52 53 54 58 59 60 68 69 70 77 78 79 80 81 82 83 87 88 89 90 91 92 93 94 96 97 98 99","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","ST","00 01 02 03 04 06 07 08 09 10 11 12 13 14 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 44 45 46 47 48 49 50 54 55 56 57 58 59 63 64 65 66 67 68 69 73 74 75 76 77 78 79 83 84 85 86 87 88 89 90 91 92 94 95 96 97 98 99","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SU","00 01 02 05 06 07 08 09 10 11 12 15 16 17 46 47 48 49 50 51 55 56 57 58 59 60 61 65 66 67 68 69 70 71 75 76 77 78 79 80 85 86 87 88 89 90 93 94 95","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SW","43 44 52 53 54 61 62 63 64 65 71 72 73 81 82 83 84 85 86 94 95 96","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SX","04 05 06 44 45 46 54 55 56 64 65 66 67 68 69 76 77 78 79 86 87 88 89 96 97 98 99","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SY","07 08 09 18 19 28 29 38 39 48 49 58 59 66 67 68 77 78 87 88 89 97 98 99","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","SZ","07 08 09 59 69 79 89 99","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","TF","00 01 02 03 10 11 12 61 62 63 71 72 73 81 82 83","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","TG","00 01 10 11 20 21","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","TL","00 01 02 09 10 11 12 20 21 22 26 27 28 30 36 37 38 40 41 42 46 47 48 50 51 52 53 60 61 62 63 64 70 71 72 73 74 75 80 81 82 83 84 85 90 91 92 93 94 95","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","TM","00 01 02 03 04 05 09 10 11 12 13 14 15 16 19 20 21 22 23 24 25 26 29 33 34 35 36 44 45","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","TQ","03 04 05 06 07 08 09 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 91 92 94 95 96 97 98 99","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","TR","01 02 04 05 06 07 08 09 12 13 14 15 16 23 24 25 26 27 33 34 35 36 37 46 47","OSGB"
"Armadillidium nasatum","NBNSYS0000008569","TV","49 59 69 79","OSGB"
"Nothogeophilus turki","MM0001Z1ZT0011Z1","SV","81 91","OSGB"
"Nothogeophilus turki","MM0001Z1ZT0011Z1","SZ","38 59","OSGB"
"Prosopodesmus panporus","NBNSYS0000011366","TQ","17","OSGB"
"Lamyctes caeculus","NHMSYS0020108919","NS","66","OSGB"
"Lamyctes caeculus","NHMSYS0020108919","SN","51","OSGB"
"Lamyctes caeculus","NHMSYS0020108919","SX","05","OSGB"
"Lamyctes caeculus","NHMSYS0020108919","TL","45","OSGB"
"Reductoniscus costulatus","NHMSYS0020302570","TQ","17","OSGB"
"Scutigera coleoptrata","NBNSYS0000011447","SD","33","OSGB"
"Scutigera coleoptrata","NBNSYS0000011447","SP","07 10","OSGB"
"Scutigera coleoptrata","NBNSYS0000011447","ST","36 38 86","OSGB"
"Scutigera coleoptrata","NBNSYS0000011447","SU","47 89 95","OSGB"
"Scutigera coleoptrata","NBNSYS0000011447","SX","56","OSGB"
"Scutigera coleoptrata","NBNSYS0000011447","SY","67","OSGB"
"Scutigera coleoptrata","NBNSYS0000011447","TM","36 59","OSGB"
"Scutigera coleoptrata","NBNSYS0000011447","TQ","28 38 75 83","OSGB"
"Scutigera coleoptrata","NBNSYS0000011447","TR","37","OSGB"
"Trichoniscoides helveticus","NHMSYS0001593924","SO","82 83 84 85 92 93 94 95","OSGB"
"Trichoniscoides helveticus","NHMSYS0001593924","SP","02 03 04 05 30 31 33 34 35 36 40 41 43 44 45 46 50 51 53 54 55 56 60 70 80 91 92 93","OSGB"
"Trichoniscoides helveticus","NHMSYS0001593924","SU","39 48 49 58 59 67 68 69 70 71 72 77 78 79 80 81 82 87 88 89 90 91 92","OSGB"
"Trichoniscoides helveticus","NHMSYS0001593924","TL","01 02 03 11 12 13 14 15 16 24 25 26 34 35 36 43 44 45 53 54 55 63 64 65","OSGB"
"Proasellus meridianus","NBNSYS0000186055","ND","15 16 17 25 26 27 35 36 37","OSGB"
"Proasellus meridianus","NBNSYS0000186055","NO","30 31 40 41 50 51","OSGB"
"Proasellus meridianus","NBNSYS0000186055","NR","94 95 96 97","OSGB"
"Proasellus meridianus","NBNSYS0000186055","NS","04 05 06 07 14 15 16 17","OSGB"
"Proasellus meridianus","NBNSYS0000186055","NT","05 06 07 15 16 17 25 26 27 37 38 39 47 48 49 57 58 59","OSGB"
"Proasellus meridianus","NBNSYS0000186055","NX","90 91 92 93","OSGB"
"Proasellus meridianus","NBNSYS0000186055","NY","00 01 02 03 04 05 06 10 11 12 13 14 15 16 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 48 50 52 53 54 55 56 60 61 62 63 64 65 66 67 70 71 72 75 76 77 80 81 82 85 86 87","OSGB"
"Proasellus meridianus","NBNSYS0000186055","NZ","10 11 12 13 20 21 22 23 24 30 31 32 33 34 40 41 42 43 44 50 51 52 60 61 70 71 80 81 90 91","OSGB"
