taxon,tvk,start_day,start_month,end_day,end_month,stage
Acrothrix gracilis,NBNSYS0000173597,1,6,30,9,*
Anotrichium barbatum,NHMSYS0000567770,1,5,31,10,*
Anotrichium furcellatum,NHMSYS0000567771,1,9,30,11,*
Arthrocladia villosa,NBNSYS0000173960,1,6,30,9,*
Cladosiphon contortus,NBNSYS0000180543,1,6,30,9,*
Cladosiphon zosterae,NHMSYS0000567891,1,6,30,9,*
Compsonema microspongium,NHMSYS0000567910,1,6,30,11,*
Compsonema saxicolum,NHMSYS0000377561,1,4,31,10,*
Corynophlaea crispa,NBNSYS0000174715,1,4,30,9,*
Erythropeltis discigera subsp. flustrae,NHMSYS0000377570,1,4,30,11,*
Helminthora divaricata,NHMSYS0000568204,1,6,30,9,*
Myriactula areschougii,NHMSYS0000568028,1,6,31,10,*
Myriactula chordae,NBNSYS0000184416,1,5,30,9,*
Myriactula haydenii,NBNSYS0000184417,1,6,30,9,*
Myriactula rivulariae,NHMSYS0000568030,1,7,30,9,*
Myriactula stellulata,NBNSYS0000184419,1,6,30,9,*
Myrionema magnusii,NBNSYS0000184426,1,5,30,9,*
Myrionema papillosum,NBNSYS0000176585,1,7,31,10,*
Porphyra amplissima,NHMSYS0000568111,1,5,30,11,*
Porphyra drachii,NHMSYS0000568113,1,6,31,8,*
Porphyra leucosticta,NBNSYS0000188765,1,4,30,9,*
Porphyra linearis,NBNSYS0000188766,1,11,30,4,*
Sauvageaugloia griffithsiana,NHMSYS0000377614,1,6,30,9,*
Spermatochnus paradoxus,NBNSYS0000178034,1,5,30,9,*
Stictyosiphon griffithsianus,NHMSYS0000568347,1,5,30,9,*
Stictyosiphon soriferus,NBNSYS0000178169,1,4,30,9,*
Stilophora tenella,NHMSYS0000568349,1,6,30,9,*
