tvk,value_code,taxon
NHMSYS0021143568,1,Aglais io
NHMSYS0000501034,1,Aglais urticae
NHMSYS0000516186,1,Anthocharis cardamines
NHMSYS0000501116,1,Apatura iris
NHMSYS0000501120,1,Aphantopus hyperantus
NHMSYS0000501147,1,Aporia crataegi
NHMSYS0000501166,1,Araschnia levana
NHMSYS0021459983,2,Fabriciana adippe
NHMSYS0000501356,1,Argynnis paphia
NHMSYS0021143605,2,Aricia agestis
NHMSYS0000516231,2,Aricia artaxerxes
NHMSYS0000501513,2,Boloria euphrosyne
NHMSYS0021143547,2,Boloria selene
NBNSYS0100002143,1,Cacyreus marshalli
NHMSYS0000501598,1,Callophrys rubi
NHMSYS0000501644,1,Carterocephalus palaemon
NHMSYS0000516260,1,Celastrina argiolus
NHMSYS0000519083,1,Coenonympha pamphilus
NHMSYS0000519078,1,Coenonympha tullia
NHMSYS0021143487,3,Colias alfacariensis
NHMSYS0000501953,1,Colias croceus
NHMSYS0000501954,3,Colias hyale
NHMSYS0020825929,2,Cupido argiades
NHMSYS0000502045,1,Cupido minimus
NHMSYS0000502047,2,Cyaniris semiargus
NHMSYS0000502090,1,Danaus plexippus
NHMSYS0000519783,1,Erebia aethiops
NHMSYS0000519788,1,Erebia epiphron
NHMSYS0000550499,1,Erynnis tages
NHMSYS0000516340,1,Euphydryas aurinia
NHMSYS0021002801,1,Favonius quercus
NHMSYS0000516380,1,Gonepteryx rhamni
NHMSYS0000502800,1,Hamearis lucina
NHMSYS0000502853,1,Hesperia comma
NHMSYS0000515916,1,Heteropterus morpheus
NHMSYS0000520428,1,Hipparchia semele
NHMSYS0000502952,1,Iphiclides podalirius
NBNSYS0100003607,1,Issoria lathonia
NHMSYS0000502994,2,Lampides boeticus
NHMSYS0000503020,1,Lasiommata megera
NHMSYS0020978559,3,Leptidea juvernica
NHMSYS0000516430,2,Leptidea sinapis
NBNSYS0100003750,1,Limenitis camilla
NHMSYS0000516450,1,Lycaena dispar
NHMSYS0000516465,1,Lycaena phlaeas
NHMSYS0000521977,1,Maniola jurtina
NHMSYS0000522017,1,Melanargia galathea
NHMSYS0000503190,1,Melitaea athalia
NHMSYS0000503191,1,Melitaea cinxia
NHMSYS0000516570,1,Nymphalis antiopa
NHMSYS0000516575,2,Nymphalis polychloros
NHMSYS0021143464,1,Ochlodes sylvanus
NBNSYS0000005514,1,Papilio machaon
NHMSYS0000523344,1,Pararge aegeria
NHMSYS0020757917,1,Phengaris arion
NHMSYS0000503827,1,Pieris brassicae
NHMSYS0000516630,1,Pieris napi
NHMSYS0000503832,1,Pieris rapae
NBNSYS0000005539,2,Plebejus argus
NHMSYS0000503893,1,Polygonia c-album
NHMSYS0021143616,1,Polyommatus bellargus
NHMSYS0020825965,1,Polyommatus coridon
NHMSYS0000516660,1,Polyommatus icarus
NHMSYS0000503906,2,Pontia daplidice
NHMSYS0000504013,1,Pyrgus malvae
NHMSYS0000522857,1,Pyronia tithonus
NHMSYS0000504084,1,Satyrium pruni
NHMSYS0000504085,1,Satyrium w-album
NHMSYS0021297309,2,Speyeria aglaja
NHMSYS0000504486,1,Thecla betulae
NHMSYS0000504513,1,Thymelicus acteon
NHMSYS0000504514,2,Thymelicus lineola
NHMSYS0000504515,2,Thymelicus sylvestris
NHMSYS0000504624,1,Vanessa atalanta
NBNSYS0100005950,1,Vanessa cardui
NHMSYS0000504626,3,Vanessa virginiensis
