taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Melitaea athalia,NHMSYS0000503190,01,01,1700,,,
Nymphalis antiopa,NHMSYS0000516570,01,01,1700,,,
Cupido argiades,NHMSYS0020825929,01,01,1700,,,
Cupido minimus,NHMSYS0000502045,01,01,1700,,,
Anthocharis cardamines,NHMSYS0000516186,01,01,1700,,,
Callophrys rubi,NHMSYS0000501598,01,01,1700,,,
Pararge aegeria,NHMSYS0000523344,01,01,1700,,,
Heteropterus morpheus,NHMSYS0000515916,01,01,1700,,,
Boloria selene,NHMSYS0021143547,01,01,1700,,,
Iphiclides podalirius,NHMSYS0000502952,01,01,1700,,,
Vanessa cardui,NBNSYS0100005950,01,01,1700,,,
Favonius quercus,NHMSYS0021002801,01,01,1700,,,
Lasiommata megera,NHMSYS0000503020,01,01,1700,,,
Vanessa atalanta,NHMSYS0000504624,01,01,1700,,,
Polygonia c-album,NHMSYS0000503893,01,01,1700,,,
Pyronia tithonus,NHMSYS0000522857,01,01,1700,,,
Melitaea cinxia,NHMSYS0000503191,01,01,1700,,,
Thymelicus acteon,NHMSYS0000504513,01,01,1700,,,
Satyrium pruni,NHMSYS0000504084,01,01,1700,,,
Plebejus argus,NBNSYS0000005539,01,01,1700,,,
Colias hyale,NHMSYS0000501954,01,01,1700,,,
Colias alfacariensis,NHMSYS0021143487,01,01,1700,,,
Pontia daplidice,NHMSYS0000503906,01,01,1700,,,
Cacyreus marshalli,NBNSYS0100002143,01,01,1997,,,
Aphantopus hyperantus,NHMSYS0000501120,01,01,1700,,,
Limenitis camilla,NBNSYS0100003750,01,01,1700,,,
Apatura iris,NHMSYS0000501116,01,01,1700,,,
Carterocephalus palaemon,NHMSYS0000501644,01,01,1700,,,
Leptidea juvernica,NHMSYS0020978559,01,01,1700,,,
Aporia crataegi,NHMSYS0000501147,01,01,1700,01,01,1925
Erynnis tages,NHMSYS0000550499,01,01,1700,,,
Pyrgus malvae,NHMSYS0000504013,01,01,1700,,,
Speyeria aglaja,NHMSYS0021297309,01,01,1700,,,
Erebia aethiops,NHMSYS0000519783,01,01,1700,,,
Melanargia galathea,NHMSYS0000522017,01,01,1700,,,
Hipparchia semele,NHMSYS0000520428,01,01,1700,,,
Satyrium w-album,NHMSYS0000504085,01,01,1700,,,
Ochlodes sylvanus,NHMSYS0021143464,01,01,1700,,,
Polyommatus icarus,NHMSYS0000516660,01,01,1700,,,
Argynnis paphia,NHMSYS0000501356,01,01,1700,,,
Pieris brassicae,NHMSYS0000503827,01,01,1700,,,
Thecla betulae,NHMSYS0000504486,01,01,1700,,,
Aricia agestis,NHMSYS0021143605,01,01,1700,,,
Pieris rapae,NHMSYS0000503832,01,01,1700,,,
Maniola jurtina,NHMSYS0000521977,01,01,1700,,,
Coenonympha tullia,NHMSYS0000519078,01,01,1700,,,
Hamearis lucina,NHMSYS0000502800,01,01,1700,,,
Aglais io,NHMSYS0021143568,01,01,1700,,,
Nymphalis polychloros,NHMSYS0000516575,01,01,1700,,,
Polyommatus bellargus,NHMSYS0021143616,01,01,1700,,,
Lycaena dispar,NHMSYS0000516450,01,01,1700,01,01,1864
Lampides boeticus,NHMSYS0000502994,01,01,1700,,,
Celastrina argiolus,NHMSYS0000516260,01,01,1700,,,
Gonepteryx rhamni,NHMSYS0000516380,01,01,1700,,,
Euphydryas aurinia,NHMSYS0000516340,01,01,1700,,,
Vanessa virginiensis,NHMSYS0000504626,01,01,1700,,,
Polyommatus coridon,NHMSYS0020825965,01,01,1700,,,
Thymelicus sylvestris,NHMSYS0000504515,01,01,1700,,,
Aricia artaxerxes,NHMSYS0000516231,01,01,1700,,,
Phengaris arion,NHMSYS0020757917,01,01,1700,,,
Issoria lathonia,NBNSYS0100003607,01,01,1700,,,
Papilio machaon,NBNSYS0000005514,01,01,1700,,,
Aglais urticae,NHMSYS0000501034,01,01,1700,,,
Coenonympha pamphilus,NHMSYS0000519083,01,01,1700,,,
Leptidea sinapis,NHMSYS0000516430,01,01,1700,,,
Lycaena phlaeas,NHMSYS0000516465,01,01,1700,,,
Erebia epiphron,NHMSYS0000519788,01,01,1700,,,
Cyaniris semiargus,NHMSYS0000502047,01,01,1700,01,01,1904
Fabriciana adippe,NHMSYS0021459983,01,01,1700,,,
Araschnia levana,NHMSYS0000501166,01,01,1700,,,
Danaus plexippus,NHMSYS0000502090,01,01,1700,,,
Pieris napi,NHMSYS0000516630,01,01,1700,,,
Colias croceus,NHMSYS0000501953,01,01,1700,,,
Thymelicus lineola,NHMSYS0000504514,01,01,1889,,,
Hesperia comma,NHMSYS0000502853,01,01,1700,,,
Boloria euphrosyne,NHMSYS0000501513,01,01,1700,,,
