taxon,tvk,start_day,start_month,end_day,end_month,stage
Melitaea athalia,NHMSYS0000503190,01,05,30,09,mature
Nymphalis antiopa,NHMSYS0000516570,01,01,31,12,mature
Cupido argiades,NHMSYS0020825929,01,07,30,09,mature
Cupido minimus,NHMSYS0000502045,01,04,30,09,mature
Anthocharis cardamines,NHMSYS0000516186,01,03,31,07,mature
Callophrys rubi,NHMSYS0000501598,01,03,31,07,mature
Pararge aegeria,NHMSYS0000523344,01,02,30,11,mature
Heteropterus morpheus,NHMSYS0000515916,01,07,31,08,mature
Boloria selene,NHMSYS0021143547,01,05,30,09,mature
Iphiclides podalirius,NHMSYS0000502952,01,05,30,09,mature
Vanessa cardui,NBNSYS0100005950,01,02,30,11,mature
Favonius quercus,NHMSYS0021002801,01,06,30,09,mature
Lasiommata megera,NHMSYS0000503020,01,04,31,10,mature
Vanessa atalanta,NHMSYS0000504624,01,01,31,12,mature
Polygonia c-album,NHMSYS0000503893,01,01,31,12,mature
Pyronia tithonus,NHMSYS0000522857,01,06,30,09,mature
Melitaea cinxia,NHMSYS0000503191,01,05,30,09,mature
Thymelicus acteon,NHMSYS0000504513,01,05,31,10,mature
Satyrium pruni,NHMSYS0000504084,01,06,31,07,mature
Plebejus argus,NBNSYS0000005539,01,05,31,08,mature
Colias hyale,NHMSYS0000501954,01,05,31,10,mature
Colias alfacariensis,NHMSYS0021143487,01,05,31,10,mature
Pontia daplidice,NHMSYS0000503906,01,06,31,10,mature
Cacyreus marshalli,NBNSYS0100002143,01,01,31,12,mature
Aphantopus hyperantus,NHMSYS0000501120,01,06,31,08,mature
Limenitis camilla,NBNSYS0100003750,01,06,31,10,mature
Apatura iris,NHMSYS0000501116,01,06,31,08,mature
Carterocephalus palaemon,NHMSYS0000501644,01,05,31,07,mature
Leptidea juvernica,NHMSYS0020978559,01,04,30,09,mature
Aporia crataegi,NHMSYS0000501147,01,05,31,08,mature
Erynnis tages,NHMSYS0000550499,01,04,31,08,mature
Pyrgus malvae,NHMSYS0000504013,01,04,31,08,mature
Speyeria aglaja,NHMSYS0021297309,01,05,30,09,mature
Erebia aethiops,NHMSYS0000519783,01,07,30,09,mature
Melanargia galathea,NHMSYS0000522017,01,06,31,08,mature
Hipparchia semele,NHMSYS0000520428,01,06,30,09,mature
Satyrium w-album,NHMSYS0000504085,01,06,31,08,mature
Ochlodes sylvanus,NHMSYS0021143464,01,05,30,09,mature
Polyommatus icarus,NHMSYS0000516660,01,04,31,10,mature
Argynnis paphia,NHMSYS0000501356,01,06,30,09,mature
Pieris brassicae,NHMSYS0000503827,01,03,31,10,mature
Thecla betulae,NHMSYS0000504486,01,07,31,10,mature
Aricia agestis,NHMSYS0021143605,01,04,30,09,mature
Pieris rapae,NHMSYS0000503832,01,03,31,10,mature
Maniola jurtina,NHMSYS0000521977,01,05,31,10,mature
Coenonympha tullia,NHMSYS0000519078,01,06,31,08,mature
Hamearis lucina,NHMSYS0000502800,01,04,31,07,mature
Aglais io,NHMSYS0021143568,01,01,31,12,mature
Nymphalis polychloros,NHMSYS0000516575,01,01,31,12,mature
Polyommatus bellargus,NHMSYS0021143616,01,04,30,09,mature
Lycaena dispar,NHMSYS0000516450,01,07,31,08,mature
Lampides boeticus,NHMSYS0000502994,01,01,31,12,mature
Celastrina argiolus,NHMSYS0000516260,01,03,31,10,mature
Gonepteryx rhamni,NHMSYS0000516380,01,01,30,11,mature
Euphydryas aurinia,NHMSYS0000516340,01,05,31,08,mature
Vanessa virginiensis,NHMSYS0000504626,01,08,31,10,mature
Polyommatus coridon,NHMSYS0020825965,01,06,30,09,mature
Thymelicus sylvestris,NHMSYS0000504515,01,06,30,09,mature
Aricia artaxerxes,NHMSYS0000516231,01,05,30,09,mature
Maculinea arion,NHMSYS0000516485,01,06,31,08,mature
Issoria lathonia,NBNSYS0100003607,01,05,31,10,mature
Papilio machaon,NBNSYS0000005514,01,05,31,08,mature
Aglais urticae,NHMSYS0000501034,01,01,31,12,mature
Coenonympha pamphilus,NHMSYS0000519083,01,04,31,10,mature
Leptidea sinapis,NHMSYS0000516430,01,04,30,09,mature
Lycaena phlaeas,NHMSYS0000516465,01,03,30,11,mature
Erebia epiphron,NHMSYS0000519788,01,06,31,08,mature
Cyaniris semiargus,NHMSYS0000502047,01,06,31,07,mature
Fabriciana adippe,NHMSYS0021459983,01,06,30,09,mature
Araschnia levana,NHMSYS0000501166,01,04,30,09,mature
Danaus plexippus,NHMSYS0000502090,01,07,31,10,mature
Pieris napi,NHMSYS0000516630,01,03,31,10,mature
Colias croceus,NHMSYS0000501953,01,05,30,11,mature
Thymelicus lineola,NHMSYS0000504514,01,06,30,09,mature
Hesperia comma,NHMSYS0000502853,01,07,30,09,mature
Boloria euphrosyne,NHMSYS0000501513,01,04,30,09,mature
