tvk,code,taxon
NBNSYS0000029845,1,Calamoncosis aspistylina
NBNSYS0100002274,5,Cetema elongatum
NBNSYS0100002275,8,Cetema myopinum
NBNSYS0100002278,5,Cetema simile
NBNSYS0100002279,6,Cetema transversum
NBNSYS0100002361,12,Chlorops dasycerus
NBNSYS0100002369,2,Chlorops rossicus
NBNSYS0100002372,3,Chlorops scutellaris
NBNSYS0100002376,1,Chloropsina pulicaria
NBNSYS0100002377,1,Chloropsina varleyi
NHMSYS0021007807,2,Colliniella meijerei
NBNSYS0000029882,6,Conioscinella zetterstedti
NBNSYS0000029963,2,Cryptonevra consimilis
NHMSYS0021007854,1,Diplotoxoides dalmatina
NHMSYS0021008020,4,Elachiptera sp. nr cornuta
NBNSYS0100003238,3,Gampsocera numerata
NHMSYS0021007863,1,Gaurax flavomaculatus
NHMSYS0021007747,7,Gaurax maculipennis
NBNSYS0000029896,3,Gaurax niger
NHMSYS0021007777,1,Homalura tarsata
NBNSYS0100003665,1,Lasiambia coxalis
NBNSYS0100003667,3,Lasiambia parcepilosa
NBNSYS0100027422,1,Lasiosina chandleri
NHMSYS0021007882,7,Lipara pullitarsis
NBNSYS0000029842,4,Lipara rufitarsis
NBNSYS0000029843,2,Lipara similis
NBNSYS0000029946,1,Meromyza curvinervis
NBNSYS0100004003,4,Meromyza depressa misident.
NBNSYS0000029949,1,Meromyza hispanica
NBNSYS0000029951,2,Meromyza mosquensis
NHMSYS0021007753,1,Meromyza rohdendorfi
NBNSYS0000029910,4,Oscinella angustipennis
NHMSYS0021007765,7,Oscinella ventricosi
NHMSYS0020936461,9,Oscinimorpha sp. nov.
NHMSYS0020974203,10,Parectecephala longicornis
NBNSYS0000029943,2,Platycephala umbraculata
NBNSYS0000029850,11,Polyodaspis ruficornis
NBNSYS0000029851,2,Polyodaspis sulcicollis
NBNSYS0100005138,1,Rhopalopterum brunneipenne
NBNSYS0100005139,1,Rhopalopterum crucicarinatum
NBNSYS0000029860,2,Siphunculina aenea
NBNSYS0100005865,11,Trachysiphonella carinifacies misident.
NBNSYS0000029858,4,Trachysiphonella pygmaea
NBNSYS0100005891,2,Tricimba brachyptera
NBNSYS0100005892,1,Tricimba humeralis
