code,text
1,recent addition to the British list
2,"rare species, either a small number of records or confined to a limited geographic area"
3,"possibly extinct species, has not been recorded in recent years"
4,possible taxonomic confusion
5,recent split from a different species
6,only known from a single specimen
7,not yet added to the British list
8,"very few recent records, unclear conservation status"
9,unidentified species
10,not yet on mainland Britain
11,not a native species
12,very few records
