taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Aphanotrigonum brachypterum,NBNSYS0100024189,1,1,1946,,,
Aphanotrigonum brunneum,NBNSYS0100001605,1,1,1946,,,
Aphanotrigonum femorellum,NBNSYS0100001607,1,1,1946,,,
Aphanotrigonum inerme,NBNSYS0100001608,1,1,1946,,,
Aphanotrigonum nigripes,NBNSYS0000029872,1,1,2013,,,
Calamoncosis aspistylina,NBNSYS0000029845,1,1,1935,,,
Calamoncosis glyceriae,NBNSYS0000029847,1,1,1958,,,
Cetema elongatum,NBNSYS0100002274,1,1,1985,,,
Cetema neglectum,NBNSYS0100002276,1,1,1921,,,
Cetema simile,NBNSYS0100002278,1,1,1985,,,
Cetema transversum,NBNSYS0100002279,1,1,1966,,,
Chlorops rossicus,NBNSYS0100002369,1,1,1955,,,
Chloropsina pulicaria,NBNSYS0100002376,1,1,1999,,,
Chloropsina varleyi,NBNSYS0100002377,1,1,1999,,,
Colliniella meijerei,NHMSYS0021007807,1,1,1932,,,
Conioscinella mimula,NBNSYS0000029880,1,1,1946,,,
Conioscinella zetterstedti,NBNSYS0000029882,1,1,1966,,,
Cryptonevra consimilis,NBNSYS0000029963,1,1,1932,,,
Cryptonevra nigritarsis,NBNSYS0000029965,1,1,1933,,,
Dicraeus fennicus,NBNSYS0000029886,1,1,1932,,,
Dicraeus napaeus,NBNSYS0000029888,1,1,1946,,,
Dicraeus scibilis,NBNSYS0000029890,1,1,1946,,,
Elachiptera austriaca,NBNSYS0100002925,1,1,1932,,,
Elachiptera diastema,NBNSYS0000029932,1,1,1946,,,
Elachiptera rufifrons,NBNSYS0000029935,1,1,1932,,,
Elachiptera sp. nr cornuta,NHMSYS0021008020,1,1,1975,,,
Gaurax flavomaculatus,NHMSYS0021007863,1,1,1980,,,
Homalura tarsata,NHMSYS0021007777,1,1,2007,,,
Incertella antennata,NBNSYS0100003591,1,1,1946,,,
Incertella nigrifrons,NHMSYS0020706108,1,1,1933,,,
Incertella scotica,NBNSYS0000029907,1,1,1946,,,
Incertella zuercheri,NBNSYS0100003593,1,1,1933,,,
Lasiambia baliola,NBNSYS0100003663,1,1,1946,,,
Lasiambia brevibucca,NBNSYS0100003664,1,1,1932,,,
Lasiambia coxalis,NBNSYS0100003665,1,1,2000,,,
Lasiambia parcepilosa,NBNSYS0100003667,1,1,1946,,,
Lasiosina chandleri,NBNSYS0100027422,1,1,2001,,,
Lasiosina herpini,NBNSYS0100003675,1,1,1977,,,
Lasiosina intermedia,NBNSYS0100003676,1,1,1977,,,
Lipara pullitarsis,NHMSYS0021007882,1,10,2014,,,
Lipara rufitarsis,NBNSYS0000029842,1,10,2014,,,
Meromyza athletica,NHMSYS0021007942,1,1,1974,,,
Meromyza bohemica,NBNSYS0000029944,1,1,1962,,,
Meromyza curvinervis,NBNSYS0000029946,1,1,1981,,,
Meromyza depressa misident.,NBNSYS0100004003,1,1,1981,,,
Meromyza femorata,NBNSYS0000029948,1,1,1981,,,
Meromyza hispanica,NBNSYS0000029949,1,1,1971,,,
Meromyza mosquensis,NBNSYS0000029951,1,1,1960,,,
Meromyza nigriseta,NBNSYS0100004005,1,1,1960,,,
Meromyza nigriventris,NBNSYS0000029952,1,1,1961,,,
Meromyza ornata,NBNSYS0100004006,1,1,1962,,,
Meromyza palposa,NBNSYS0000029954,1,1,1960,,,
Meromyza pluriseta,NBNSYS0000029955,1,1,1961,,,
Meromyza rohdendorfi,NHMSYS0021007753,1,1,1974,,,
Meromyza rufa,NBNSYS0000029957,1,1,1962,,,
Meromyza sibirica,NHMSYS0021007759,1,1,1961,,,
Meromyza sp. nr. depressa,NHMSYS0021122907,1,1,1981,,,
Meromyza triangulina,NBNSYS0000029960,1,1,1960,,,
Meromyza zachvatkini,NBNSYS0100004007,1,1,1960,,,
Microcercis trigonella,NBNSYS0100004049,1,1,1933,,,
Neohaplegis glabra,NBNSYS0100004200,1,1,1933,,,
Neohaplegis tarsata,NBNSYS0100004201,1,1,1933,,,
Oscinella angularis,NBNSYS0000029909,1,1,1946,,,
Oscinella angustipennis,NBNSYS0000029910,1,1,1932,,,
Oscinella cariciphila,NBNSYS0000029911,1,1,1946,,,
Oscinella trochanterata,NBNSYS0000029919,1,1,1946,,,
Oscinella ventricosi,NHMSYS0021007765,1,1,1956,,,
Oscinimorpha albisetosa,NBNSYS0100004355,1,1,1932,,,
Oscinimorpha arcuata,NBNSYS0100004356,1,1,1932,,,
Oscinisoma cognatum,NBNSYS0100004359,1,1,1976,,,
Oscinisoma germanicum,NBNSYS0100004360,1,1,1932,,,
Oscinisoma gilvipes,NBNSYS0100004361,1,1,1976,,,
Rhopalopterum brunneipenne,NBNSYS0100005138,1,1,1987,,,
Rhopalopterum crucicarinatum,NBNSYS0100005139,1,1,1987,,,
Rhopalopterum fasciola,NBNSYS0000029926,1,1,1946,,,
Rhopalopterum femorale,NBNSYS0100005140,1,1,1946,,,
Speccafrons halophila,NBNSYS0000029879,1,1,1933,,,
Thaumatomyia hallandica,NBNSYS0000030009,1,1,1966,,,
Trachysiphonella carinifacies misident.,NBNSYS0100005865,1,1,1964,,,
