taxon,tvk,start_day,start_month,end_day,end_month,stage
Aphanotrigonum brunneum,NBNSYS0100001605,1,6,31,8,mature
Aphanotrigonum cinctellum,NHMSYS0021007801,1,6,30,9,mature
Aphanotrigonum femorellum,NBNSYS0100001607,1,6,30,9,mature
Aphanotrigonum inerme,NBNSYS0100001608,1,5,30,9,mature
Aphanotrigonum nigripes,NBNSYS0000029872,1,4,31,10,mature
Calamoncosis aprica,NBNSYS0000029844,1,5,31,8,mature
Calamoncosis duinensis,NBNSYS0000029846,1,5,30,9,mature
Calamoncosis glyceriae,NBNSYS0000029847,1,5,31,8,mature
Calamoncosis minima,NBNSYS0000029848,1,5,31,8,mature
Cetema cereris,NBNSYS0000029975,1,6,31,7,mature
Cetema elongatum,NBNSYS0100002274,1,5,31,10,mature
Cetema myopinum,NBNSYS0100002275,1,6,31,7,mature
Cetema neglectum,NBNSYS0100002276,1,6,30,9,mature
Cetema simile,NBNSYS0100002278,1,6,31,8,mature
Chlorops adjunctus,NBNSYS0100002358,1,5,30,9,mature
Chlorops calceatus,NBNSYS0100002359,1,5,30,9,mature
Chlorops fasciatus,NBNSYS0100002362,1,6,31,7,mature
Chlorops frontosus,NBNSYS0100002363,1,4,31,8,mature
Chlorops gracilis,NBNSYS0000029990,1,5,31,8,mature
Chlorops hypostigma,NBNSYS0000029991,1,5,30,9,mature
Chlorops interruptus,NBNSYS0100002364,1,5,31,10,mature
Chlorops laetus,NBNSYS0100002365,1,7,30,9,mature
Chlorops limbatus,NBNSYS0100002366,1,4,30,9,mature
Chlorops meigenii preocc.,NBNSYS0100027565,1,5,30,9,mature
Chlorops planifrons,NBNSYS0000029997,1,5,31,8,mature
Chlorops pumilionis,NBNSYS0000029999,1,3,31,10,mature
Chlorops ringens,NBNSYS0000029998,1,9,30,9,mature
Chlorops rossicus,NBNSYS0100002369,1,5,31,7,mature
Chlorops rufinus,NBNSYS0100002371,1,7,31,8,mature
Chlorops scalaris,NBNSYS0000030001,1,5,30,9,mature
Chlorops serenus,NBNSYS0100002373,1,5,30,9,mature
Chlorops speciosus,NBNSYS0100002374,1,5,30,9,mature
Chlorops strigulus,NBNSYS0100002375,1,4,30,9,mature
