taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Lestes barbarus,NBNSYS0000005612,01,01,2002,,,
Aeshna affinis,NHMSYS0020546806,01,01,2010,,,
Coenagrion pulchellum,NBNSYS0000005605,01,01,1965,,,
Cordulegaster boltonii,NBNSYS0000005621,01,01,1953,,,
Coenagrion lunulatum,NBNSYS0000005609,,,,31,12,1800
Ischnura senegalensis,NHMSYS0021123700,,,,31,12,1800
Sympetrum vulgatum,NBNSYS0000005644,,,,31,12,1800
Sympecma fusca,NBNSYS0000005618,,,,31,12,1800
Orthetrum brunneum,NHMSYS0000344182,,,,31,12,1800
Libellula fulva,NBNSYS0000005638,01,01,1965,,,
Ischnura genei,NHMSYS0000532361,,,,31,12,1800
Anax parthenope,NHMSYS0000344169,01,01,1996,,,
Pantala flavescens,NBNSYS0000005642,,,,31,12,1800
Coenagrion hastulatum,NBNSYS0000005607,01,01,1914,,,
Anax ephippiger,NHMSYS0021009098,01,01,1903,,,
Libellula depressa,NBNSYS0000005637,01,01,1947,,,
Oxygastra curtisii,NBNSYS0000005636,,,,31,12,1800
Chalcolestes viridis,NHMSYS0021009068,01,01,1979,,,
Calopteryx virgo,NBNSYS0000005616,01,01,1965,,,
Anax junius,NHMSYS0000344168,,,,31,12,1800
Sympetrum danae,NBNSYS0000005651,01,01,1941,,,
Leucorrhinia pectoralis,NHMSYS0000532531,,,,31,12,1800
Stylurus flavipes,NHMSYS0021009106,,,,31,12,1800
Coenagrion scitulum,NBNSYS0000005604,01,01,1946,,,
Sympetrum sanguineum,NBNSYS0000005650,01,01,1965,,,
Orthetrum coerulescens,NBNSYS0000005640,01,01,1955,,,
Sympetrum meridionale,NBNSYS0000005648,,,,31,12,1800
Gomphus vulgatissimus,NBNSYS0000005620,01,01,1951,,,
Ceriagrion tenellum,NBNSYS0000005611,01,01,1965,,,
Sympetrum pedemontanum,NHMSYS0000344190,,,,31,12,1800
Crocothemis servilia,NHMSYS0021123706,,,,31,12,1800
Coenagrion mercuriale,NBNSYS0000005603,01,01,1949,,,
Brachytron pratense,NBNSYS0000005622,01,01,1901,,,
Erythromma viridulum,NHMSYS0000344177,01,01,1999,,,
Leucorrhinia dubia,NHMSYS0020546892,01,01,1914,,,
Crocothemis erythraea,NBNSYS0000005643,,,,31,12,1800
Sympetrum flaveolum,NBNSYS0000005649,,,,31,12,1800
Coenagrion armatum,NBNSYS0000005608,01,01,1905,31,12,1957
Somatochlora flavomaculata,NHMSYS0000532481,,,,31,12,1800
Aeshna mixta,NBNSYS0000005627,01,01,1939,,,
