taxon,tvk,start_day,start_month,end_day,end_month,stage
Sympetrum fonscolombii,NHMSYS0000344188,08,05,19,09,mature
Lestes barbarus,NBNSYS0000005612,04,06,26,09,mature
Aeshna affinis,NHMSYS0020546806,26,06,26,08,mature
Coenagrion pulchellum,NBNSYS0000005605,26,04,24,07,mature
Lestes sponsa,NBNSYS0000005613,18,06,19,09,mature
Cordulegaster boltonii,NBNSYS0000005621,28,05,03,09,mature
Libellula quadrimaculata,NBNSYS0000005639,05,05,31,07,mature
Aeshna cyanea,NBNSYS0000005626,21,06,12,10,mature
Anax imperator,NBNSYS0000005630,25,05,27,08,mature
Aeshna caerulea,NBNSYS0000005623,20,05,11,08,mature
Cordulia aenea,NBNSYS0000005632,27,04,18,07,mature
Orthetrum cancellatum,NBNSYS0000005641,25,05,18,08,mature
Libellula fulva,NBNSYS0000005638,08,05,18,07,mature
Erythromma najas,NBNSYS0000005610,30,04,22,08,mature
Anax parthenope,NHMSYS0000344169,09,06,26,08,mature
Coenagrion hastulatum,NBNSYS0000005607,08,05,12,08,mature
Ischnura pumilio,NBNSYS0000005601,18,05,20,08,mature
Anax ephippiger,NHMSYS0021009098,10,04,04,01,mature
Libellula depressa,NBNSYS0000005637,30,04,28,07,mature
Pyrrhosoma nymphula,NBNSYS0000005599,16,04,28,07,mature
Chalcolestes viridis,NHMSYS0021009068,16,07,22,10,mature
Calopteryx virgo,NBNSYS0000005616,27,04,09,08,mature
Calopteryx splendens,NBNSYS0000005617,06,05,23,08,mature
Sympetrum striolatum,NBNSYS0000005645,28,06,25,10,mature
Anaciaeschna isoceles,NHMSYS0021009091,19,05,24,07,mature
Sympetrum danae,NBNSYS0000005651,02,07,10,10,mature
Somatochlora arctica,NBNSYS0000005635,19,05,13,08,mature
Ischnura elegans,NHMSYS0000344179,08,05,29,08,mature
Aeshna juncea,NBNSYS0000005624,22,06,05,10,mature
Aeshna grandis,NBNSYS0000005625,22,06,15,09,mature
Sympetrum sanguineum,NBNSYS0000005650,22,06,26,09,mature
Orthetrum coerulescens,NBNSYS0000005640,30,05,28,08,mature
Somatochlora metallica,NHMSYS0020546972,26,05,19,08,mature
Gomphus vulgatissimus,NBNSYS0000005620,03,05,23,06,mature
Ceriagrion tenellum,NBNSYS0000005611,06,06,31,08,mature
Coenagrion puella,NBNSYS0000005606,03,05,08,08,mature
Coenagrion mercuriale,NBNSYS0000005603,27,05,06,08,mature
Brachytron pratense,NBNSYS0000005622,27,04,27,06,mature
Erythromma viridulum,NHMSYS0000344177,28,06,09,09,mature
Leucorrhinia dubia,NHMSYS0020546892,01,05,18,07,mature
Enallagma cyathigerum,NBNSYS0000005602,10,05,08,09,mature
Lestes dryas,NBNSYS0000005614,03,06,20,08,mature
Platycnemis pennipes,NBNSYS0000005598,12,05,16,08,mature
Aeshna mixta,NBNSYS0000005627,21,07,19,10,mature
