taxon,tvk,km100,km10,coord_system
Sympetrum fonscolombii,NHMSYS0000344188,NO,42,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,NT,47 86 96,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,NZ,20 25 28 34 36 52,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SD,17 20 21 31 34 45 50 53,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SE,27 31 32 35 50 72 82,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SH,12,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SJ,18 39 49 81,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SK,46 47 48 55 78,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SM,70 80,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SO,44 61 70 83 84 86 93,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SP,05 28 37 59 75 81 91,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SR,89 99,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SS,59 78 79 88,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,ST,06 16 25 38 57 58,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SU,10 20 21 30 31 32 40 41 50 56 59 70 71 85,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SV,80 81,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SW,32 42 53 54 61 62 71 72,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SX,06 17 35 44 55 64 73 84 87 95 97,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SY,08 09 29 66 67,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,SZ,08 09 19 38 39 47 48 57 58 68 79 89,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,TA,08 14 17 18 27 41,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,TF,10 33 55 74 84 94,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,TG,04 11 13 14 31 40 41 42,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,TL,02 04 10 14 16,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,TM,23 34 44 45 46 47 58 59,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,TQ,01 10 19 20 22 26 28 38 40 58 59 60 81 91,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,TR,01 02 23 34 35 36 37,OSGB
Sympetrum fonscolombii,NHMSYS0000344188,TV,59,OSGB
Lestes barbarus,NBNSYS0000005612,SU,98,OSGB
Lestes barbarus,NBNSYS0000005612,SZ,39,OSGB
Lestes barbarus,NBNSYS0000005612,TG,42,OSGB
Lestes barbarus,NBNSYS0000005612,TQ,77 78 87,OSGB
Lestes barbarus,NBNSYS0000005612,TR,36,OSGB
Coenagrion pulchellum,NBNSYS0000005605,NM,82 83 93,OSGB
Coenagrion pulchellum,NBNSYS0000005605,NT,00,OSGB
Coenagrion pulchellum,NBNSYS0000005605,NX,46 55 65 76 77 85 86,OSGB
Coenagrion pulchellum,NBNSYS0000005605,NY,00 08 18,OSGB
Coenagrion pulchellum,NBNSYS0000005605,SE,80 82 90,OSGB
Coenagrion pulchellum,NBNSYS0000005605,SH,27 37 43 46 47 48 53 57 58,OSGB
Coenagrion pulchellum,NBNSYS0000005605,SJ,37 45 50 54 56 57 75,OSGB
Coenagrion pulchellum,NBNSYS0000005605,SK,61 71 72 73 79 83 97,OSGB
