taxon,tvk,start_day,start_month,end_day,end_month,stage
Caenis pseudorivulorum,NHMSYS0000066968,01,07,31,10,mature
Ecdyonurus torrentis,NBNSYS0000010880,01,03,30,09,mature
Caenis rivulorum,NBNSYS0000010904,01,05,30,09,mature
Siphlonurus lacustris,NBNSYS0000010862,01,05,31,08,mature
Kageronia fuscogrisea,NBNSYS0100003631,01,05,30,06,mature
Caenis macrura,NBNSYS0000010903,01,05,31,08,mature
Baetis atrebatinus,NBNSYS0000010863,01,05,31,10,mature
Cloeon simile,NBNSYS0000010875,01,03,30,11,mature
Heptagenia sulphurea,NHMSYS0000066973,01,05,31,10,mature
Leptophlebia marginata,NHMSYS0000066974,01,04,30,06,mature
Baetis muticus,NBNSYS0000010867,01,04,31,10,mature
Electrogena lateralis,NBNSYS0100002944,01,05,30,09,mature
Ecdyonurus insignis,NBNSYS0000010879,01,05,31,10,mature
Ecdyonurus dispar,NBNSYS0000010878,01,06,31,10,mature
Siphlonurus alternatus,NBNSYS0000010860,01,05,30,09,mature
Caenis beskidensis,NBNSYS0100002144,01,07,30,09,mature
Cloeon dipterum,NHMSYS0000066964,01,05,31,10,mature
Centroptilum luteolum,NHMSYS0000066963,01,04,30,11,mature
Procloeon bifidum,NBNSYS0000010876,01,04,31,10,mature
Leptophlebia vespertina,NBNSYS0000010890,01,04,31,08,mature
Baetis scambus,NBNSYS0000010870,01,02,30,11,mature
Ephemera danica,NHMSYS0000066970,01,04,30,11,mature
Baetis niger,NBNSYS0000010868,01,04,31,10,mature
Habrophlebia fusca,NBNSYS0000010888,01,05,30,09,mature
Caenis pusilla,NHMSYS0000066969,01,06,31,07,mature
Arthroplea congener,NBNSYS0000010877,01,05,30,06,mature
Ephemera vulgata,NBNSYS0000010899,01,05,31,08,mature
Electrogena affinis,NBNSYS0100002943,01,07,31,08,mature
Heptagenia longicauda,NHMSYS0000066972,01,05,30,06,mature
Potamanthus luteus,NBNSYS0000010896,01,05,31,10,mature
Serratella ignita,NBNSYS0100005496,01,04,30,09,mature
Caenis robusta,NBNSYS0000010905,01,06,31,07,mature
Caenis horaria,NHMSYS0000066966,01,05,30,09,mature
Ameletus inopinatus,NBNSYS0000010859,01,05,31,08,mature
Rhithrogena semicolorata,NBNSYS0000010887,01,04,30,09,mature
Baetis digitatus,NBNSYS0000010865,01,05,30,09,mature
Procloeon pennulatum,NHMSYS0000066965,01,05,31,10,mature
Brachycercus harrisella,NBNSYS0000010900,01,07,31,07,mature
Siphlonurus armatus,NBNSYS0000010861,01,05,31,08,mature
Rhithrogena germanica,NBNSYS0000010886,01,03,31,05,mature
Caenis luctuosa,NHMSYS0000066967,01,07,30,09,mature
Baetis fuscatus,NHMSYS0000066961,01,05,31,10,mature
Paraleptophlebia werneri,NBNSYS0000010893,01,05,30,06,mature
Paraleptophlebia submarginata,NBNSYS0000010892,01,04,31,07,mature
Baetis buceratus,NBNSYS0000010864,01,04,31,10,mature
Paraleptophlebia cincta,NBNSYS0000010891,01,05,31,08,mature
Ecdyonurus venosus,NBNSYS0000010881,01,04,31,10,mature
Baetis vernus,NBNSYS0000010871,01,04,31,10,mature
Ephemera lineata,NBNSYS0000010898,01,07,31,07,mature
Ephemerella notata,NBNSYS0000010895,01,05,30,06,mature
