taxon,tvk,km100,km10,coord_system
Caenis pseudorivulorum,NHMSYS0000066968,NT,82 83 84 91 92 93 94,OSGB
Caenis pseudorivulorum,NHMSYS0000066968,NU,01 02 03 04 11 12 13,OSGB
Caenis pseudorivulorum,NHMSYS0000066968,SK,82 83 84 92 93 94,OSGB
Caenis pseudorivulorum,NHMSYS0000066968,SX,54 55 56 64 65 66 74 75 76,OSGB
Caenis pseudorivulorum,NHMSYS0000066968,TF,02 03 04 35 36 37 45 46 47 55 56 57,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,NH,90 91 92,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,NJ,00 01 02 03 04 10 11 12 13 14 22 23 24 25 26 27 35 36 45 46,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,NN,54 55 56 60 64 65 66 70 74 75 76 80 90 93 94 95,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,NO,00 03 04 05 13 14 15,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,NS,24 25 26 34 35 36 37 38 39 44 45 46 47 48 49 54 55 56 57 58 59 63 64 65 66 67 68 69 73 74 75 76 77 78 79 83 84 85 86 87 88 89 96 97 98 99,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,NT,00 01 02 03 04 06 07 08 09 10 11 12 13 14 15 20 21 22 23 24 25 30 31 32 33 34 35 40 41 42 43 44 50 51 52 53 54 60 61 62 63 64 65 66 67 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 87 92 93 94 95 96,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,NU,04 05,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,NX,26 27 28 36 37 38 46 47 48,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,NY,49 51 52 53 59 61 62 63 69 71 72 73 79 80 89 90,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,NZ,00 10,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,SD,47 48 49 55 56 57 58 59 65 66 67 68 69 75 76 77 78 79 85 86 87 88 89 95 96 97 98 99,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,SE,03 04 05 06 07 08 09 10 11 13 14 15 16 17 18 19 20 21 23 24 25 27 28 29 30 31 47 48 49 57 58 59 67 68 69,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,SJ,00 01 10 11 20 21 30 31,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,SK,05 06 07 15 16 17 19 25 26 27 29 30 31 32 39 40 41 42 50 51 52 60 61 62,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,SN,71 72 73 81 82 83 87 88 89 90 91 92 93 97 98 99,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,SO,00 01 02 03 07 08 09 10 11 12 19 20 21 22 23 27 28 29 30 31 32 33 36 37 38 39 41 42 43 46 47 48 49 51 52 53 56 57 58 66 67 68 76 77 78 86 87 88,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,SS,10 11 20 21 30 31 32 40 41 42 50 51 52 60 61 70 71 97 98 99,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,ST,07 08 09 17 18 19,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,SU,10 11 20 21 30 31,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,SX,19 29 38 39 48 49 58 59 69 79,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,SZ,19 29 39,OSGB
Ecdyonurus torrentis,NBNSYS0000010880,TQ,22 23 24 31 32 33 34 41 42 43 44 51 52 53,OSGB
Caenis rivulorum,NBNSYS0000010904,HY,20 21 22 23 30 31 32 33 40 41 42,OSGB
