tvk,code,taxon
NHMSYS0000500952,2,Acompsia cinerella
NBNSYS0100001410,3,Acompsia schmidtiellus
NBNSYS0100001488,3,Altenia scriptella
NHMSYS0000501224,4,Anacampsis blattariella
NHMSYS0000501225,4,Anacampsis populella
NHMSYS0000501227,3,Anacampsis temerella
NHMSYS0000501234,3,Anarsia lineatella
NHMSYS0000501235,3,Anarsia spartiella
NHMSYS0000501141,2,Apodia bifractella
NHMSYS0000501164,3,Aproaerema anthyllidella
NHMSYS0000501348,2,Argolamprotes micella
NHMSYS0000501399,2,Aristotelia brizella
NHMSYS0000501400,2,Aristotelia ericinella
NHMSYS0000501401,4,Aristotelia subdecurtella
NHMSYS0000501403,3,Aroga velocella
NHMSYS0000501423,2,Athrips mouffetella
NHMSYS0000501424,3,Athrips rancidella
NHMSYS0000501425,4,Athrips tetrapunctella
NHMSYS0000501522,2,Brachmia blandella
NHMSYS0000501524,3,Brachmia inornatella
NHMSYS0000501546,2,Bryotropha affinis
NHMSYS0000501547,5,Bryotropha basaltinella
NHMSYS0000501548,4,Bryotropha boreella
NHMSYS0000501549,4,Bryotropha desertella
NHMSYS0000501550,2,Bryotropha domestica
NHMSYS0000501551,4,Bryotropha dryadella
NHMSYS0000501553,4,Bryotropha galbanella
NHMSYS0000501555,4,Bryotropha politella
NHMSYS0000501557,4,Bryotropha senectella
NHMSYS0000501558,4,Bryotropha similis
NHMSYS0000501559,3,Bryotropha terrella
NHMSYS0000501560,3,Bryotropha umbrosella
NBNSYS0100002197,3,Carpatolechia alburnella
NBNSYS0100002198,3,Carpatolechia decorella
NBNSYS0100002199,4,Carpatolechia fugitivella
NBNSYS0100002200,4,Carpatolechia notatella
NBNSYS0100002201,3,Carpatolechia proximella
NHMSYS0000501646,4,Caryocolum alsinella
NHMSYS0000501647,3,Caryocolum blandella
NBNSYS0100002206,4,Caryocolum blandelloides
NHMSYS0000501648,5,Caryocolum blandulella
NHMSYS0000501649,4,Caryocolum fraternella
NHMSYS0000501650,5,Caryocolum huebneri
NHMSYS0000501651,5,Caryocolum junctella
NHMSYS0000501653,5,Caryocolum kroesmanniella
NHMSYS0000501654,3,Caryocolum marmoreum
NHMSYS0000501655,5,Caryocolum proximum
NHMSYS0000501657,4,Caryocolum tricolorella
NHMSYS0000501658,3,Caryocolum vicinella
NHMSYS0000501659,4,Caryocolum viscariella
NHMSYS0000501753,4,Chionodes distinctella
NHMSYS0000501754,4,Chionodes fumatella
NHMSYS0000501780,2,Chrysoesthia drurella
NHMSYS0000501782,3,Chrysoesthia sexguttella
NBNSYS0100002536,4,Coleotechnites piceaella
NBNSYS0100002796,4,Dichomeris alacella
NHMSYS0000502151,3,Dichomeris derasella
NHMSYS0000502153,3,Dichomeris juniperella
NHMSYS0000502154,1,Dichomeris marginella
NHMSYS0000502155,2,Dichomeris ustalella
NHMSYS0000502572,4,Eulamprotes atrella
NHMSYS0000502573,4,Eulamprotes immaculatella
NHMSYS0000502576,4,Eulamprotes unicolorella
NHMSYS0000502577,2,Eulamprotes wilkella
