taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Phaneroptera falcata,NHMSYS0019998481,01,01,2007,,,
Nemobius sylvestris,NBNSYS0000006828,01,01,1800,,,
Gryllus bimaculatus,NHMSYS0000377677,01,01,1968,,,
Stenobothrus stigmaticus,NBNSYS0000006836,01,01,1960,,,
Gryllus assimilis,NHMSYS0020978458,01,01,2004,,,
Acanthoxyla prasina subsp. inermis,NHMSYS0001387234,01,01,1920,,,
Bacillus rossius,NHMSYS0001387264,01,01,1987,,,
Forficula auricularia,NHMSYS0001387317,01,01,1800,,,
Gryllotalpa gryllotalpa,NBNSYS0000006830,01,01,1800,,,
Supella longipalpa,NBNSYS0100005632,01,01,1918,,,
Conocephalus fuscus,NHMSYS0020752279,01,01,1800,,,
Roeseliana roeselii,NHMSYS0021351693,01,01,1800,,,
Tetrix ceperoi,NBNSYS0000006831,01,01,1800,,,
Meconema meridionale,NHMSYS0020977729,01,01,2001,,,
Schistocerca gregaria,NHMSYS0000377682,01,01,1994,,,
Anacridium aegyptium,NHMSYS0000377674,01,01,1934,,,
Pholidoptera griseoaptera,NHMSYS0001387435,01,01,1800,,,
Tetrix subulata,NBNSYS0000006832,01,01,1800,,,
Apterygida media,NHMSYS0001387259,01,01,1904,,,
Locusta migratoria,NHMSYS0000377679,01,01,1846,,,
Ectobius pallidus,NHMSYS0001387300,01,01,1800,,,
Clitarchus hookeri,NBNSYS0000006813,01,01,1949,,,
Meconema thalassinum,NHMSYS0001387418,01,01,1800,,,
Mastophyllum scabricolle,NHMSYS0020978428,01,01,1964,,,
Jamaicana subguttata,NHMSYS0020978416,01,01,1956,,,
Gryllotalpa,NHMSYS0001387359,01,01,1900,,,
Oecanthus pellucens,NHMSYS0020973976,01,01,2000,,,
Periplaneta australasiae,NBNSYS0000006853,01,01,1800,,,
Stethophyma grossum,NBNSYS0000006834,01,01,1800,,,
Acanthoxyla prasina subsp. geisovii,NHMSYS0001387233,01,01,1903,,,
Marava arachidis,NHMSYS0001387415,01,01,1800,,,
Chorthippus vagans,NHMSYS0001387288,01,01,1800,,,
Nauphoeta cinerea,NHMSYS0001387421,01,01,1900,,,
Leptophyes punctatissima,NBNSYS0000006825,01,01,1800,,,
Hiereoblatta cassidea,NHMSYS0020978470,01,01,1932,,,
Chorthippus parallelus,NBNSYS0000006843,01,01,1800,,,
Panchlora nivea,NBNSYS0100004408,01,01,1924,,,
Chorthippus albomarginatus,NHMSYS0001387286,01,01,1800,,,
Carausius morosus,NHMSYS0001387282,01,01,1990,,,
Decticus verrucivorus,NBNSYS0000006818,01,01,1800,,,
Labidura riparia,NHMSYS0001387398,01,01,1903,,,
Gryllus campestris,NHMSYS0001387363,01,01,1800,,,
Myrmeleotettix maculatus,NBNSYS0000006839,01,01,1800,,,
Ectobius lapponicus,NHMSYS0001387299,01,01,1800,,,
Nyctibora noctivaga,NHMSYS0020978488,01,01,1928,,,
Conocephalus dorsalis,NBNSYS0000006824,01,01,1800,,,
Blattella germanica,NBNSYS0000006856,01,01,1800,,,
Zonocerus variegatus,NHMSYS0020978452,01,01,1932,,,
Platycleis albopunctata,NHMSYS0001387438,01,01,1800,,,
Euchorthippus elegantulus,NHMSYS0020784634,01,01,1900,,,
Ramulus thaii,NHMSYS0020978506,01,01,2001,,,
Cosmoderus maculatus,NHMSYS0020978404,01,01,1941,,,
Tachycines asynamorus,NHMSYS0001387466,01,01,1800,,,
Henschoutedenia flexivitta,NBNSYS0100003439,01,01,1954,,,
Omocestus viridulus,NBNSYS0000006838,01,01,1800,,,
Chorthippus brunneus,NBNSYS0000006842,01,01,1800,,,
Loboptera decipiens,NHMSYS0001693174,01,01,1997,,,
Ectobius panzeri,NHMSYS0001387301,01,01,1800,,,
Phaneroptera nana,NHMSYS0020978368,01,01,1900,,,
Pseudomogoplistes vicentae,NHMSYS0020973988,01,01,1940,,,
Gomphocerippus rufus,NBNSYS0000006840,01,01,1800,,,
Nyctibora holosericea,NHMSYS0020978482,01,01,1931,,,
Stenobothrus lineatus,NBNSYS0000006835,01,01,1800,,,
Blatta orientalis,NBNSYS0000006854,01,01,1800,,,
Periplaneta americana,NBNSYS0000006852,01,01,1800,,,
Labia minor,NHMSYS0001387382,01,01,1800,,,
Acheta domesticus,NBNSYS0000006827,01,01,1800,,,
Forficula lesnei,NHMSYS0001387336,01,01,1800,,,
Tetrix undulata,NBNSYS0000006833,01,01,1800,,,
Ruspolia nitidula,NHMSYS0020978386,01,01,2003,,,
Locusta cinerascens,NHMSYS0020978434,01,01,1925,,,
Omocestus rufipes,NHMSYS0001387431,01,01,1800,,,
Metrioptera brachyptera,NBNSYS0000006821,01,01,1800,,,
Anisolabis maritima,NHMSYS0001387250,01,01,1900,,,
Colapteroblatta nigra,NHMSYS0020784602,01,01,1969,,,
Pycnoscelus surinamensis,NBNSYS0000006855,01,01,1800,,,
Tettigonia viridissima,NHMSYS0001387471,01,01,1800,,,
Euborellia annulipes,NHMSYS0001387304,01,01,1800,,,
