taxon,tvk,km100,km10,coord_system
Phaneroptera falcata,NHMSYS0019998481,SZ,08 29,OSGB
Phaneroptera falcata,NHMSYS0019998481,TA,02,OSGB
Phaneroptera falcata,NHMSYS0019998481,TQ,81,OSGB
Nemobius sylvestris,NBNSYS0000006828,SS,61,OSGB
Nemobius sylvestris,NBNSYS0000006828,SU,00 10 11 19 20 21 22 30 31 32 40 41 92,OSGB
Nemobius sylvestris,NBNSYS0000006828,SX,86 88 98 99,OSGB
Nemobius sylvestris,NBNSYS0000006828,SY,08 09 18 19,OSGB
Nemobius sylvestris,NBNSYS0000006828,SZ,19 29 39 49 58 59 68,OSGB
Nemobius sylvestris,NBNSYS0000006828,TQ,05 63,OSGB
Gryllus bimaculatus,NHMSYS0000377677,HZ,27,OSGB
Gryllus bimaculatus,NHMSYS0000377677,NG,71,OSGB
Gryllus bimaculatus,NHMSYS0000377677,NS,56,OSGB
Gryllus bimaculatus,NHMSYS0000377677,SJ,49,OSGB
Gryllus bimaculatus,NHMSYS0000377677,SK,00,OSGB
Gryllus bimaculatus,NHMSYS0000377677,SO,00,OSGB
Gryllus bimaculatus,NHMSYS0000377677,SP,25,OSGB
Gryllus bimaculatus,NHMSYS0000377677,ST,17,OSGB
Gryllus bimaculatus,NHMSYS0000377677,SU,18,OSGB
Gryllus bimaculatus,NHMSYS0000377677,SX,05 46 99,OSGB
Gryllus bimaculatus,NHMSYS0000377677,SY,79,OSGB
Gryllus bimaculatus,NHMSYS0000377677,SZ,57,OSGB
Gryllus bimaculatus,NHMSYS0000377677,TL,12 60 92,OSGB
Stenobothrus stigmaticus,NBNSYS0000006836,SC,26,OSGB
Acanthoxyla prasina subsp. inermis,NHMSYS0001387234,SU,71,OSGB
Acanthoxyla prasina subsp. inermis,NHMSYS0001387234,SW,33 42 43 53 61 62 64 72 73 74 75 83 84 86 87 93 94 95 97 98,OSGB
Acanthoxyla prasina subsp. inermis,NHMSYS0001387234,SX,04 05 06 07 08 15 17 45 55,OSGB
Acanthoxyla prasina subsp. inermis,NHMSYS0001387234,TQ,11,OSGB
Bacillus rossius,NHMSYS0001387264,SV,81,OSGB
Bacillus rossius,NHMSYS0001387264,SW,83,OSGB
Bacillus rossius,NHMSYS0001387264,SZ,79,OSGB
Bacillus rossius,NHMSYS0001387264,TQ,08,OSGB
Forficula auricularia,NHMSYS0001387317,HP,40 41 50 51 60 61 62,OSGB
Forficula auricularia,NHMSYS0001387317,HU,30 31 32 33 34 35 40 41 42 43 44 45 47 48 49 53 54 55 57 58 59 67 68 69 77,OSGB
Forficula auricularia,NHMSYS0001387317,HY,10 20 21 22 23 30 31 32 33 40 41 42 43 50 51 52 60 61,OSGB
