taxon,tvk,start_day,start_month,end_day,end_month,stage
Zabrus tenebrioides,NBNSYS0000007374,01,04,31,10,mature
Bembidion (Actedium) pallidipenne,NBNSYS0100001927,01,03,30,11,mature
Dicheirotrichus obsoletus,NBNSYS0000007416,01,03,30,11,mature
Eurynebria complanata,NHMSYS0001718164,01,05,31,12,mature
Harpalus (Cryptophonus) melancholicus,NHMSYS0001718348,01,05,30,09,mature
Carabus (Morphocarabus) monilis,NHMSYS0001717528,01,04,30,09,mature
Curtonotus alpinus,NHMSYS0001717776,01,05,30,09,mature
Bembidion (Bembidion) humerale,NBNSYS0100001928,01,04,31,10,mature
Harpalus (Pseudoophonus) griseus,NHMSYS0001718360,01,05,31,08,mature
Carabus (Hemicarabus) nitens,NHMSYS0001717516,01,03,31,08,mature
Harpalus (Harpalus) smaragdinus,NBNSYS0100003351,01,03,31,10,mature
Bembidion (Bembidionetolitzkya) caeruleum,NHMSYS0001717147,01,04,31,08,mature
Drypta dentata,NBNSYS0000007488,01,03,31,07,mature
Harpalus (Harpalus) dimidiatus,NBNSYS0100003340,01,04,31,10,mature
Miscodera arctica,NBNSYS0000007186,01,05,31,10,mature
Ophonus (Metophonus) rupicola,NHMSYS0001719332,01,03,31,10,mature
Harpalus (Harpalus) servus,NBNSYS0100003350,01,03,31,10,mature
Ophonus (Metophonus) parallelus,NHMSYS0001719328,01,05,30,09,mature
Thalassophilus longicornis,NBNSYS0000007193,01,04,30,09,mature
Nebria (Paranebria) livida,NHMSYS0001719107,01,05,31,10,mature
Lebia (Lebia) cruxminor,NHMSYS0001718728,01,04,31,10,mature
Amara (Paracelia) quenseli,NHMSYS0001716747,01,04,31,10,mature
Cylindera germanica,NHMSYS0001717787,01,05,31,08,mature
Harpalus (Harpalus) serripes,NHMSYS0001718357,01,04,31,10,mature
Agonum (Agonum) gracilipes,NHMSYS0001716596,01,05,30,09,mature
Harpalus (Cryptophonus) tenebrosus,NHMSYS0001718349,01,03,31,10,mature
Omophron limbatum,NHMSYS0001719291,01,02,31,10,mature
Patrobus septentrionis,NBNSYS0000007189,01,05,30,09,mature
Carabus (Autocarabus) auratus,NHMSYS0001717504,01,02,31,07,mature
Pogonus luridipennis,NBNSYS0000007276,01,03,30,09,mature
Ophonus (Metophonus) puncticollis,NHMSYS0001719330,01,02,30,09,mature
Cicindela maritima,NHMSYS0001717604,01,03,31,10,mature
Cicindela hybrida,NBNSYS0000007124,01,03,31,10,mature
Harpalus (Harpalus) pumilus,NHMSYS0001718355,01,03,30,09,mature
Pogonus littoralis,NBNSYS0000007275,01,04,30,09,mature
Calosoma sycophanta,NBNSYS0000007144,01,05,31,08,mature
Nebria (Boreonebria) rufescens,NHMSYS0001719102,01,03,30,09,mature
Carabus (Oreocarabus) glabratus,NHMSYS0001717530,01,04,30,09,mature
Asaphidion pallipes,NBNSYS0000007206,01,04,30,09,mature
Ophonus (Ophonus) sabulicola,NHMSYS0001719338,01,04,30,09,mature
Ophonus (Metophonus) cordatus,NHMSYS0001719325,01,04,30,09,mature
Ophonus (Metophonus) melletii,NHMSYS0001719327,01,04,31,12,mature
Bembidion (Notaphemphanes) ephippium,NBNSYS0100001950,01,03,31,10,mature
Polistichus connexus,NHMSYS0001719662,01,05,30,09,mature
Sericoda quadripunctata,NHMSYS0001720084,01,04,31,10,mature
Harpalus (Harpalus) honestus,NBNSYS0100003342,01,05,31,08,mature
Pelophila borealis,NBNSYS0000007151,01,06,31,08,mature
Calosoma inquisitor,NBNSYS0000007143,01,04,31,08,mature
Acupalpus elegans,NBNSYS0000007436,01,05,30,09,mature
Lebia (Lamprias) cyanocephala,NHMSYS0001718726,01,03,31,10,mature
Ophonus (Ophonus) stictus,NHMSYS0001719339,01,04,30,09,mature
Leistus (Pogonophorus) montanus,NHMSYS0001718800,01,05,31,10,mature
Perileptus areolatus,NBNSYS0000007190,01,04,30,09,mature
Ophonus (Metophonus) laticollis,NHMSYS0001719326,01,04,31,10,mature
Harpalus (Harpalus) froelichii,NHMSYS0001718352,01,04,31,10,mature
Nebria (Boreonebria) nivalis,NHMSYS0001719101,01,04,30,09,mature
Cicindela campestris,NBNSYS0000007122,01,02,30,11,mature
Elaphrus (Elaphrus) lapponicus,NHMSYS0001718039,01,04,31,10,mature
Dicheirotrichus gustavii,NHMSYS0001717913,01,03,30,11,mature
Blemus discus,NHMSYS0001717333,01,04,31,10,mature
Trechus (Epaphius) rivularis,NHMSYS0001720409,01,06,30,09,mature
Trechus (Epaphius) secalis,NHMSYS0001720410,01,04,31,12,mature
Harpalus (Harpalus) neglectus,NHMSYS0001718354,01,03,31,08,mature
Harpalus (Harpalus) laevipes,NHMSYS0001718353,01,04,31,08,mature
