taxon,tvk,km100,km10,coord_system
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,SE,01 02 03 10 11 12 13 20 21 22 23 30 31 32 40 41 42 44 45 46 50 52 53 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 80 81 82 83 84 85 90 91 92 93 94,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,SJ,30 31 32 40 41 42 50 51 52,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,SK,10 11 12 13 15 16 17 20 21 22 23 25 26 27 30 31 32 33 34 35 36 37 40 41 42 43 44 50 51 52 53 54 58 59 60 61 62 63 68 69 70 71 72 77 78 79 80 81 82 87 88 89 90 97 98 99,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,SN,60 70 80,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,SO,40 41 42 43 44 45 50 51 52 53 54 55 60 61 62 63 64 65 66 72 73 74 75 76 82 83 84 85 86 90 92 93 94 95 96,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,SP,00 02 03 04 05 10 19 26 27 28 29 30 31 32 33 36 37 38 39 40 41 42 43 46 47 48 49 50 51 52 53 58 59 60 61 62 63 68 69 71 72 73 75 76 77 78 79 85 86 87 88 89 95 96 97 98 99,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,SS,68 69 78 79 88 89,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,ST,11 12 13 14 21 22 23 24 25 31 32 33 34 35 37 38 39 41 42 43 44 47 48 49 51 52 53 54 57 58 59 62 63 64 98 99,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,SU,00 01 02 08 09 10 11 12 18 19 20 21 22 40 41 50 51 60 61 66 67 68 76 77 78 86 87 88 94 95 96 97 98,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,SY,48 49 58 59 67 68 69 77 78 79 87 88 89 97 98 99,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,SZ,49 59 69,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,TA,00 01 02 03 04 05 06 12 13 14 15 16 24 25 26,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,TF,00 01 02 10 11 12 20 21 22 30 31 40 41 50 60 80 90,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,TG,00 20 21 22 30 31 32 40 41 42 50 51,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,TL,08 09 16 17 18 19 20 21 25 26 27 28 29 30 31 35 36 37 38 39 40 41 45 46 47 48 49 56 57 58 59 68 69 88 89 92 93 94 98 99,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,TM,02 03 04 06 07 08 09 12 13 14 16 17 18 19 26 27 28 29 37 38 39 48 49 59,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,TQ,04 05 06 07 08 14 15 16 17 18 27 28 29 30 31 37 38 39 40 41 46 47 48 49 50 51 56 57 58 60 61 66 67 68 70 71 72 73 80 81 82 83 91 92 93,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,TR,01 02 12,OSGB
Bembidion (Semicampa) gilvipes,NBNSYS0100001981,TV,49 59 69,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,SH,67 68 77 78 87 88,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,SK,80 81 82 90 91 92,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,SO,65 66 67 75 76 77 85 86 87,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,SP,33 34 35 36 37 43 44 45 46 47 53 54 55 56 57 70 80 89 90 98 99,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,SS,10 11 20 21 22 30 31 32,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,ST,24 25 26 27 30 34 35 36 37 40 41 42 43 44 45 46 47 50 51 52 53 54 55 56 61 62 63 65 66 67 75 76 77 85 86 87,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,SU,13 14 15 23 24 25 33 34 35 78 79 88 89 98 99,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,SY,38 39 48 49 58 59 66 67 68 77 78 87 88 97 98 99,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,SZ,07 08 09 19 38 47 48 57 58 59 68 69 79,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,TF,00 01 02 10,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,TL,08 09 18 19 24 25 26 34 35 36 44 45 46,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,TM,03 04 05 12 13 14 15 22 23 24 25 33 34,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,TQ,00 01 06 07 08 10 11 16 17 18 20 21 26 27 28 30 31 32 37 38 39 40 41 42 46 47 48 49 50 51 52 56 57 58 59 60 65 66 67 68 69 75 76 77 78 79 85 86 87 88 89 95 96 97 98,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,TR,02 03 04 05 06 07 12 13 14 15 23 24 25 33 34 35,OSGB
Ophonus (Ophonus) azureus,NHMSYS0001719337,TV,49 59 69,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,HT,93 94,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,HY,10 20 21 22 30 31 32 40 41 42,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NA,00 10,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NC,11 12 13 21 22 23 31 32 33 41 42 43 51 52 53 60 61 62 63 70 71 75 76 80 81 85 86 95 96,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,ND,17 18 19 27 28 29 37 38 39 47 48 49 59,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NF,09 19 60 61 66 70 71 72 73 74 75 76 80 81 82 83 84 85 86,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NG,23 24 25 26 30 31 32 33 34 35 36 37 40 41 42 43 44 45 46 47 50 51 52 53 54 55 56 60 61 62 64 65 66 74 75 76 77 78 84 85 86 87 88 94 95 96 97 98,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NH,34 35 36 41 42 43 44 45 46 51 52 53 54 55 56 57 60 61 62 63 64 65 66 67 69 70 71 72 73 74 75 76 77 79 80 81 82 83 84 85 86 87 89 90 91 92 93,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NJ,00 01 02 03 10 11 12 81 82 83 91 92 93,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NK,02 03 04 05 06 14 15,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NM,38 39 48 49 59 67 68 69 71 72 73 77 78 79 81 82 83 87 88 89 91 92 93 94 95 96,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NN,01 02 03 04 05 06 10 11 12 13 14 15 16 20 21 22 23 24 25 30 31 32 33 34 35 40 42 43 44 45 52 53 54 60 61 62 63 64 69 70 71 72 73 74 79 80 81 82 83 89 90 91 92 93 99,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NO,00 01 02 03 05 06 07 08 09 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 48 52 53 54 55 56 57 58 59 63 64 65 66 67 68 69 72 74 75 76 77 78 79,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NR,15 16 24 25 26 27 33 34 35 36 37 38 39 44 45 47 48 49 67 68 69 73 74 75 77 78 79 82 83 84 85 87 88 89 92 93 94 95,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NS,00 02 03 04 10 19 20 21 22 23 24 25 28 29 30 31 32 33 34 35 38 39 40 41 42 43 44 45 46 48 49 51 52 53 54 55 56 61 62 63 64 65 66 69 71 72 73 74 75 76 77 78 79 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NT,01 02 03 06 07 08 09 15 16 17 18 19 24 25 26 27 28 29 34 35 36 37 38 39 40 41 42 43 44 45 46 49 50 51 52 53 56 57 58 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 80 81 82 83 84 85 90 91 92 93 94,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NU,00 01 02 03 04 05 10 11 12 13 14 20 21 22 23,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NW,95 96,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NX,04 05 06 08 09 17 18 19 26 27 28 29 30 33 34 35 36 37 38 39 40 43 44 45 46 47 48 49 54 55 56 57 58 59 65 66 67 68 75 76 77 78 84 85 86 87 88 90 91 92 93 95 96 97 98,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NY,00 01 02 03 04 05 06 07 08 10 11 12 13 14 15 16 17 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 48 51 52 53 54 55 56 57 58 59 61 62 63 64 65 66 67 68 69 71 72 73 74 75 76 77 78 79 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Pterostichus (Argutor) strenuus,NHMSYS0001719774,NZ,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 50 51 52 53 60 61 62 70 71 72 80 81 90 91,OSGB
