taxon,tvk,start_day,start_month,end_day,end_month,stage
Paragus albifrons,NBNSYS0000006892,01,06,02,11,mature
Cheilosia impressa,NBNSYS0000006985,02,04,07,11,mature
Xylota florum,NBNSYS0000007114,28,04,18,10,mature
Blera fallax,NBNSYS0000007099,17,03,07,12,mature
Xylota tarda,NBNSYS0000007117,22,04,24,10,mature
Xanthogramma pedissequum,NBNSYS0000006968,20,03,02,11,mature
Melanogaster hirtella,NBNSYS0100003969,18,01,02,11,mature
Cheilosia antiqua,NBNSYS0000006974,24,01,02,10,mature
Chamaesyrphus scaevoides,NBNSYS0000007072,02,06,31,10,mature
Parhelophilus consimilis,NBNSYS0000007062,17,05,19,08,mature
Myolepta potens,NBNSYS0000007025,14,06,19,07,mature
Baccha elongata,NBNSYS0000006862,06,02,30,12,mature
Callicera rufa,NBNSYS0000006970,03,01,01,01,mature
Cheilosia sahlbergi,NBNSYS0000006997,02,06,25,09,mature
Eumerus sabulonum,NBNSYS0000007066,22,05,12,09,mature
Heringia verrucula,NBNSYS0100003451,14,04,30,09,mature
Cheilosia vernalis,NBNSYS0000007003,05,01,06,11,mature
Platycheirus melanopsis,NBNSYS0000006878,08,03,10,10,mature
Cheilosia vicina,NBNSYS0100002333,06,01,18,12,mature
Cheilosia barbata,NBNSYS0000006975,04,05,18,09,mature
Heringia vitripennis,NBNSYS0100003452,25,04,16,10,mature
Melangyna cincta,NBNSYS0000006930,06,02,18,12,mature
Caliprobola speciosa,NBNSYS0000007102,03,05,30,06,mature
Syrphus ribesii,NBNSYS0000006964,07,01,22,12,mature
Eristalis horticola,NBNSYS0000007049,06,02,18,12,mature
Sphaerophoria virgata,NBNSYS0000006961,06,02,07,11,mature
Arctophila superbiens,NBNSYS0100001633,20,01,31,10,mature
Hammerschmidtia ferruginea,NBNSYS0000007021,07,05,24,10,mature
Syrphus vitripennis,NBNSYS0000006966,08,01,20,12,mature
Melangyna quadrimaculata,NBNSYS0000006928,24,02,01,10,mature
Melanostoma mellinum,NBNSYS0000006866,17,01,18,12,mature
Callicera aurata,NBNSYS0000006969,13,03,02,10,mature
Sphaerophoria taeniata,NBNSYS0000006960,26,04,02,11,mature
Platycheirus angustatus,NBNSYS0000006872,08,04,02,11,mature
Eupeodes lapponicus,NBNSYS0100003108,18,06,10,08,mature
Epistrophe eligans,NBNSYS0000006912,06,02,07,11,mature
Cheilosia chrysocoma,NBNSYS0000006978,16,03,22,06,mature
Pipiza lugubris misident.,NBNSYS0100022711,25,04,11,12,mature
Cheilosia scutellata,NBNSYS0000006998,04,05,11,12,mature
Rhingia rostrata,NBNSYS0000007011,02,04,05,11,mature
Brachyopa pilosa,NBNSYS0000007014,14,04,09,09,mature
Anasimyia lunulata,NBNSYS0000007042,07,05,30,09,mature
Brachypalpoides lentus,NBNSYS0100002071,14,04,02,10,mature
Myathropa florea,NBNSYS0000007061,08,01,23,12,mature
Brachyopa insensilis,NBNSYS0000007013,23,02,01,12,mature
Epistrophe diaphana,NBNSYS0000006911,13,05,02,11,mature
Meligramma guttatum,NBNSYS0100003975,08,05,10,09,mature
Melanogaster aerosa,NBNSYS0100003968,20,05,23,09,mature
Eristalis tenax,NBNSYS0000007054,03,01,30,12,mature
Parasyrphus malinellus,NBNSYS0100004458,17,04,01,10,mature
Melangyna ericarum,NBNSYS0000006925,24,06,03,10,mature
Anasimyia interpuncta,NBNSYS0000007040,10,04,09,09,mature
Cheilosia ahenea,NBNSYS0000144219,27,06,01,07,mature
Cheilosia cynocephala,NBNSYS0000006979,30,04,04,10,mature
Cheilosia nebulosa,NBNSYS0000006991,02,04,17,06,mature
Sphegina verecunda,NBNSYS0000007038,18,04,02,10,mature
Cheilosia lasiopa,NBNSYS0100002329,09,04,07,09,mature
Xanthandrus comtus,NBNSYS0000006889,25,04,28,11,mature
Sphaerophoria fatarum,NBNSYS0000006953,06,02,24,09,mature
Microdon devius,NBNSYS0000007119,20,05,14,07,mature
Chrysotoxum verralli,NBNSYS0000006900,14,05,15,11,mature
Chrysogaster virescens,NBNSYS0000007020,06,02,02,11,mature
Eupeodes nielseni,NBNSYS0100003112,13,04,01,10,mature
Doros profuges,NBNSYS0000146310,21,05,31,07,mature
Orthonevra brevicornis,NBNSYS0000007032,17,04,16,09,mature
Sericomyia silentis,NBNSYS0000007093,12,04,18,12,mature
Cheilosia mutabilis,NBNSYS0000006989,30,03,27,08,mature
Neoascia tenur,NBNSYS0000007031,12,01,27,11,mature
Orthonevra geniculata,NBNSYS0000007033,06,02,14,10,mature
Neoascia interrupta,NBNSYS0000007027,07,04,21,09,mature
Sphaerophoria interrupta,NBNSYS0000157028,18,02,09,10,mature
Melangyna arctica,NBNSYS0000006922,18,03,07,10,mature
Meligramma trianguliferum,NBNSYS0100003977,15,04,02,11,mature
Pipiza bimaculata,NBNSYS0000007081,26,04,07,10,mature
Eristalis abusivus,NBNSYS0000007046,18,02,22,10,mature
Eumerus ornatus,NBNSYS0000007065,20,04,02,11,mature
Meligramma euchromum,NBNSYS0100003973,13,04,08,09,mature
Sphaerophoria potentillae,NBNSYS0000006963,28,05,09,07,mature
Sericomyia lappona,NBNSYS0000007092,06,02,18,12,mature
Cheilosia nigripes,NBNSYS0000006992,04,05,03,07,mature
Leucozona laternaria,NBNSYS0000006919,08,01,30,09,mature
Eupeodes latifasciatus,NBNSYS0100003109,11,01,17,12,mature
Pocota personata,NBNSYS0000007109,12,04,02,11,mature
Cheilosia uviformis,NBNSYS0000033081,27,04,12,06,mature
Neoascia geniculata,NBNSYS0000007026,30,03,08,10,mature
Syrphus torvus,NBNSYS0100022820,05,01,18,12,mature
Cheilosia griseiventris,NBNSYS0000006981,01,04,21,09,mature
Platycheirus podagratus,NBNSYS0000006881,07,03,07,10,mature
Platycheirus fulviventris,NBNSYS0000006875,07,04,01,11,mature
Eristalinus sepulchralis,NBNSYS0000007045,10,04,02,11,mature
Parasyrphus lineola,NBNSYS0100004457,10,04,02,10,mature
Platycheirus tarsalis,NBNSYS0000006885,02,04,02,11,mature
Tropidia scita,NBNSYS0000007111,06,01,10,11,mature
Cheilosia carbonaria,NBNSYS0000006977,18,04,13,09,mature
Chrysogaster solstitialis,NBNSYS0000007019,08,01,18,12,mature
Chrysogaster cemiteriorum,NBNSYS0000144380,18,02,16,09,mature
Parasyrphus punctulatus,NBNSYS0000006947,03,03,07,11,mature
Pipiza austriaca,NBNSYS0000007080,22,04,02,10,mature
Sphaerophoria bankowskae,NBNSYS0000033254,08,06,10,07,mature
Chrysotoxum vernale,NBNSYS0000006899,05,05,14,08,mature
Neoascia meticulosa,NBNSYS0000007028,03,04,01,11,mature
Orthonevra nobilis,NBNSYS0000007034,20,02,02,11,mature
Dasysyrphus pinastri,NBNSYS0100002754,06,04,27,10,mature
Melangyna umbellatarum,NBNSYS0000006929,11,03,02,11,mature
Parhelophilus versicolor,NBNSYS0000007064,07,04,01,11,mature
Platycheirus immarginatus,NBNSYS0000006876,08,05,13,11,mature
Chrysotoxum bicinctum,NBNSYS0000006894,21,03,02,11,mature
Chamaesyrphus caledonicus,NBNSYS0000007071,08,06,07,08,mature
Leucozona lucorum,NBNSYS0000006920,20,03,18,12,mature
Cheilosia velutina,NBNSYS0000007002,30,04,09,09,mature
Sphaerophoria loewi,NBNSYS0000006955,06,06,02,09,mature
Criorhina asilica,NBNSYS0000007105,05,04,02,10,mature
Eristalis rupium,NBNSYS0000007053,16,03,06,10,mature
Pipiza luteitarsis,NBNSYS0000007084,04,04,03,09,mature
Cheilosia proxima,NBNSYS0000006995,11,03,07,11,mature
Scaeva mecogramma,NBNSYS0000006950,20,08,20,08,mature
Orthonevra intermedia,NHMSYS0020978350,03,07,07,07,mature
Volucella inanis,NBNSYS0000007095,18,04,11,10,mature
Meliscaeva cinctella,NBNSYS0000006934,06,02,11,12,mature
Platycheirus rosarum,NBNSYS0100004763,11,03,29,10,mature
Volucella inflata,NBNSYS0000007096,08,01,05,11,mature
Parhelophilus frutetorum,NBNSYS0000007063,22,04,02,11,mature
Cheilosia vulpina,NBNSYS0000007004,27,04,02,11,mature
Eupeodes lundbecki,NBNSYS0100003111,05,07,05,09,mature
Cheilosia bergenstammi,NBNSYS0000006976,06,02,07,11,mature
Epistrophe nitidicollis,NBNSYS0000006914,06,02,07,11,mature
Anasimyia lineata,NBNSYS0000007041,22,04,01,11,mature
Scaeva selenitica,NBNSYS0000006952,05,01,28,12,mature
Meliscaeva auricollis,NBNSYS0000006933,03,01,01,01,mature
Pipiza noctiluca,NBNSYS0000007085,27,01,07,11,mature
Sphaerophoria scripta,NBNSYS0000006959,05,01,10,12,mature
Parasyrphus vittiger,NBNSYS0000006948,20,03,07,10,mature
Brachypalpus laphriformis,NBNSYS0000007101,23,01,02,11,mature
Melanostoma scalare,NBNSYS0000006867,07,01,18,12,mature
Eristalis interruptus,NBNSYS0100003071,08,01,11,12,mature
Eumerus funeralis,NBNSYS0100027571,11,01,02,11,mature
Epistrophe melanostoma,NBNSYS0000033212,15,04,29,09,mature
Eupeodes corollae,NBNSYS0000006937,19,02,26,11,mature
Dasysyrphus albostriatus,NBNSYS0000006901,16,01,11,12,mature
Helophilus pendulus,NBNSYS0000007057,08,01,22,12,mature
Trichopsomyia flavitarsis,NBNSYS0000007089,24,04,07,09,mature
Pipizella viduata,NBNSYS0100022723,03,04,15,11,mature
Didea fasciata,NBNSYS0000006908,16,01,09,11,mature
Volucella zonaria,NBNSYS0000007098,10,03,11,11,mature
Xylota jakutorum,NBNSYS0100027469,18,04,01,12,mature
Cheilosia urbana,NBNSYS0100002332,20,03,02,11,mature
Chrysotoxum cautum,NBNSYS0000006895,06,04,22,09,mature
Platycheirus granditarsus,NBNSYS0100004762,18,02,17,12,mature
Platycheirus perpallidus,NBNSYS0000006880,03,05,15,09,mature
Paragus haemorrhous,NBNSYS0000006890,08,04,07,11,mature
Chrysotoxum elegans,NBNSYS0000006896,02,04,10,10,mature
Didea intermedia,NBNSYS0000006909,28,04,15,10,mature
Neoascia podagrica,NBNSYS0000007030,08,01,18,12,mature
Ferdinandea ruficornis,NBNSYS0000007008,02,04,12,09,mature
Didea alneti,NBNSYS0000006907,14,05,20,09,mature
Epistrophe grossulariae,NBNSYS0000006913,27,01,12,12,mature
Cheilosia semifasciata,NBNSYS0000006999,21,03,06,07,mature
Cheilosia variabilis,NBNSYS0000007001,16,03,02,11,mature
Volucella pellucens,NBNSYS0000007097,31,01,18,12,mature
Scaeva pyrastri,NBNSYS0000006951,08,01,18,12,mature
Chrysotoxum octomaculatum nomen nudum,NBNSYS0000006898,23,05,30,08,mature
Paragus tibialis,NBNSYS0000006891,21,05,11,10,mature
"Chrysotoxum arcuatum authors, misident.",NBNSYS0100022449,15,04,03,11,mature
Helophilus groenlandicus,NBNSYS0000007055,02,07,18,07,mature
Microdon analis,NBNSYS0100004052,03,02,07,11,mature
Chalcosyrphus eunotus,NBNSYS0000007104,17,04,01,07,mature
Sphegina sibirica,NBNSYS0000033089,11,05,21,08,mature
Eristalis cryptarum,NBNSYS0000007048,06,04,13,09,mature
Triglyphus primus,NBNSYS0000007090,06,05,04,10,mature
Sphaerophoria rueppellii,NBNSYS0000006958,11,04,26,11,mature
Psilota anthracina,NBNSYS0000007070,23,04,17,06,mature
Parasyrphus nigritarsis,NBNSYS0000006946,29,04,03,08,mature
Chalcosyrphus nemorum,NBNSYS0000007103,23,02,15,11,mature
Eristalis pertinax,NBNSYS0000007052,05,01,18,12,mature
Criorhina ranunculi,NBNSYS0000007108,02,03,13,11,mature
"Dasysyrphus hilaris authors, misident.",NBNSYS0100022475,15,04,10,07,mature
Cheilosia psilophthalma,NBNSYS0000042524,23,04,24,05,mature
Callicera spinolae,NBNSYS0000006971,09,09,08,10,mature
Riponnensia splendens,NBNSYS0100005170,20,02,02,11,mature
Melanostoma dubium,NBNSYS0000006865,08,03,08,09,mature
Cheilosia latifrons,NBNSYS0100002330,26,03,02,11,mature
Cheilosia pagana,NBNSYS0000006993,05,02,06,12,mature
Lejogaster tarsata,NBNSYS0000150120,09,05,01,10,mature
Platycheirus sticticus,NBNSYS0000006884,07,04,24,09,mature
Neoascia obliqua,NBNSYS0000007029,27,03,04,10,mature
Xylota abiens,NBNSYS0000007112,23,04,23,09,mature
Platycheirus discimanus,NBNSYS0000006874,26,03,01,10,mature
Dasysyrphus tricinctus,NBNSYS0000006905,06,02,18,12,mature
Mallota cimbiciformis,NBNSYS0000007060,26,03,24,09,mature
Parasyrphus annulatus,NBNSYS0000006943,10,04,07,10,mature
Pelecocera tricincta,NBNSYS0000007073,23,05,11,12,mature
Eumerus strigatus,NBNSYS0000007067,15,03,15,11,mature
Xylota sylvarum,NBNSYS0000007116,08,01,01,12,mature
Sphaerophoria philanthus,NBNSYS0000157031,22,04,14,10,mature
Platycheirus manicatus,NBNSYS0000006877,07,03,18,12,mature
Trichopsomyia lucida,NHMSYS0020978356,24,08,24,08,mature
Melangyna barbifrons,NBNSYS0000006923,14,03,12,08,mature
Eupeodes nitens,NBNSYS0100003113,13,04,21,11,mature
Helophilus trivittatus,NBNSYS0000007058,16,04,02,11,mature
Platycheirus albimanus,NBNSYS0000006871,05,01,18,12,mature
Epistrophe ochrostoma,NBNSYS0000033189,06,05,06,05,mature
Cheilosia longula,NBNSYS0000006988,20,04,28,10,mature
Brachyopa bicolor,NBNSYS0000007012,24,03,26,06,mature
Portevinia maculata,NBNSYS0000007009,05,01,02,10,mature
Cheilosia caerulescens,NHMSYS0020978338,25,05,25,05,mature
Helophilus affinis,NBNSYS0000042363,03,08,12,08,mature
Eristalis similis,NBNSYS0100003072,28,03,06,07,mature
Xylota segnis,NBNSYS0000007115,08,01,21,11,mature
Dasysyrphus friuliensis,NBNSYS0000006902,24,04,22,07,mature
Ferdinandea cuprea,NBNSYS0000007007,17,01,11,12,mature
Heringia brevidens,NBNSYS0100003448,25,04,11,08,mature
Dasysyrphus venustus,NBNSYS0000006906,06,02,18,12,mature
Eriozona syrphoides,NBNSYS0000006917,11,05,31,10,mature
Sphegina elegans,NBNSYS0000157089,30,04,02,10,mature
Xylota xanthocnema,NBNSYS0000007118,18,05,25,09,mature
Eristalis arbustorum,NBNSYS0000007047,08,01,18,12,mature
Melangyna lasiophthalma,NBNSYS0000006927,10,02,04,10,mature
Lejogaster metallina,NBNSYS0000007022,18,02,07,11,mature
Lejops vittatus,NBNSYS0100003702,19,05,21,09,mature
Criorhina floccosa,NBNSYS0000007107,05,04,07,10,mature
Myolepta dubia,NBNSYS0100004156,20,05,24,09,mature
Cheilosia pubera misident.,NBNSYS0100022371,21,04,06,08,mature
Rhingia campestris,NBNSYS0000007010,06,02,18,12,mature
Eupeodes goeldlini,NHMSYS0020978344,24,06,25,08,mature
Eriozona erratica,NBNSYS0100003070,28,04,12,10,mature
Heringia latitarsis,NBNSYS0100003449,01,05,19,10,mature
Platycheirus scambus,NBNSYS0000006882,07,05,07,10,mature
Leucozona glaucia,NBNSYS0000006918,08,01,11,12,mature
Sphaerophoria batava,NBNSYS0000006954,06,02,13,10,mature
Chrysotoxum festivum,NBNSYS0000006897,03,02,02,11,mature
Cheilosia grossa,NBNSYS0000006982,28,02,31,07,mature
Cheilosia soror,NBNSYS0000007000,23,04,02,12,mature
Anasimyia transfuga,NBNSYS0000007043,27,04,03,10,mature
Eristalis intricarius,NBNSYS0000007050,08,01,06,12,mature
Episyrphus balteatus,NBNSYS0000006916,03,01,28,12,mature
Syritta pipiens,NBNSYS0000007110,08,01,18,12,mature
Platycheirus ambiguus,NBNSYS0000006869,02,02,02,11,mature
Criorhina berberina,NBNSYS0000007106,16,03,10,11,mature
Sphegina clunipes,NBNSYS0000007036,18,02,11,12,mature
Scaeva albomaculata,NBNSYS0000006949,17,06,03,08,mature
Eristalinus aeneus,NBNSYS0000007044,11,01,02,11,mature
Cheilosia fraterna,NBNSYS0000005502,06,02,18,12,mature
Pipiza fenestrata,NBNSYS0000007082,18,04,08,09,mature
Cheilosia albipila,NBNSYS0000006972,25,02,02,10,mature
Merodon equestris,NBNSYS0000007069,11,01,02,11,mature
Brachyopa scutellaris,NBNSYS0000007015,27,02,02,11,mature
Xanthogramma citrofasciatum,NBNSYS0000006967,22,04,08,09,mature
Helophilus hybridus,NBNSYS0000007056,07,03,02,11,mature
Volucella bombylans,NBNSYS0000007094,31,01,18,12,mature
Pipizella maculipennis,NBNSYS0000007086,26,05,12,08,mature
Cheilosia illustrata,NBNSYS0000006984,25,03,02,11,mature
Heringia pubescens,NBNSYS0100003450,22,04,29,08,mature
"Pipizella virens authors, misident.",NBNSYS0100022728,04,05,06,09,mature
Anasimyia contracta,NBNSYS0000007039,30,04,01,11,mature
