tvk,code,taxon
NHMSYS0020925855,1,Acanella arbuscula
NHMSYS0020925856,1,Acanella eburnea
NHMSYS0020925857,1,Acanthogorgia armata
NHMSYS0020925858,1,Acanthogorgia hirsuta
NHMSYS0020925859,1,Acanthogorgia truncata
NHMSYS0020925860,1,Anomocora fecunda
NHMSYS0020925861,1,Anthothela grandiflora
NHMSYS0020925862,1,Antipathes dichotoma
NHMSYS0020925863,1,Antipathes erinaceus
NHMSYS0020925864,1,Antipathes virgata
NHMSYS0020925865,1,Aulocyathus atlanticus
NHMSYS0020925866,1,Balanophyllia (Balanophyllia) thalassae
NHMSYS0020925867,1,Bathypathes patula
NHMSYS0020925868,1,Bebryce mollis
NHMSYS0020925869,1,Callogorgia verticillata
NHMSYS0020925870,1,Calyptrophora josephinae
NHMSYS0020925871,1,Candidella imbricata
NHMSYS0020925872,1,Caryophyllia (Caryophyllia) abyssorum
NHMSYS0020925873,1,Caryophyllia (Caryophyllia) alberti
NHMSYS0020925874,1,Caryophyllia (Caryophyllia) ambrosia
NHMSYS0020925875,1,Caryophyllia (Caryophyllia) atlantica
NHMSYS0020925876,1,Caryophyllia (Caryophyllia) calveri
NHMSYS0020925877,1,Caryophyllia (Caryophyllia) cyathus
NHMSYS0020925878,1,Caryophyllia (Caryophyllia) foresti
NHMSYS0020925879,1,Caryophyllia (Caryophyllia) sarsiae
NHMSYS0020925880,1,Caryophyllia (Caryophyllia) seguenzae
NHMSYS0020925881,1,Chelidonisis aurantiaca
NHMSYS0020925882,1,Chrysogorgia elegans
NHMSYS0020925883,1,Chrysogorgia pentasticha
NHMSYS0020925884,1,Cladocora debilis
NHMSYS0020925885,1,Coenocyathus anthophyllites
NHMSYS0020925886,1,Concentrotheca laevigata
NHMSYS0020925887,1,Corallium johnsoni
NHMSYS0020925888,1,Corallium niobe
NHMSYS0020925889,1,Corallium tricolor
NHMSYS0020925890,1,Dasmosmilia lymani
NHMSYS0020925891,1,Dasmosmilia variegata
NHMSYS0020925892,1,Deltocyathus eccentricus
NHMSYS0020925893,1,Deltocyathus italicus
NHMSYS0020925894,1,Deltocyathus moseleyi
NHMSYS0020925895,1,Dendrophyllia alternata
NHMSYS0020925896,1,Dentomuricea meteor
NHMSYS0020925897,1,Desmophyllum dianthus
NHMSYS0020925898,1,Eguchipsammia gaditana
NHMSYS0020925962,1,Ellisella flagellum
NHMSYS0020925900,1,Enallopsammia rostrata
NHMSYS0020925901,1,Eunicella dubia
NHMSYS0020925902,1,Flabellum (Flabellum) chunii
NHMSYS0020925903,1,Flabellum (Ulocyathus) alabastrum
NHMSYS0020925904,1,Fungiacyathus (Bathyactis) crispus
NHMSYS0020925905,1,Fungiacyathus (Bathyactis) marenzelleri
NHMSYS0020925906,1,Fungiacyathus (Fungiacyathus) fragilis
NHMSYS0020925907,1,Isidella elongata
NHMSYS0020925908,1,Javania cailleti
NHMSYS0020925909,1,Javania pseudoalabastra
NHMSYS0020925910,1,Keratoisis grandis
NHMSYS0020925911,1,Keratoisis grayi
NHMSYS0020925912,1,Keratoisis palmae
NHMSYS0020925913,1,Leiopathes glaberrima
NHMSYS0020925914,1,Leiopathes grimaldii
NHMSYS0020925915,1,Leptopsammia formosa
NHMSYS0020925916,1,Madracis profunda
NHMSYS0020925917,1,Metallogorgia melanotrichos
NHMSYS0020925918,1,Muriceides furcata
NHMSYS0020925919,1,Muriceides lepida
NHMSYS0020925920,1,Muriceides paucituberculata
NHMSYS0020925921,1,Narella allmani
NHMSYS0020925922,1,Narella bellissima
NHMSYS0020925923,1,Narella versluysi
NHMSYS0020925924,1,Nicella granifera
NHMSYS0020925925,1,Paracyathus arcuatus
NHMSYS0020925926,1,Paracyathus pulchellus
NHMSYS0020925927,1,Paramuricea candida
NHMSYS0020925928,1,Paramuricea grayi
NHMSYS0020925929,1,Parantipathes hirondelle
NHMSYS0020925931,1,Peponocyathus folliculus
NHMSYS0020925932,1,Placogorgia coronata
NHMSYS0020925933,1,Placogorgia intermedia
NHMSYS0020925934,1,Placogorgia massiliensis
NHMSYS0020925935,1,Placogorgia terceira
NHMSYS0020925937,1,Premocyathus cornuformis
NHMSYS0020925938,1,Radicipes challengeri
NHMSYS0020925939,1,Schizocyathus fissilis
NHMSYS0020925963,1,Stauropathes punctata
NHMSYS0020925940,1,Stephanocyathus (Odontocyathus) nobilis
NHMSYS0020925941,1,Stephanocyathus (Stephanocyathus) crassus
NHMSYS0020925942,1,Stephanocyathus (Stephanocyathus) moseleyanus
NHMSYS0020925943,1,Stichopathes abyssicola
NHMSYS0020925944,1,Stichopathes dissimilis
NHMSYS0020925945,1,Stichopathes richardi
NHMSYS0020925946,1,Swiftia dubia
NHMSYS0020925947,1,Tanacetipathes squamosa
NHMSYS0020925948,1,Tethocyathus variabilis
NHMSYS0020925949,1,Thesea talismani
NHMSYS0020925950,1,Thouarella (Euthouarella) hilgendorfi
NHMSYS0020925951,1,Thouarella (Thouarella) variabilis
NHMSYS0020925952,1,Titanideum obscurum
NHMSYS0020925953,1,Trochocyathus (Trochocyathus) spinosocostatus
NHMSYS0020925954,1,Vaughanella concinna
NHMSYS0020925956,1,Villogorgia bebrycoides
