taxon,tvk,km100,km10,coord_system
Acanthocardia aculeata,NBNSYS0000173547,JV,99,OSGB
Acanthocardia aculeata,NBNSYS0000173547,NB,13 84,OSGB
Acanthocardia aculeata,NBNSYS0000173547,NG,88,OSGB
Acanthocardia aculeata,NBNSYS0000173547,NP,19,OSGB
Acanthocardia aculeata,NBNSYS0000173547,NX,40 63 73,OSGB
Acanthocardia aculeata,NBNSYS0000173547,OL,94,OSGB
Acanthocardia aculeata,NBNSYS0000173547,OV,17,OSGB
Acanthocardia aculeata,NBNSYS0000173547,SC,94,OSGB
Acanthocardia aculeata,NBNSYS0000173547,SG,34,OSGB
Acanthocardia aculeata,NBNSYS0000173547,SH,53 58,OSGB
Acanthocardia aculeata,NBNSYS0000173547,SS,39,OSGB
Acanthocardia aculeata,NBNSYS0000173547,SV,91,OSGB
Acanthocardia aculeata,NBNSYS0000173547,SX,45 54 73 95 96,OSGB
Acanthocardia aculeata,NBNSYS0000173547,SY,78,OSGB
Acanthocardia aculeata,NBNSYS0000173547,T,49,OSNI
Acanthocardia aculeata,NBNSYS0000173547,TA,09,OSGB
Acanthocardia aculeata,NBNSYS0000173547,TQ,30,OSGB
Acanthocardia aculeata,NBNSYS0000173547,TV,39,OSGB
Achaeus cranchii,NBNSYS0000173566,D,86,OSNI
Achaeus cranchii,NBNSYS0000173566,L,54 71 74,OSNI
Achaeus cranchii,NBNSYS0000173566,NS,01,OSGB
Achaeus cranchii,NBNSYS0000173566,O,85,OSNI
Achaeus cranchii,NBNSYS0000173566,SB,80,OSGB
Achaeus cranchii,NBNSYS0000173566,SC,16 17,OSGB
Achaeus cranchii,NBNSYS0000173566,SR,94,OSGB
Achaeus cranchii,NBNSYS0000173566,SS,14 19 24,OSGB
Achaeus cranchii,NBNSYS0000173566,SV,91,OSGB
Achaeus cranchii,NBNSYS0000173566,SW,73 83,OSGB
Achaeus cranchii,NBNSYS0000173566,SX,43 47 63,OSGB
Achaeus cranchii,NBNSYS0000173566,SY,56 67 87,OSGB
Achaeus cranchii,NBNSYS0000173566,TR,27 28 85,OSGB
Achaeus cranchii,NBNSYS0000173566,TV,79 89,OSGB
Acipenser sturio,NBNSYS0000188597,SN,10 30,OSGB
Acipenser sturio,NBNSYS0000188597,SS,68,OSGB
Actinauge richardi,NBNSYS0000173599,D,75,OSNI
Actinauge richardi,NBNSYS0000173599,HX,15 27,OSGB
Actinauge richardi,NBNSYS0000173599,HZ,99,OSGB
Actinauge richardi,NBNSYS0000173599,JR,18 90,OSGB
Actinauge richardi,NBNSYS0000173599,JV,99,OSGB
Actinauge richardi,NBNSYS0000173599,NA,87,OSGB
Actinauge richardi,NBNSYS0000173599,NB,84,OSGB
Actinauge richardi,NBNSYS0000173599,NE,18 30 79,OSGB
Actinauge richardi,NBNSYS0000173599,NF,04 08,OSGB
Actinauge richardi,NBNSYS0000173599,NL,06 64 75,OSGB
Actinauge richardi,NBNSYS0000173599,NM,48,OSGB
Actinauge richardi,NBNSYS0000173599,NO,85,OSGB
Actinauge richardi,NBNSYS0000173599,NP,19,OSGB
Actinauge richardi,NBNSYS0000173599,NQ,07 47,OSGB
Actinauge richardi,NBNSYS0000173599,NR,90,OSGB
Actinauge richardi,NBNSYS0000173599,OM,17,OSGB
Actinauge richardi,NBNSYS0000173599,OQ,07,OSGB
Actinauge richardi,NBNSYS0000173599,SL,71 72,OSGB
Actinauge richardi,NBNSYS0000173599,SM,00,OSGB
Actinauge richardi,NBNSYS0000173599,SQ,12 18 75 84,OSGB
Actinauge richardi,NBNSYS0000173599,SR,17 18 78,OSGB
Actinauge richardi,NBNSYS0000173599,SV,12 54 66,OSGB
Actinauge richardi,NBNSYS0000173599,SW,07 39 93,OSGB
Actinauge richardi,NBNSYS0000173599,SX,12 23 35,OSGB
Actinauge richardi,NBNSYS0000173599,V,14 15,OSNI
Actinauge richardi,NBNSYS0000173599,X,05 32 85 86,OSNI
Actinauge richardi,NBNSYS0000173599,Y,21 22 24 32 92,OSNI
Actinia equina,NBNSYS0000173601,B,83,OSNI
Actinia equina,NBNSYS0000173601,C,13 14 23 24 35 45 83 84 94 99,OSNI
Actinia equina,NBNSYS0000173601,D,04 05 08 09 14 15 18 21 22 23 24 28 29 30 31 32 40 41 45 46 56 57 58 59 67 68 79 82 86 87 88 99,OSNI
Actinia equina,NBNSYS0000173601,F,60 63 94,OSNI
Actinia equina,NBNSYS0000173601,G,14 23 33 53 54 64 67 69 75 76 77 87,OSNI
Actinia equina,NBNSYS0000173601,HP,50 61,OSGB
Actinia equina,NBNSYS0000173601,HT,93 94,OSGB
Actinia equina,NBNSYS0000173601,HU,15 16 24 30 31 32 33 34 36 37 42 44 45 46 47 48 50 54 57 59,OSGB
Actinia equina,NBNSYS0000173601,HW,63 83,OSGB
Actinia equina,NBNSYS0000173601,HY,20 21 22 30 31 32 33 40 41 42 43 45 50 51 55 62 63 64 73 74,OSGB
Actinia equina,NBNSYS0000173601,HZ,16 26 27,OSGB
Actinia equina,NBNSYS0000173601,J,11 20 21 31 32 38 43 48 49 53 54 55 56 58 64 65 66 67 98 99,OSNI
Actinia equina,NBNSYS0000173601,L,54 55 64 72 74 76 77 82 92,OSNI
Actinia equina,NBNSYS0000173601,M,11 21 22 32,OSNI
Actinia equina,NBNSYS0000173601,NA,00 10 91 92,OSGB
Actinia equina,NBNSYS0000173601,NB,01 02 03 10 12 13 14 20 23 32 34 35 42 43 45 53 54 56 90 91,OSGB
Actinia equina,NBNSYS0000173601,NC,01 02 03 13 14 15 23 24 25 35 36 37 45 46 86 90 91,OSGB
Actinia equina,NBNSYS0000173601,ND,01 07 35 36 37 47 49,OSGB
Actinia equina,NBNSYS0000173601,NF,09 19 30 60 66 70 71 72 73 74 75 77 82 84 85 86 87 96 97 98 99,OSGB
Actinia equina,NBNSYS0000173601,NG,08 19 20 23 24 29 33 36 47 49 54 63 71 73 76 77 82 83 85 87 88 89 99,OSGB
Actinia equina,NBNSYS0000173601,NH,08 19 75 76 86 98,OSGB
Actinia equina,NBNSYS0000173601,NJ,16 17 46 56 76 86 96,OSGB
Actinia equina,NBNSYS0000173601,NK,13 14,OSGB
Actinia equina,NBNSYS0000173601,NL,58 69,OSGB
Actinia equina,NBNSYS0000173601,NM,19 24 25 31 32 34 35 42 43 44 45 46 47 48 52 53 55 56 57 61 62 64 65 66 67 68 70 71 72 73 75 76 77 81 82 83 84 94 95,OSGB
Actinia equina,NBNSYS0000173601,NN,00 05 10 11 20,OSGB
Actinia equina,NBNSYS0000173601,NO,53 60 87 88,OSGB
Actinia equina,NBNSYS0000173601,NQ,00 30 31 41 51 62,OSGB
Actinia equina,NBNSYS0000173601,NR,00 10 15 20 24 25 26 27 30 31 34 37 44 45 46 47 56 57 58 59 60 62 67 68 69 71 72 75 76 77 78 79 82 83 84 86 87 95 96 97 98 99,OSGB
Actinia equina,NBNSYS0000173601,NS,02 03 05 06 07 08 09 10 14 15 16 18 19 21 27 28 29 37,OSGB
Actinia equina,NBNSYS0000173601,NT,17 27 58 67 68 69 76 77 86 87 95 96 97,OSGB
Actinia equina,NBNSYS0000173601,NU,04 05 13 14 20 21 22 23,OSGB
Actinia equina,NBNSYS0000173601,NV,39 99,OSGB
Actinia equina,NBNSYS0000173601,NW,09 29 39 43 47 48 49 53 55 56 60 61 63 64 65 66 70 71 72 73 97,OSGB
Actinia equina,NBNSYS0000173601,NX,07 13 14 24 25 33 34 43 44 55 64 74 84 85 91 92 93,OSGB
Actinia equina,NBNSYS0000173601,NY,00 03 04,OSGB
Actinia equina,NBNSYS0000173601,NZ,36 37 38 39 43 44 45 46 52 53 62 71 72 81 90 91,OSGB
Actinia equina,NBNSYS0000173601,O,18 21 22 25,OSNI
Actinia equina,NBNSYS0000173601,Q,40 52 62 71 74 83 86 95 96 97,OSNI
Actinia equina,NBNSYS0000173601,R,07 08 09,OSNI
Actinia equina,NBNSYS0000173601,SB,21 24 27 36 37 47 48 58 59 68 69 79,OSGB
Actinia equina,NBNSYS0000173601,SC,16 26 28 49 80 90,OSGB
Actinia equina,NBNSYS0000173601,SD,08 09 17 26 27 46,OSGB
Actinia equina,NBNSYS0000173601,SG,10 23 26 27 28,OSGB
Actinia equina,NBNSYS0000173601,SH,12 13 22 23 24 27 28 29 32 33 34 35 36 37 39 43 45 46 48 49 50 51 52 53 56 57 58 61 68 78 88 97,OSGB
Actinia equina,NBNSYS0000173601,SJ,18 29,OSGB
Actinia equina,NBNSYS0000173601,SL,15 65,OSGB
Actinia equina,NBNSYS0000173601,SM,06 50 70 71 72 80 81 82 83 84 90 94,OSGB
Actinia equina,NBNSYS0000173601,SN,00 03 04 10 14 15 20 25 30 35 36 40 46 56 57 58 68,OSGB
