taxon,tvk,km100,km10,coord_system
Anguis fragilis,NBNSYS0000005072,NC,70 90 91,OSGB
Anguis fragilis,NBNSYS0000005072,ND,01 12 13 23,OSGB
Anguis fragilis,NBNSYS0000005072,NG,60 83,OSGB
Anguis fragilis,NBNSYS0000005072,NH,20 21 25 30 31 32 33 34 35 36 41 42 43 44 45 46 52 53 54 55 56 62 63 64 65 66 68 69 70 73 74 75 76 77 78 79 80 81 82 83 84 85 90 91 92 93 94 95,OSGB
Anguis fragilis,NBNSYS0000005072,NJ,01 02 03 04 05 06 10 11 12 13 14 15 16 20 23 24 25 26 30 33 34 35 36 42 43 44 45,OSGB
Anguis fragilis,NBNSYS0000005072,NM,34 42 43 44 45 46 47 52 53 54 55 56 57 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 78 79 80 81 82 83 84 85 86 90 91 92 93 94 95,OSGB
Anguis fragilis,NBNSYS0000005072,NN,00 01 02 03 04 05 06 07 10 11 12 15 16 17 20 21 22 30 31 40 41 50 51 52 53 60 62 71 72 74 75 84 85 86 92 94 95 96,OSGB
Anguis fragilis,NBNSYS0000005072,NO,04 06 19 26 27 29 36 37 38 39 47 48 49 57 58 69 79,OSGB
Anguis fragilis,NBNSYS0000005072,NR,26 34 36 39 45 46 50 51 56 60 61 62 63 64 67 68 70 71 72 73 74 75 76 77 78 79 82 83 84 85 86 87 88 89 92 93 94 95 96 97 98 99,OSGB
Anguis fragilis,NBNSYS0000005072,NS,00 01 02 03 04 05 06 07 08 09 10 14 15 16 17 18 19 20 21 26 29 30 31 39 40 41 48 49 50 51 52 53 54 58 59 60 61 62 63 64 70 71 72 73 80 81 82 90 91 92 94 95,OSGB
Anguis fragilis,NBNSYS0000005072,NT,00 01 02 04 05 10 11 12 20 21 22 82 90 91 92 93 95,OSGB
Anguis fragilis,NBNSYS0000005072,NU,00 01 02 03 04 10 11 12 13 14,OSGB
Anguis fragilis,NBNSYS0000005072,NW,95 96 97,OSGB
