tvk,code,taxon
NHMSYS0000455513,,Abies alba
NHMSYS0000455520,,Abies grandis
NBNSYS0000039455,,Abies procera
NHMSYS0000455532,,Acaena anserinifolia
NBNSYS0000031916,,Acaena novae-zelandiae
NBNSYS0000003193,,Acer campestre
NBNSYS0000014410,,Acer cappadocicum
NBNSYS0000003192,,Acer platanoides
NBNSYS0000003191,,Acer pseudoplatanus
NBNSYS0000004849,,Acer saccharinum
NBNSYS0000004451,,Achillea millefolium
NBNSYS0000004453,,Achillea ptarmica
NHMSYS0100000362,,Aconitum lycoctonum subsp. vulparia
NHMSYS0000494973,,Aconitum napellus sensu lato
NHMSYS0001754774,,Aconitum napellus x variegatum = A. x cammarum
NBNSYS0000002348,,Acorus calamus
NBNSYS0000002699,,Actaea spicata
NBNSYS0000002739,,Adonis annua
NBNSYS0000004336,,Adoxa moschatellina
NBNSYS0000003684,,Aegopodium podagraria
NHMSYS0000455625,,Aesculus carnea
NBNSYS0000004580,,Aesculus hippocastanum
NBNSYS0000003696,,Aethusa cynapium
NBNSYS0000003366,,Agrimonia eupatoria
NBNSYS0000003367,,Agrimonia procera
NBNSYS0000003004,,Agrostemma githago
NHMSYS0000455671,,Agrostis canina
NHMSYS0000494978,,Agrostis canina sensu lato
NBNSYS0000002638,,Agrostis capillaris
NBNSYS0000002639,,Agrostis gigantea
NBNSYS0000013991,,Agrostis gigantea x stolonifera
NBNSYS0000002642,,Agrostis scabra
NBNSYS0000002640,,Agrostis stolonifera
NHMSYS0000455693,,Agrostis vinealis
NBNSYS0000002626,,Aira caryophyllea
NBNSYS0000002625,,Aira praecox
NBNSYS0000004269,,Ajuga reptans
NBNSYS0000003141,,Alcea rosea
NBNSYS0000003370,,Alchemilla conjuncta
NBNSYS0000034246,,Alchemilla filicaulis
NHMSYS0000455724,,Alchemilla filicaulis subsp. filicaulis
NHMSYS0000455725,,Alchemilla filicaulis subsp. vestita
NHMSYS0000455726,,Alchemilla glabra
NBNSYS0000003372,,Alchemilla glaucescens
NBNSYS0000003380,,Alchemilla glomerulans
NBNSYS0000003376,,Alchemilla minima
NBNSYS0000003383,,Alchemilla mollis
NBNSYS0000003371,,Alchemilla vulgaris agg.
NHMSYS0000455738,,Alchemilla wichurae
NBNSYS0000003379,,Alchemilla xanthochlora
NBNSYS0000002102,,Alisma lanceolatum
NBNSYS0000002101,,Alisma plantago-aquatica
NHMSYS0000455754,,Alliaria petiolata
NBNSYS0000002198,,Allium carinatum
NBNSYS0000002197,,Allium oleraceum
NHMSYS0000455760,,Allium paradoxum
NBNSYS0000002200,,Allium roseum
NBNSYS0000002194,,Allium scorodoprasum
NBNSYS0000002203,,Allium triquetrum
NBNSYS0000002205,,Allium ursinum
NBNSYS0000002196,,Allium vineale
NHMSYS0000455770,,Alnus cordata
NHMSYS0000455771,,Alnus glutinosa
NBNSYS0000003836,,Alnus incana
NBNSYS0000002659,,Alopecurus aequalis
NBNSYS0000002657,,Alopecurus geniculatus
NHMSYS0000455779,,Alopecurus myosuroides
NBNSYS0000002656,,Alopecurus pratensis
NBNSYS0000002859,,Alyssum alyssoides
NBNSYS0000002860,,Alyssum saxatile
