taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Platyptilia pallidactyla,NHMSYS0000503855,01,01,1800,,,
Ovendenia lienigianus,NBNSYS0100004367,01,01,1800,,,
Oxyptilus distans,NHMSYS0000503531,01,01,1800,,,
Platyptilia isodactylus,NHMSYS0000503853,01,01,1800,,,
Stenoptilia scabiodactyla,NHMSYS0021002826,01,01,1800,,,
Hellinsia osteodactylus,NBNSYS0100003433,01,01,1800,,,
Amblyptilia punctidactyla,NHMSYS0000501211,01,01,1800,,,
Cnaemidophorus rhododactyla,NHMSYS0000501326,01,01,1800,,,
Oidaematophorus lithodactyla,NHMSYS0000503464,01,01,1800,,,
Pselnophorus heterodactyla,NHMSYS0000503933,01,01,1800,,,
Agdistis meridionalis,NBNSYS0100001387,01,01,1800,,,
Stenoptilia islandicus,NBNSYS0100005592,01,01,1800,,,
Agdistis bennetii,NHMSYS0000501029,01,01,1800,,,
Alucita hexadactyla,NHMSYS0000501204,01,01,1800,,,
Stenoptilia pterodactyla,NHMSYS0000504314,01,01,1800,,,
Amblyptilia acanthadactyla,NHMSYS0000501210,01,01,1800,,,
Marasmarcha lunaedactyla,NHMSYS0000503165,01,01,1800,,,
Capperia britanniodactyla,NHMSYS0000501632,01,01,1800,,,
Merrifieldia baliodactylus,NBNSYS0100004009,01,01,1800,,,
Stenoptilia annadactyla,NHMSYS0020547811,01,01,1800,,,
Stenoptilia millieridactyla,NBNSYS0100005593,01,01,1969,,,
Oxyptilus laetus,NHMSYS0000503532,01,01,1800,,,
Pterophorus spilodactylus,NHMSYS0000503973,01,01,1800,,,
Emmelina argoteles,NHMSYS0020732915,01,01,1800,,,
Buckleria paludum,NBNSYS0000027027,01,01,1800,,,
Hellinsia chrysocomae,NBNSYS0100003432,01,01,1800,,,
Oxyptilus parvidactylus,NHMSYS0000503533,01,01,1800,,,
Pterophorus galactodactyla,NHMSYS0000503971,01,01,1800,,,
Stenoptilia bipunctidactyla,NHMSYS0000504309,01,01,1800,,,
Euleioptilus carphodactyla,NBNSYS0100003103,01,01,1900,,,
Platyptilia ochrodactyla,NHMSYS0000503854,01,01,1800,,,
Stenoptilia pneumonanthes,NHMSYS0000504313,01,01,1800,,,
Euleioptilus tephradactyla,NBNSYS0100003104,01,01,1800,,,
Platyptilia gonodactyla,NHMSYS0000503852,01,01,1800,,,
Stenoptilia aridus,NBNSYS0100005591,01,01,1800,,,
Platyptilia calodactyla,NHMSYS0000503851,01,01,1800,,,
Emmelina monodactyla,NHMSYS0000502352,01,01,1800,,,
Oxyptilus pilosellae,NHMSYS0000503534,01,01,1800,,,
Stenoptilia zophodactylus,NHMSYS0000504317,01,01,1800,,,
Adaina microdactyla,NHMSYS0000500988,01,01,1800,,,
Merrifieldia tridactyla,NBNSYS0100004011,01,01,1800,,,
Pterophorus pentadactyla,NHMSYS0000503972,01,01,1800,,,
Merrifieldia leucodactyla,NHMSYS0000503198,01,01,1800,,,
