taxon,tvk,start_day,start_month,end_day,end_month,stage
Platyptilia pallidactyla,NHMSYS0000503855,01,05,31,08,mature
Ovendenia lienigianus,NBNSYS0100004367,01,06,31,08,mature
Oxyptilus distans,NHMSYS0000503531,01,05,30,09,mature
Platyptilia isodactylus,NHMSYS0000503853,01,05,30,09,mature
Stenoptilia scabiodactyla,NHMSYS0021002826,01,05,31,08,mature
Hellinsia osteodactylus,NBNSYS0100003433,01,06,30,09,mature
Cnaemidophorus rhododactyla,NHMSYS0000501326,01,06,31,08,mature
Oidaematophorus lithodactyla,NHMSYS0000503464,01,06,30,09,mature
Pselnophorus heterodactyla,NHMSYS0000503933,01,06,31,07,mature
Agdistis meridionalis,NBNSYS0100001387,01,04,30,09,mature
Stenoptilia islandicus,NBNSYS0100005592,01,06,31,07,mature
Agdistis bennetii,NHMSYS0000501029,01,05,30,09,mature
Stenoptilia pterodactyla,NHMSYS0000504314,01,05,30,09,mature
Marasmarcha lunaedactyla,NHMSYS0000503165,01,05,31,08,mature
Capperia britanniodactyla,NHMSYS0000501632,01,06,31,08,mature
Merrifieldia baliodactylus,NBNSYS0100004009,01,06,31,08,mature
Stenoptilia annadactyla,NHMSYS0020547811,01,06,31,08,mature
Stenoptilia millieridactyla,NBNSYS0100005593,01,05,30,09,mature
Oxyptilus laetus,NHMSYS0000503532,01,05,31,10,mature
Pterophorus spilodactylus,NHMSYS0000503973,01,06,31,08,mature
Buckleria paludum,NBNSYS0000027027,01,05,30,09,mature
Hellinsia chrysocomae,NBNSYS0100003432,01,06,30,09,mature
Oxyptilus parvidactylus,NHMSYS0000503533,01,05,31,08,mature
Pterophorus galactodactyla,NHMSYS0000503971,01,05,31,07,mature
Stenoptilia bipunctidactyla,NHMSYS0000504309,01,05,30,09,mature
Euleioptilus carphodactyla,NBNSYS0100003103,01,05,30,09,mature
Platyptilia ochrodactyla,NHMSYS0000503854,01,06,31,08,mature
Euleioptilus tephradactyla,NBNSYS0100003104,01,05,31,08,mature
Platyptilia gonodactyla,NHMSYS0000503852,01,05,31,10,mature
Stenoptilia aridus,NBNSYS0100005591,01,06,31,07,mature
Platyptilia calodactyla,NHMSYS0000503851,01,06,31,08,mature
Oxyptilus pilosellae,NHMSYS0000503534,01,07,31,08,mature
Stenoptilia zophodactylus,NHMSYS0000504317,01,05,30,11,mature
Adaina microdactyla,NHMSYS0000500988,01,04,30,09,mature
Merrifieldia tridactyla,NBNSYS0100004011,01,05,30,09,mature
Pterophorus pentadactyla,NHMSYS0000503972,01,05,31,08,mature
Merrifieldia leucodactyla,NHMSYS0000503198,01,05,30,09,mature
