taxon,tvk,km100,km10,coord_system
Platyptilia pallidactyla,NHMSYS0000503855,NC,02 03 12 13 14 22 23 24,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NF,73 74 75 83 84 85,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NG,33 34 35 43 44 45 53 54 55 77 78 79 87 88 89,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NH,32 33 34 40 42 43 44 50 52 53 54 55 56 57 58 60 61 63 64 65 66 67 68 70 71 73 74 75 76 77 78 80 81 82 84 85 86 87 88 90 91 92 93 94 96 97 98,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NJ,00 01 02 03 04 10 11 12 13 14 20 30 45 46 50 51 52 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 76 80 81 82 83 84 85 86 90 91 92 93 94 95,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NK,02 03 04 05 13 14,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NM,71 72 73 81 82 83 86 87 88 91 92 93 96 97 98,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NN,06 07 08 21 22 23 30 31 32 33 37 38 39 40 41 42 43 47 48 49 50 51 57 58 59 68 69 78 79 88 89 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NO,00 01 10 11 18 19 20 21 28 29 38 39 58 59 65 66 67 68 69 75 76 77 78 79 86 87 88 89 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NR,24 25 33 34 35 44 45 82 83 84 92 93 94,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NS,02 03 04 30 31 37 38 39 40 41 47 48 49 50 51 57 58 59 67 68 69 77 78 79,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NT,09 19 29 50 60 70 90 91 93 94 95,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NU,00 01 02 03 04 05 10 11 12 13 14 20 21 22 23,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NX,23 24 25 26 30 33 34 35 36 39 40 43 44 45 46 47 48 49 56 57 58 59 66 67 68 87 88 89 97 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NY,07 08 09 17 18 19 57 58 59 64 65 66 67 68 69 72 73 74 75 76 77 78 79 81 82 83 84 85 86 87 90 91 92 93 94 95 96 97 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,NZ,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 41 42 43 44 45 46 50 51 52 53 60 61 62 70 71 72 80 81 90 91,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SC,16 17 26 27 28 36 37 38 39 47 48 49,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SD,20 21 23 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 65 66 67 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 87 90 92 93 94 95 96 97,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SE,12 13 14 18 19 22 23 24 25 26 28 29 30 31 32 33 34 35 36 38 39 40 41 44 45 46 50 51 54 55 56 60 61 62 64 65 66 67 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 92 93 94 97 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SH,12 13 22 23 32 33 37 38 39 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 62 63 64 65 66 67 75 76 77,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SJ,14 15 16 18 19 24 25 26 28 29 34 35 36 37 38 39 44 45 46 47 48 49 54 55 56 57 58 59 67 68 69 77 78 79 85 86 87 88 89 95 96 97 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SK,05 06 07 08 09 14 15 16 17 18 19 24 25 26 27 28 29 34 35 36 37 38 39 40 45 46 47 48 49 50 51 55 56 57 58 59 60 61 62 65 66 67 69 70 71 72 75 76 77 79 80 81 82 88 89 90 91 92 93 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SM,93 94,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SN,03 04 13 14 15 30 40 41 42 50 51 52 60 61 62 63 64 65 70 71 72 73 74 75 80 83 84 85 90 91 92 93,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SO,00 01 02 03 10 11 12 13 20 21 22 23 30 31 32 40 41 42 43 44 50 51 52 53 54 60 61 62 63 64 65 70 71 72 73 74 75 80 81 82 83 84 85 90 91 92 93 96 97 98,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SP,00 01 02 03 06 07 08 10 11 16 17 18 20 30 40 48 49 50 58 59 60 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SS,10 20 21 22 30 31 32 38 39 40 41 42 48 49 50 51 58 59 60 61 68 69 70 73 74 75 78 79 80 81 82 83 84 88 89 90 91 92 93 94 96 97 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,ST,00 01 02 06 07 08 09 10 11 12 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 79 80 81 82 83 84 85 86 89 90 91 92 93 94 95 96 97 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SU,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SV,80 81 90 91,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SW,52 53 54 61 62 63 64 65 71 72 73 74 75 76 81 82 84 85 86 87 94 95 96 97 98,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SX,04 05 06 07 08 09 14 15 16 17 18 19 26 27 28 29 36 37 38 39 44 45 46 47 48 49 54 55 56 57 58 59 64 65 66 67 68 69 73 74 75 76 77 78 79 83 84 85 86 87 88 89 94 95 96 97 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SY,07 08 09 18 19 28 29 38 39 48 49 77 78 79 87 88 89 97 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,SZ,07 08 09 19 28 29 38 39 48 49 58 59 68 69 79 89 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,TA,00 04 05 06 09 14 15 16 24 25 26 30 31 32 40 41 42,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,TF,00 01 02 03 08 09 10 11 12 13 20 27 28 29 37 38 39 40 41 47 48 49 50 51 52 53 57 58 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,TG,00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 32 33 40 41 42 50 51,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,TL,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 66 67 68 69 70 71 72 73 75 76 77 78 79 80 81 82 83 85 86 87 88 89 90 91 92 93 95 96 97 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,TM,00 01 02 03 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 33 34 35 36 37 39 45 46 47 48 49 57 58 59,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,TQ,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 53 54 55 56 57 58 59 60 61 63 64 65 66 67 68 69 73 74 75 76 77 78 79 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,TR,01 02 03 04 05 06 07 08 09 12 13 14 15 16 23 24 25 26 27 33 34 35 36 37 46 47,OSGB
Platyptilia pallidactyla,NHMSYS0000503855,TV,49 59 69,OSGB
Ovendenia lienigianus,NBNSYS0100004367,NZ,26 27 28 36 37 38 46 50 51 52 60 61 62 70 71 72,OSGB
Ovendenia lienigianus,NBNSYS0100004367,SD,30 31 40 41 50 51 60 70 80,OSGB
Ovendenia lienigianus,NBNSYS0100004367,SE,25 26 27 30 31 35 36 37 40 41 45 46 47 50 51 60 61 82 83 84 92 93 94,OSGB
Ovendenia lienigianus,NBNSYS0100004367,SJ,17 18 19 27 28 29 37 38 39 47 48 49 57 58 59 67 68 69 77 78 79 88 89,OSGB
Ovendenia lienigianus,NBNSYS0100004367,SK,32 33 34 39 42 43 44 49 52 53 54 55 59 63 64 65 69 73 74 75 85 86 87 95 96 97,OSGB
Ovendenia lienigianus,NBNSYS0100004367,SO,63 64 65 66 67 68 73 74 75 76 77 78 83 84 85 86 87 88 95 96 97,OSGB
Ovendenia lienigianus,NBNSYS0100004367,SP,05 06 07 20 30 40 72 73 74 82 83 84 92 93 94,OSGB
Ovendenia lienigianus,NBNSYS0100004367,ST,83 84 85 86 93 94 95 96,OSGB
Ovendenia lienigianus,NBNSYS0100004367,SU,02 03 04 05 06 12 13 14 15 16 17 20 22 23 24 25 26 27 28 29 30 32 33 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 54 55 56 57 64 65 66 67 74 75 76 84 85 86,OSGB
Ovendenia lienigianus,NBNSYS0100004367,SZ,28 29 38 39 47 48 49,OSGB
Ovendenia lienigianus,NBNSYS0100004367,TA,02 03 04,OSGB
Ovendenia lienigianus,NBNSYS0100004367,TF,05 06 07 52 53 54 55 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94,OSGB
Ovendenia lienigianus,NBNSYS0100004367,TG,00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 32 33 40 41 42 50 51,OSGB
Ovendenia lienigianus,NBNSYS0100004367,TL,01 02 03 11 12 13 14 15 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 40 41 42 46 47 48 50 51 52 56 57 58 66 67 68 69 76 77 78 79 87 88 89 97 98 99,OSGB
Ovendenia lienigianus,NBNSYS0100004367,TM,09 12 13 14 19 22 23 24 29 33 34 35 36 39 44 45 46 49,OSGB
Ovendenia lienigianus,NBNSYS0100004367,TQ,35 36 37 45 46 47 48 55 56 57 58 59 66 67 68 69 76 77 78 79 85 86 87 88 89 95 96 97 98,OSGB
Ovendenia lienigianus,NBNSYS0100004367,TR,05 06 07 14 15 16 24 25 26 34 35 36,OSGB
Oxyptilus distans,NHMSYS0000503531,NZ,80 81 90 91,OSGB
Oxyptilus distans,NHMSYS0000503531,SE,89 99,OSGB
Oxyptilus distans,NHMSYS0000503531,SU,50 51 60 61 70 71 80 81 90 91,OSGB
Oxyptilus distans,NHMSYS0000503531,SZ,59 69 79 89 99,OSGB
Oxyptilus distans,NHMSYS0000503531,TA,09 30 31 32 40 41 42,OSGB
Oxyptilus distans,NHMSYS0000503531,TF,51 52 53 54 55 60 61 62 63 64 70 71 72 73 74 80 83 84 90 93 94,OSGB
Oxyptilus distans,NHMSYS0000503531,TG,00 01 02 10 11 12 20 21 22,OSGB
Oxyptilus distans,NHMSYS0000503531,TL,23 24 25 33 34 35 43 44 45 56 57 58 66 67 68 69 76 77 78 79 86 87 88 89 96 97 98 99,OSGB
Oxyptilus distans,NHMSYS0000503531,TM,03 04 05 06 07 08 09 13 14 15 23 24 25 33 34 35 36 37 38 44 45 46 47 48 57 58,OSGB
