taxon,tvk,start_day,start_month,end_day,end_month,stage
Nemotelus notatus,NBNSYS0000007805,01,05,31,08,mature
Dioctria rufipes,NBNSYS0000007919,01,05,31,08,mature
Oxycera nigricornis,NHMSYS0020734187,01,05,31,08,mature
Rhagio notatus,NBNSYS0000007863,01,05,31,07,mature
Bombylius minor,NBNSYS0000007944,01,07,31,08,mature
Leptogaster cylindrica,NBNSYS0000007911,01,05,31,08,mature
Neopachygaster meromelas,NBNSYS0100004215,01,06,31,08,mature
Hybomitra micans,NBNSYS0000007884,01,05,30,06,mature
Chorisops tibialis,NBNSYS0000007802,01,05,30,09,mature
Hybomitra muehlfeldi,NBNSYS0100003522,01,06,31,08,mature
Thereva handlirschi,NBNSYS0000007929,01,07,31,08,mature
Chrysopilus laetus,NBNSYS0000007852,01,07,31,07,mature
Philonicus albiceps,NBNSYS0000007906,01,05,31,10,mature
Ptiolina obscura,NBNSYS0000007854,01,05,31,07,mature
Rhagio strigosus,NBNSYS0000007865,01,06,31,08,mature
Beris fuscipes,NBNSYS0000007797,01,05,30,09,mature
Stratiomys potamida,NBNSYS0000007842,01,05,30,09,mature
Pandivirilia melaleuca,NBNSYS0000173330,01,05,31,07,mature
Atrichops crassipes,NBNSYS0000007860,01,06,31,07,mature
Oxycera rara,NBNSYS0000007816,01,05,31,08,mature
Tabanus cordiger,NBNSYS0000007893,01,06,31,08,mature
Rhagio lineola,NBNSYS0000007862,01,05,30,09,mature
Beris chalybata,NBNSYS0000007795,01,04,30,09,mature
Ogcodes pallipes,NBNSYS0000007940,01,05,31,08,mature
Villa cingulata,NBNSYS0000007946,01,06,31,08,mature
Dioctria baumhaueri,NBNSYS0000007915,01,05,31,08,mature
Xylophagus cinctus,NBNSYS0000007847,01,06,31,08,mature
Haematopota crassicornis,NBNSYS0000007872,01,05,30,09,mature
Eupachygaster tarsalis,NBNSYS0000007824,01,05,31,07,mature
Sargus iridatus,NBNSYS0000007831,01,05,30,09,mature
Vanoyia tenuicornis,NBNSYS0000007819,01,05,31,08,mature
