taxon,tvk,km100,km10,coord_system
Segestria florentina,NBNSYS0000008637,SO,80,OSGB
Segestria florentina,NBNSYS0000008637,SP,30,OSGB
Segestria florentina,NBNSYS0000008637,ST,12 22 26 57 67 85,OSGB
Segestria florentina,NBNSYS0000008637,SU,00 10 13 31 41 42 50 60 77 80 97,OSGB
Segestria florentina,NBNSYS0000008637,SX,15 45 76 87 99,OSGB
Segestria florentina,NBNSYS0000008637,SY,08,OSGB
Segestria florentina,NBNSYS0000008637,TL,81,OSGB
Segestria florentina,NBNSYS0000008637,TM,23,OSGB
Segestria florentina,NBNSYS0000008637,TQ,07 15 16 17 18 26 27 28 37 38 65 75 76 88 96 97,OSGB
Segestria florentina,NBNSYS0000008637,TR,06 16 23,OSGB
Drassyllus lutetianus,NBNSYS0000008662,SN,00 45 66 69,OSGB
Drassyllus lutetianus,NBNSYS0000008662,SU,22 46 56 76,OSGB
Drassyllus lutetianus,NBNSYS0000008662,SY,58 67 68 88 89,OSGB
Drassyllus lutetianus,NBNSYS0000008662,TF,26,OSGB
Drassyllus lutetianus,NBNSYS0000008662,TM,07 22 44,OSGB
Drassyllus lutetianus,NBNSYS0000008662,TQ,78 81,OSGB
Drassyllus lutetianus,NBNSYS0000008662,TR,01 06 33 35,OSGB
Gonatium rubellum,NBNSYS0000009018,NC,01 10 22 30 31 32 33 40 41 42 43 50 51 52 53 60 61 62 63 70 71 72 73 74 80 81 82 83 84 90 91 92 93,OSGB
Gonatium rubellum,NBNSYS0000009018,ND,01 02 13 15 23,OSGB
Gonatium rubellum,NBNSYS0000009018,NG,96,OSGB
Gonatium rubellum,NBNSYS0000009018,NH,06 12 22 32 39 45 49 52 59 68 69 77 78 79 80 88 89 90 91,OSGB
Gonatium rubellum,NBNSYS0000009018,NJ,00 01 02 10 11 13 20 21 30 31 32 33 35 40 41 42 44 50 51 52 54 55 60 61 62 65 70 71 72 73 80 81 82 83 86 90 91 92,OSGB
Gonatium rubellum,NBNSYS0000009018,NK,02,OSGB
Gonatium rubellum,NBNSYS0000009018,NN,18 19 22 23 30 31 32 33 34 35 40 42 43 44 45 46 47 51 52 53 54 55 56 57 61 62 63 64 65 66 67 71 72 73 74 75 76 77 81 82 83 84 85 86 90 91 92 93 94 95 96 98 99,OSGB
Gonatium rubellum,NBNSYS0000009018,NO,00 01 02 03 04 06 07 08 09 11 12 13 15 17 18 19 21 27 28 29 37 38 39 48 49 58 59 67 68 69 77 79 89,OSGB
Gonatium rubellum,NBNSYS0000009018,NR,85 87 95,OSGB
Gonatium rubellum,NBNSYS0000009018,NS,71 80 86 88,OSGB
Gonatium rubellum,NBNSYS0000009018,NT,06 24 26 36 52 56 67 76 77,OSGB
Gonatium rubellum,NBNSYS0000009018,NU,02,OSGB
Gonatium rubellum,NBNSYS0000009018,NX,37 56 57 68,OSGB
Gonatium rubellum,NBNSYS0000009018,NY,45 52 55 56 82,OSGB
Gonatium rubellum,NBNSYS0000009018,NZ,23 34 40 41 50 51 60 80 90,OSGB
Gonatium rubellum,NBNSYS0000009018,SD,38 45 47 54 55 56 61 64 65 66 67 68 73 74 75 76 77 78 84 85 86 87 88 92 94 95 96 97 98,OSGB
Gonatium rubellum,NBNSYS0000009018,SE,01 02 04 05 06 07 11 13 14 15 16 17 21 23 24 25 26 27 30 32 33 34 35 36 37 40 42 43 44 45 46 49 52 53 54 55 56 57 58 62 63 64 65 72 76 78 85 89 98 99,OSGB
Gonatium rubellum,NBNSYS0000009018,SH,96,OSGB
Gonatium rubellum,NBNSYS0000009018,SJ,01 10 57 73 92 93 94 95 96,OSGB
Gonatium rubellum,NBNSYS0000009018,SK,02 04 05 07 12 15 16 17 27 28 29 31 35 38 39 41 51 58 59 70 71 77,OSGB
Gonatium rubellum,NBNSYS0000009018,SM,81,OSGB
Gonatium rubellum,NBNSYS0000009018,SN,00 10 14 20 30 31 35 62 77 79 99,OSGB
Gonatium rubellum,NBNSYS0000009018,SO,12 22 25 30 40 51 53 60 61 62 66 67 71 75 76 77 78 80 86 87 88 90 91 95 97 98,OSGB
Gonatium rubellum,NBNSYS0000009018,SP,01 06 07 17 22 25 31 37 39 41 55 61 66 75 76 80 85 87 92 96,OSGB
Gonatium rubellum,NBNSYS0000009018,SR,99,OSGB
Gonatium rubellum,NBNSYS0000009018,SS,54 59 70 79 80 81 84 90 91 93 94,OSGB
Gonatium rubellum,NBNSYS0000009018,ST,00 01 03 07 10 11 20 21 30 43 53 58 59 64 67 69 74 78 85 92 97 98 99,OSGB
Gonatium rubellum,NBNSYS0000009018,SU,08 25 26 27 32 56 59 68 77 78 84 94 98,OSGB
Gonatium rubellum,NBNSYS0000009018,SX,37 44 45 46 47 48 54 55 56 57 58 63 64 65 66 67 68 69 73 74 75 76 77 78 79 83 84 85 86 87 88 89 94 95 96 97 98 99,OSGB
Gonatium rubellum,NBNSYS0000009018,SY,07 08 09 18 19 28 29 38 39 49 58 59 79 89,OSGB
Gonatium rubellum,NBNSYS0000009018,SZ,19 48 49,OSGB
Gonatium rubellum,NBNSYS0000009018,TA,08 09,OSGB
Gonatium rubellum,NBNSYS0000009018,TF,09 17 18 19 70 71 80,OSGB
Gonatium rubellum,NBNSYS0000009018,TG,02 03 11 13 21 31 33,OSGB
