tvk,code,taxon
NHMSYS0020308883,2,Acalypta platycheila
NHMSYS0020308894,2,Acompus pallipes
NHMSYS0020308898,2,Adelphocoris seticornis
NHMSYS0020308899,2,Adelphocoris ticinensis
NHMSYS0020308901,2,Adomerus biguttatus
NHMSYS0020308909,2,Agnocoris reclairei
NHMSYS0020308919,2,Amblytylus delicatus
NHMSYS0020308931,2,Anthocoris amplicollis
NHMSYS0020308936,2,Anthocoris minki subsp. minki
NHMSYS0020308939,2,Anthocoris pilosus
NHMSYS0020308942,2,Anthocoris visci
NHMSYS0020308945,2,Aphanus rolandri
NHMSYS0020308954,2,Aradus aterrimus
NHMSYS0020308955,1,Aradus betulae
NHMSYS0020308957,2,Aradus corticalis
NHMSYS0020308962,2,Arenocoris waltlii
NHMSYS0020308975,1,Bathysolen nubilus
NHMSYS0020308986,1,Berytinus (Berytinus) hirticornis
NHMSYS0020308997,2,Bothynotus pilosus
NHMSYS0020309001,2,Brachycarenus tigrinus
NHMSYS0020309003,2,Brachynotocoris puncticornis
NHMSYS0020309036,2,Canthophorus impressus
NHMSYS0020309038,2,Capsodes flavomarginatus
NHMSYS0020309039,2,Capsodes gothicus
NHMSYS0020309040,2,Capsodes sulcatus
NHMSYS0020309043,2,Capsus wagneri
NHMSYS0020309048,2,Carpocoris purpureipennis
NHMSYS0020309050,2,Catoplatus fabricii
NHMSYS0020309062,2,Charagochilus (Charagochilus) weberi
NHMSYS0020442309,2,Cimex columbarius
NBNSYS0000010015,1,Cymus aurescens
NHMSYS0020309155,1,Dicranocephalus agilis
NHMSYS0020309156,2,Dicranocephalus medius
NHMSYS0020309168,2,Dicyphus (Dicyphus) constrictus
NHMSYS0020309181,2,Drymus (Drymus) latus
NHMSYS0020309182,2,Drymus (Drymus) pilicornis
NHMSYS0020309183,2,Drymus (Drymus) pilipes
NHMSYS0020309186,2,Drymus (Sylvadrymus) pumilio
NHMSYS0020309206,2,Emblethis griseus
NHMSYS0020309209,2,Empicoris baerensprungi
NHMSYS0020309214,2,Eremocoris abietis
NHMSYS0020442331,2,Eremocoris fenestratus
NHMSYS0020309215,2,Eremocoris plebejus
NHMSYS0020309226,2,Eurydema (Eurydema) ornata
NHMSYS0020309228,2,Eurydema (Rubrodorsalium) dominulus
NHMSYS0020309230,2,Eurygaster maura
NHMSYS0020309234,2,Eysarcoris aeneus
NHMSYS0020309247,2,Geotomus punctulatus
NHMSYS0020309265,2,Globiceps (Kelidocoris) flavomaculatus
NHMSYS0020309266,2,Globiceps (Kelidocoris) fulvicollis subsp. cruciatus
NHMSYS0020309267,2,Globiceps (Kelidocoris) juniperi
NHMSYS0020309273,2,Graptopeltus lynceus
NHMSYS0020309276,2,Hallodapus montandoni
NHMSYS0020309277,2,Hallodapus rufescens
NHMSYS0020309282,2,Halticus apterus
NHMSYS0020309284,2,Halticus macrocephalus
NHMSYS0020309297,2,Henestaris halophilus
NHMSYS0020309303,2,Heterocordylus (Heterocordylus) parvulus
NHMSYS0020309306,2,Heterogaster artemisiae
NHMSYS0020705623,2,Holcostethus strictus subsp. vernalis
NHMSYS0020309336,2,Ischnodemus quadratus
NHMSYS0020309348,2,Lasiacantha capucina
NHMSYS0020309350,2,Lasiosomus enervis
NHMSYS0020309353,2,Legnotus picipes
NHMSYS0020309367,2,Liorhyssus hyalinus
