taxon,tvk,start_day,start_month,end_day,end_month,stage
Acetropis (Acetropis) gimmerthalii,NHMSYS0020308889,1,5,30,9,mature
Adelphocoris lineolatus,NHMSYS0020308897,1,7,31,10,mature
Adelphocoris seticornis,NHMSYS0020308898,1,7,30,9,mature
Adelphocoris ticinensis,NHMSYS0020308899,1,7,31,8,mature
Alloeotomus gothicus,NHMSYS0020308914,1,6,31,10,mature
Amblytylus brevicollis,NHMSYS0020308918,1,6,31,8,mature
Amblytylus delicatus,NHMSYS0020308919,1,6,31,8,mature
Amblytylus nasutus,NHMSYS0020308920,1,5,31,8,mature
Asciodema obsoleta,NHMSYS0020308968,1,6,30,9,mature
Atractotomus magnicornis,NHMSYS0020308971,1,6,30,9,mature
Atractotomus mali,NHMSYS0020308972,1,5,30,9,mature
Atractotomus parvulus,NHMSYS0020308973,1,6,30,9,mature
Blepharidopterus angulatus,NHMSYS0020308991,1,6,31,10,mature
Blepharidopterus diaphanus,NHMSYS0020308992,1,7,30,9,mature
Bothynotus pilosus,NHMSYS0020308997,1,6,31,10,mature
Brachyarthrum limitatum,NHMSYS0020308999,1,5,31,7,mature
Brachynotocoris puncticornis,NHMSYS0020309003,1,8,31,8,mature
Bryocoris pteridis,NHMSYS0020309009,1,6,31,10,mature
Calocoris (Calocoris) alpestris,NHMSYS0020309017,1,6,31,7,mature
Calocoris (Calocoris) roseomaculatus,NHMSYS0020309018,1,6,31,10,mature
Calocoris (Closterotomus) fulvomaculatus,NHMSYS0020309020,1,6,31,8,mature
Calocoris (Closterotomus) norwegicus,NHMSYS0020309021,1,6,31,8,mature
Calocoris (Grypocoris) stysi,NHMSYS0020309023,1,5,30,9,mature
Camptozygum aequale,NHMSYS0020309027,1,6,30,9,mature
Campylomma annulicorne,NHMSYS0020309029,1,5,30,9,mature
Campylomma verbasci,NHMSYS0020309030,1,6,31,10,mature
Campyloneura virgula,NHMSYS0020309032,1,7,31,10,mature
Capsodes flavomarginatus,NHMSYS0020309038,1,6,31,8,mature
Capsodes gothicus,NHMSYS0020309039,1,6,31,8,mature
Capsodes sulcatus,NHMSYS0020309040,1,6,31,8,mature
Capsus ater,NHMSYS0020309042,1,7,31,8,mature
Capsus wagneri,NHMSYS0020309043,1,6,31,8,mature
Charagochilus (Charagochilus) weberi,NHMSYS0020309062,1,7,30,9,mature
Chlamydatus (Chlamydatus) saltitans,NHMSYS0020309074,1,6,30,9,mature
Chlamydatus (Euattus) pulicarius,NHMSYS0020309076,1,6,31,7,mature
Chlamydatus (Euattus) pullus,NHMSYS0020309077,1,5,30,9,mature
Chlamydatus (Eurymerocoris) evanescens,NHMSYS0020309079,1,6,31,10,mature
Chlamydatus (Eurymerocoris) wilkinsoni,NHMSYS0020309080,1,5,31,8,mature
Chorosoma schillingi,NHMSYS0020309082,1,6,31,10,mature
Compsidolon (Coniortodes) salicellum,NHMSYS0020309093,1,7,31,10,mature
Conostethus brevis,NHMSYS0020309095,1,6,31,7,mature
Conostethus griseus,NHMSYS0020309096,1,6,31,7,mature
Conostethus roseus,NHMSYS0020309097,1,5,31,7,mature
Conostethus venustus,NHMSYS0020973307,1,5,30,9,mature
Coranus (Coranus) subapterus,NHMSYS0020309101,1,6,31,10,mature
Cyllecoris histrionius,NHMSYS0020309124,1,6,30,9,mature
Cyrtorhinus caricis,NHMSYS0020309136,1,7,31,10,mature
Deraeocoris (Deraeocoris) flavilinea,NHMSYS0020309142,1,5,31,8,mature
Deraeocoris (Deraeocoris) olivaceus,NHMSYS0020309143,1,5,31,7,mature
Deraeocoris (Deraeocoris) ruber,NHMSYS0020309144,1,5,30,9,mature
Deraeocoris (Deraeocoris) scutellaris,NHMSYS0020309145,1,6,31,8,mature
Dichrooscytus gustavi,NHMSYS0020309152,1,6,31,7,mature
Dichrooscytus rufipennis,NHMSYS0020309153,1,6,31,8,mature
Dictyonota fuliginosa,NHMSYS0020309160,1,6,31,10,mature
Dictyonota strichnocera,NHMSYS0020309161,1,6,31,10,mature
Dicyphus (Dicyphus) constrictus,NHMSYS0020309168,1,7,30,9,mature
Dicyphus (Dicyphus) epilobii,NHMSYS0020309169,1,5,30,11,mature
Dicyphus (Dicyphus) errans,NHMSYS0020309170,1,6,31,10,mature
Dryophilocoris (Dryophilocoris) flavoquadrimaculatus,NHMSYS0020309191,1,5,31,7,mature
Empicoris baerensprungi,NHMSYS0020309209,1,6,31,8,mature
Europiella artemisiae,NHMSYS0020309220,1,6,31,10,mature
Europiella decolor,NHMSYS0020309221,1,6,31,10,mature
Fieberocapsus flaveolus,NHMSYS0020309237,1,6,30,9,mature
Globiceps (Kelidocoris) flavomaculatus,NHMSYS0020309265,1,6,30,9,mature
Globiceps (Kelidocoris) fulvicollis subsp. cruciatus,NHMSYS0020309266,1,7,30,9,mature
Globiceps (Kelidocoris) juniperi,NHMSYS0020309267,1,6,31,8,mature
Hallodapus montandoni,NHMSYS0020309276,1,7,30,9,mature
Hallodapus rufescens,NHMSYS0020309277,1,7,30,9,mature
Halticus apterus,NHMSYS0020309282,1,6,31,8,mature
Halticus luteicollis,NHMSYS0020309283,1,6,30,9,mature
Halticus macrocephalus,NHMSYS0020309284,1,7,31,8,mature
Halticus saltator,NHMSYS0020309285,1,7,30,9,mature
Harpocera thoracica,NHMSYS0020109258,1,5,30,9,mature
Heterocordylus (Heterocordylus) genistae,NHMSYS0020309302,1,6,31,8,mature
Heterocordylus (Heterocordylus) tibialis,NHMSYS0020309304,1,5,31,8,mature
