taxon,tvk,start_day,start_month,end_day,end_month,stage
Ironoquia dubia,NBNSYS0000008437,01,09,31,10,mature
Limnephilus politus,NBNSYS0000008488,01,07,31,10,mature
Setodes argentipunctellus,NBNSYS0000008540,01,07,30,09,mature
Ceraclea annulicornis,NBNSYS0000008517,01,05,31,08,mature
Hydroptila tigurina,NBNSYS0000008362,01,06,31,08,mature
Hydropsyche instabilis,NBNSYS0000008418,01,04,30,09,mature
Orthotrichia costalis,NBNSYS0000008378,01,05,30,09,mature
Melampophylax mucoreus,NBNSYS0000008449,01,09,30,11,mature
Adicella reducta,NBNSYS0000008529,01,06,31,08,mature
Agrypnia varia,NHMSYS0020704765,01,04,31,10,mature
Oecetis furva,NBNSYS0000008535,01,06,30,09,mature
Brachycentrus subnubilus,NBNSYS0000008433,01,03,30,06,mature
Hydroptila lotensis,NBNSYS0000008355,01,05,30,09,mature
Plectrocnemia conspersa,NBNSYS0000008407,01,05,31,10,mature
Plectrocnemia brevis,NBNSYS0000008406,01,05,30,09,mature
Hydroptila martini,NBNSYS0000008356,01,06,31,08,mature
Agapetus ochripes,NBNSYS0000008348,01,04,31,10,mature
Limnephilus marmoratus,NBNSYS0000008485,01,03,30,11,mature
Hydropsyche contubernalis,NBNSYS0000008415,01,04,31,10,mature
Leptocerus tineiformis,NBNSYS0000008524,01,05,30,09,mature
Limnephilus ignavus,NBNSYS0000008481,01,05,31,10,mature
Triaenodes bicolor,NBNSYS0000008531,01,05,30,09,mature
Limnephilus centralis,NBNSYS0000008471,01,03,31,10,mature
Ylodes conspersus,NBNSYS0000008532,01,05,30,09,mature
Glossosoma conformis,NBNSYS0000008344,01,04,31,10,mature
Wormaldia occipitalis,NBNSYS0000008382,01,01,30,11,mature
Notidobia ciliaris,NBNSYS0000008505,01,05,31,07,mature
Tinodes waeneri,NBNSYS0000008396,01,04,31,10,mature
Limnephilus auricula,NBNSYS0000008467,01,02,30,11,mature
Oxyethira simplex,NBNSYS0000008372,01,05,31,10,mature
Hydropsyche exocellata,NBNSYS0000008416,01,05,30,09,mature
Oxyethira flavicornis,NBNSYS0000008368,01,05,30,09,mature
Oecetis lacustris,NBNSYS0000008536,01,06,30,09,mature
Hydroptila angulata,NBNSYS0000008352,01,06,31,10,mature
Tricholeiochiton fagesii,NBNSYS0000008374,01,05,31,10,mature
Mesophylax impunctatus,NBNSYS0000008451,01,05,30,09,mature
Silo nigricornis,NBNSYS0000008499,01,05,30,09,mature
Limnephilus incisus,NBNSYS0000008482,01,05,31,10,mature
Hydroptila vectis,NBNSYS0000008365,01,05,31,10,mature
Plectrocnemia geniculata,NBNSYS0000008408,01,05,30,09,mature
Ylodes simulans,NBNSYS0000008534,01,07,31,08,mature
Micropterna lateralis,NBNSYS0000008454,01,03,30,09,mature
Psychomyia fragilis,NHMSYS0020547806,01,06,31,08,mature
Polycentropus irroratus,NBNSYS0000008410,01,05,30,09,mature
Polycentropus flavomaculatus,NBNSYS0000008409,01,05,31,10,mature
Rhyacophila munda,NBNSYS0000008340,01,05,31,10,mature
Cyrnus flavidus,NBNSYS0000008399,01,05,30,09,mature
Molanna albicans,NBNSYS0000008508,01,06,30,09,mature
Hydroptila simulans,NBNSYS0000008359,01,05,30,09,mature
Limnephilus extricatus,NBNSYS0000008475,01,04,31,10,mature
Chimarra marginata,NBNSYS0000008384,01,02,30,09,mature
Limnephilus luridus,NBNSYS0000008484,01,03,31,10,mature
Athripsodes albifrons,NBNSYS0000008510,01,04,31,10,mature
Oecetis ochracea,NBNSYS0000008538,01,05,30,09,mature
Phryganea bipunctata,NBNSYS0000008430,01,05,31,10,mature
Hydropsyche fulvipes,NBNSYS0000008417,01,05,31,08,mature
Limnephilus rhombicus,NBNSYS0000008489,01,05,31,10,mature
Limnephilus vittatus,NHMSYS0020704808,01,03,31,10,mature
Crunoecia irrorata,NBNSYS0000008434,01,04,31,10,mature
Ceraclea nigronervosa,NBNSYS0000008520,01,05,31,08,mature
Limnephilus borealis,NBNSYS0000008470,01,05,30,09,mature
Wormaldia mediana,NBNSYS0000008381,01,06,30,09,mature
Athripsodes cinereus,NBNSYS0000008514,01,05,31,10,mature
Goera pilosa,NHMSYS0020704791,01,05,30,09,mature
Hydropsyche pellucidula,NBNSYS0000008419,01,04,31,10,mature
Oecetis notata,NBNSYS0000008537,01,07,31,08,mature
Tinodes unicolor,NBNSYS0000008395,01,05,31,08,mature
Limnephilus tauricus,NBNSYS0000008493,01,07,31,08,mature
Limnephilus griseus,NBNSYS0000008479,01,04,31,10,mature
Phryganea grandis,NBNSYS0000008431,01,05,31,08,mature
Psychomyia pusilla,NHMSYS0020704831,01,05,30,09,mature
Limnephilus flavicornis,NHMSYS0020704807,01,04,30,11,mature
Limnephilus nigriceps,NBNSYS0000008486,01,08,30,11,mature
Hydroptila tineoides,NBNSYS0000008363,01,05,31,10,mature
