code,taxon,tvk
1,Saldula setulosa,NBNSYS0000010348
1,Aquarius paludum,NHMSYS0000527504
3,Corixa iberica,NHMSYS0000527519
1,Hydrometra gracilenta,NHMSYS0000527547
1,Limnoporus rufoscutellatus,NHMSYS0000527550
2,Naucoris maculatus,NHMSYS0000583218
2,Cymatia rogenhoferi,NHMSYS0020063202
1,Aepophilus bonnairei,NHMSYS0020308907
1,Hebrus (Hebrus) pusillus,NHMSYS0020309292
1,Micracanthia marginalis,NHMSYS0020309451
2,Micronecta (Micronecta) griseola,NHMSYS0020309456
1,Micronecta (Micronecta) minutissima,NHMSYS0020309457
1,Microvelia (Microvelia) buenoi,NHMSYS0020309464
1,Saldula arenicola,NHMSYS0020309791
1,Saldula fucicola,NHMSYS0020309793
1,Saldula melanoscela,NHMSYS0020309794
1,Sigara (Sigara) striata,NHMSYS0020309830
2,Sigara (Subsigara) iactans,NHMSYS0020309836
2,Sigara (Subsigara) longipalis,NHMSYS0020309837
1,Pachycoleus waltli,NHMSYS0020442444
