"km100","km10","coord_system","taxon","tvk"
"NF","60 70 80","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NG","70 80 81 90 91","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NH","00 10 11 12 20 21 22 23 25 30 31 32 33 34 35 36 40 41 42 43 44 45 51 52 53 54 55 59 62 63 64 65 66 67 68 69 70 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 98","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NJ","01 02 03 04 05 06 12 13 14 15 16 17 24 25 26 27 35 36 46 56","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NL","69 93 94","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NM","04 05 15 16 21 22 23 24 25 26 31 32 33 34 35 40 41 42 43 44 45 46 51 52 53 54 55 56 60 61 62 66 70 71 72 73 76 77 78 79 80 81 82 83 84 85 87 88 89 93 94 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NN","00 01 02 03 04 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 38 39 40 41 42 48 50 51 52 53 59 60 62 63 69 70 71 72 73 79 80 81 82 86 90 91 92 94 95","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NO","00 01 02 03 04 05 06 10 11 12 13 14 15 16 20 21 22 23 24 25 26 30 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 49 50 51 52 53 54 55 56 57 58 60 61 63 64 65 66 67 69 74 75 76","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NR","15 16 24 25 26 27 34 35 36 37 38 39 46 48 49 50 51 56 57 59 60 61 62 63 64 65 67 69 70 71 72 73 75 76 77 78 79 82 83 84 86 89 92 93 94 95 96","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NS","00 02 03 04 05 06 07 08 09 10 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 64 65 66 67 68 69 70 71 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NT","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 35 36 37 39 42 44 45 46 47 48 49 50 55 57 58 59 60 65 66 67 68 69 70 77 80 81 87 90 96","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NU","04 05 10 13 14 20 21 22 23","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NW","95 96 97","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NX","03 04 05 06 07 08 13 14 15 16 17 18 19 24 25 26 27 28 29 30 33 34 35 36 37 38 39 40 43 44 45 46 47 48 49 54 55 56 57 58 59 64 65 66 67 68 69 74 75 76 77 78 79 84 85 86 87 88 89 90 91 92 93 95 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NY","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 38 39 40 41 42 43 44 45 46 48 51 52 53 54 55 56 58 59 60 61 62 67 68 69 70 71 75 77 78 79 85 86 87 88 89 90 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"NZ","00 01 02 03 04 05 06 07 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 50 51 52 53 60 61 62 70 71 72 80 81 90 91","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SC","16 26 27 28 36 37 38 39 47 48 49","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SD","08 09 16 17 18 19 20 21 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 56 57 58 59 60 61 62 63 67 68 69 70 71 72 75 76 77 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SE","00 01 02 03 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SH","12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 65 66 67 68 71 72 73 74 75 76 77 78 82 83 84 85 87 88 93 95 97 98","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SJ","06 07 08 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SK","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SM","50 62 70 71 72 73 80 82 84 90 93","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SN","00 04 10 14 15 20 30 31 40 50 58 59 69","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SO","19 30 33 34 35 36 39 43 44 45 46 47 48 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SP","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SR","89 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SS","09 11 14 19 38 39 43 44 48 49 58 59 68 69 78 79 84 87 88 90 94 96","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"ST","00 01 02 03 04 06 10 11 12 13 14 16 17 18 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SU","00 01 02 03 04 05 06 07 08 09 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 36 37 38 39 40 41 42 46 47 48 49 50 51 56 57 58 59 60 65 66 67 68 69 70 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
"SV","81 91","OSGB","Hesperocorixa linnaei","MM0001Z1H00231Z0"
