"code","taxon","tvk"
2,"Cicadetta montana","NBNSYS0000010417"
2,"Doratura impudica","NBNSYS0000010503"
2,"Euscelis venosus","NBNSYS0000010554"
2,"Cicadula intermedia","NBNSYS0000010578"
2,"Chlorita viridula","NBNSYS0000010620"
2,"Ribautodelphax imitans","NBNSYS0000010768"
2,"Laodelphax striatella","NBNSYS0000149871"
2,"Xanthodelphax flaveola","NBNSYS0000159109"
2,"Balclutha saltuella","NBNSYS0100001908"
2,"Elymana kozhevnikovi","NBNSYS0100002955"
2,"Fieberiella florii","NBNSYS0100003194"
2,"Agallia brachyptera","NHMSYS0020442286"
2,"Austroagallia sinuata","NHMSYS0020442294"
2,"Austroasca vittata","NHMSYS0020442295"
2,"Calligypona reyi","NHMSYS0020442299"
2,"Chloriona dorsata","NHMSYS0020442301"
2,"Chloriona vasconica","NHMSYS0020442302"
2,"Chlorita dumosa","NHMSYS0020442303"
2,"Cicadella lasiocarpae","NHMSYS0020442305"
2,"Cicadula flori","NHMSYS0020442306"
2,"Cicadula ornata","NHMSYS0020442307"
2,"Cicadula quinquenotata","NHMSYS0020442308"
2,"Cixius caledonicus","NHMSYS0020442310"
2,"Cixius cambricus","NHMSYS0020442311"
2,"Cixius remotus","NHMSYS0020442312"
2,"Cosmotettix caudatus","NHMSYS0020442313"
2,"Cosmotettix costalis","NHMSYS0020442314"
2,"Criomorphus moestus","NHMSYS0020442316"
2,"Criomorphus williamsi","NHMSYS0020442317"
2,"Ebarrius cognatus","NHMSYS0020442320"
2,"Edwardsiana rosaesugans","NHMSYS0020442324"
2,"Edwardsiana tersa","NHMSYS0020442325"
2,"Emelyanoviana contraria","NHMSYS0020442329"
2,"Erythria aureola","NHMSYS0020442332"
2,"Eurhadina kirschbaumi","NHMSYS0020442333"
2,"Eurysula lurida","NHMSYS0020442336"
2,"Euscelidius schenckii","NHMSYS0020442337"
2,"Euscelis ohausi","NHMSYS0020442339"
2,"Florodelphax paryphasma","NHMSYS0020442341"
2,"Hephathus nanus","NHMSYS0020442343"
2,"Issus muscaeformis","NHMSYS0020442413"
2,"Kyboasca bipunctata","NHMSYS0020442415"
2,"Kybos calyculus","NHMSYS0020442416"
2,"Limotettix atricapillus","NHMSYS0020442422"
2,"Macropsis glandacea","NHMSYS0020442424"
2,"Macrosteles alpinus","NHMSYS0020442426"
2,"Macrosteles cristatus","NHMSYS0020442427"
2,"Macrosteles fieberi","NHMSYS0020442428"
2,"Macrosteles frontalis","NHMSYS0020442429"
2,"Macrosteles lividus","NHMSYS0020442430"
2,"Macrosteles oshanini","NHMSYS0020442431"
2,"Macrosteles quadripunctulatus","NHMSYS0020442432"
2,"Megamelodes lequesnei","NHMSYS0020442434"
2,"Metalimnus formosus","NHMSYS0020442437"
2,"Neophilaenus longiceps","NHMSYS0020442440"
2,"Paraliburnia clypealis","NHMSYS0020442447"
2,"Platymetopius undatus","NHMSYS0020442453"
2,"Psammotettix frigidus","NHMSYS0020442455"
2,"Psammotettix maritimus","NHMSYS0020442456"
2,"Ribautodelphax pallens","NHMSYS0020442460"
2,"Sagatus punctifrons","NHMSYS0020442462"
2,"Stenocranus fuscovittatus","NHMSYS0020442466"
2,"Stroggylocephalus livens","NHMSYS0020442468"
2,"Tettigometra impressopunctata","NHMSYS0020442472"
2,"Trigonocranus emmeae","NHMSYS0020442473"
2,"Zygina rubrovittata","NHMSYS0020442476"
2,"Prokelisia marginata","NHMSYS0020530792"
2,"Anoscopus albiger","NHMSYS0020705213"
2,"Aphrodes bicincta","NHMSYS0020705214"
2,"Cicadula aurantipes","NHMSYS0020705273"
2,"Empoasca pteridis","NHMSYS0020705543"
2,"Eupteryx heydenii","NHMSYS0020705568"
2,"Kelisia pallidula","NHMSYS0020705668"
2,"Rhopalopyx vitripennis","NHMSYS0020705791"
2,"Placotettix taeniatifrons","NHMSYS0020705816"
2,"Scottianella dalei","NHMSYS0020705922"
2,"Paradelphacodes litoralis","NHMSYS0020705923"
2,"Zygina ordinaria","NHMSYS0020705974"
2,"Zygina schneideri","NHMSYS0020705975"
2,"Zygina suavis","NHMSYS0020705976"
2,"Batracomorphus allionii","NHMSYS0020745850"
2,"Macropsis megerlei","NHMSYS0020745851"
2,"Dryodurgades antoniae","NHMSYS0020745852"
2,"Psammotettix helvolus","NHMSYS0020745853"
2,"Synophropsis lauri","NHMSYS0020745854"
2,"Alebra viridis","NHMSYS0020745855"
2,"Liguropia juniperi","NHMSYS0020745856"
2,"Eupteryx decemnotata","NHMSYS0020745857"
2,"Zyginella pulchra","NHMSYS0020745858"
2,"Kelisia occirrega","NHMSYS0020745859"
2,"Delphax crassicornis","NHMSYS0020745860"
2,"Acericerus ribauti","NHMSYS0020920318"
2,"Oncopsis appendiculata","NHMSYS0020973319"
2,"Acericerus heydenii","NHMSYS0020973325"
2,"Fieberiella septentrionalis","NHMSYS0020973331"
2,"Pithyotettix abietinus","NHMSYS0020973355"
2,"Orientus ishidae","NHMSYS0020973367"
2,"Erotettix cyane","NHMSYS0020977145"
2,"Eurysanoides douglasi","NHMSYS0020977194"
2,"Eurysella brunnea","NHMSYS0020977628"
2,"Anoterostemma ivanhofi","NHMSYS0021109891"
2,"Henschia collina","NHMSYS0021123114"
2,"Psammotettix alienus","NHMSYS0021123138"
2,"Anoscopus duffieldi","NHMSYS0021126445"
