"code","taxon","tvk"
1,"Cicadetta montana","NBNSYS0000010417"
2,"Idiocerus herrichi","NBNSYS0000010446"
2,"Doratura impudica","NBNSYS0000010503"
2,"Arocephalus punctum","NBNSYS0000010513"
2,"Adarrus multinotatus","NBNSYS0000010515"
4,"Jassargus flori","NBNSYS0000010518"
4,"Jassargus sursumflexus","NBNSYS0000010519"
4,"Euscelis venosus","NBNSYS0000010554"
2,"Thamnotettix confinis","NBNSYS0000010569"
2,"Thamnotettix dilutior","NBNSYS0000010570"
3,"Cicadula frontalis","NBNSYS0000010577"
3,"Cicadula intermedia","NBNSYS0000010578"
4,"Cicadula persimilis","NBNSYS0000010580"
4,"Cicadula quadrinotata","NBNSYS0000010581"
4,"Cicadula saturata","NBNSYS0000010583"
3,"Chlorita viridula","NBNSYS0000010620"
3,"Zygina hyperici","NBNSYS0000010695"
3,"Cixius cunicularius","NBNSYS0000010708"
3,"Cixius distinguendus","NBNSYS0000010709"
4,"Cixius simplex","NBNSYS0000010713"
1,"Dicranotropis hamata","NBNSYS0000010750"
2,"Megamelus notula","NBNSYS0000010751"
3,"Javesella discolor","NBNSYS0000010761"
3,"Javesella dubia","NBNSYS0000010762"
3,"Javesella forcipata","NBNSYS0000010763"
3,"Javesella obscurella","NBNSYS0000010764"
3,"Javesella pellucida","NBNSYS0000010765"
3,"Ribautodelphax imitans","NBNSYS0000010768"
3,"Laodelphax striatella","NBNSYS0000149871"
2,"Oncodelphax pullula","NBNSYS0000152698"
3,"Paradelphacodes paludosa","NBNSYS0000153193"
3,"Ribautodelphax angulosa","NBNSYS0000155972"
3,"Xanthodelphax flaveola","NBNSYS0000159109"
3,"Xanthodelphax straminea","NBNSYS0000159110"
4,"Balclutha saltuella","NBNSYS0100001908"
1,"Batracomorphus irroratus","NBNSYS0100001917"
4,"Elymana kozhevnikovi","NBNSYS0100002955"
4,"Fieberiella florii","NBNSYS0100003194"
3,"Ossiannilssonola callosa","NBNSYS0100004363"
2,"Anoscopus albifrons","NHMSYS0020322280"
2,"Agallia brachyptera","NHMSYS0020442286"
1,"Asiraca clavicornis","NHMSYS0020442293"
3,"Austroagallia sinuata","NHMSYS0020442294"
3,"Austroasca vittata","NHMSYS0020442295"
1,"Calligypona reyi","NHMSYS0020442299"
3,"Chloriona dorsata","NHMSYS0020442301"
3,"Chloriona vasconica","NHMSYS0020442302"
3,"Chlorita dumosa","NHMSYS0020442303"
3,"Cicadella lasiocarpae","NHMSYS0020442305"
4,"Cicadula flori","NHMSYS0020442306"
3,"Cicadula ornata","NHMSYS0020442307"
4,"Cicadula quinquenotata","NHMSYS0020442308"
5,"Cixius caledonicus","NHMSYS0020442310"
4,"Cixius cambricus","NHMSYS0020442311"
4,"Cixius remotus","NHMSYS0020442312"
3,"Cosmotettix caudatus","NHMSYS0020442313"
3,"Cosmotettix costalis","NHMSYS0020442314"
3,"Cosmotettix panzeri","NHMSYS0020442315"
3,"Criomorphus moestus","NHMSYS0020442316"
