taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Acanthodelphax denticauda,NHMSYS0020705529,1,1,1950,,,
Acericerus (Idiocerus) ribauti,NHMSYS0020745861,1,1,2010,,,
Acericerus vittifrons,NHMSYS0020705647,1,1,1950,,,
Adarrus (Adarrus) multinotatus,NHMSYS0020705532,1,1,1950,,,
Agallia brachyptera,NHMSYS0020442286,1,1,1950,,,
Agallia consobrina,NHMSYS0020705177,1,1,1950,,,
Aguriahana stellulata,NHMSYS0020705182,1,1,1950,,,
Alebra albostriella,NHMSYS0020705184,1,1,1950,,,
Alebra coryli,NHMSYS0020705185,1,1,1950,,,
Alebra viridis,NHMSYS0020745855,1,1,2000,,,
Alebra wahlbergi,NHMSYS0020705186,1,1,1950,,,
Allygidius (Allygidius) commutatus,NHMSYS0020705188,1,1,1950,,,
Allygus mixtus,NHMSYS0020705189,1,1,1950,,,
Allygus modestus,NHMSYS0020705190,1,1,1950,,,
Alnetoidea alneti,NHMSYS0020705191,1,1,1950,,,
Anaceratagallia ribauti,NHMSYS0020705179,1,1,1950,,,
Anaceratagallia venosa,NHMSYS0020917128,1,1,1950,,,
Anakelisia fasciata,NHMSYS0020705193,1,1,1950,,,
Anakelisia perspicillata,NHMSYS0020705194,1,1,1950,,,
Anoscopus albifrons,NHMSYS0020322280,1,1,1950,,,
Anoscopus albiger,NHMSYS0020705213,1,1,1950,,,
Anoscopus duffieldi,NHMSYS0020322282,1,1,1950,,,
Anoscopus flavostriatus,NHMSYS0020705216,1,1,1950,,,
Anoscopus histrionicus,NHMSYS0020705217,1,1,1950,,,
Anoscopus limicola,NHMSYS0020917141,1,1,1950,,,
Anoscopus serratulae,NHMSYS0020705219,1,1,1950,,,
Aphrodes aestuarinus,NHMSYS0020442289,1,1,1950,,,
Aphrodes bicincta,NHMSYS0020705214,1,1,1950,,,
Aphrodes makarovi,NHMSYS0020705218,1,1,1950,,,
Aphrophora alni,NHMSYS0020705221,1,1,1950,,,
Aphrophora major,NHMSYS0020705222,1,1,1950,,,
Aphrophora pectoralis,NHMSYS0020705223,1,1,1950,,,
Aphrophora salicina,NHMSYS0020705224,1,1,1950,,,
Arboridia parvula,NHMSYS0020705226,1,1,1950,,,
Arboridia ribauti,NHMSYS0020705227,1,1,1950,,,
Arocephalus (Ariellus) punctum,NHMSYS0020705229,1,1,1950,,,
Arthaldeus pascuellus,NHMSYS0020705231,1,1,1950,,,
Arthaldeus striifrons,NHMSYS0020705232,1,1,1950,,,
Asiraca clavicornis,NHMSYS0020442293,1,1,1950,,,
Athysanus argentarius,NHMSYS0020705240,1,1,1950,,,
Austroagallia sinuata,NHMSYS0020442294,1,1,1950,,,
Austroasca vittata,NHMSYS0020442295,1,1,1950,,,
Balclutha punctata,NHMSYS0020705244,1,1,1950,,,
Balclutha saltuella,NBNSYS0100001908,1,1,1950,,,
Batracomorphus allionii,NHMSYS0020745850,1,1,2000,,,
Batracomorphus irroratus,NBNSYS0100001917,1,1,1950,,,
Calligypona reyi,NHMSYS0020442299,1,1,1950,,,
Centrotus cornutus,NHMSYS0020705258,1,1,1950,,,
Cercopis vulnerata,NHMSYS0020705260,1,1,1950,,,
Chloriona dorsata,NHMSYS0020442301,1,1,1950,,,
Chloriona glaucescens,NHMSYS0020705263,1,1,1950,,,
Chloriona smaragdula,NHMSYS0020705264,1,1,1950,,,
Chloriona unicolor,NHMSYS0020705265,1,1,1950,,,
Chloriona vasconica,NHMSYS0020442302,1,1,1950,,,
Chlorita dumosa,NHMSYS0020442303,1,1,1950,,,
Chlorita viridula,NBNSYS0000010620,1,1,1950,,,
Cicadella lasiocarpae,NHMSYS0020442305,1,1,1950,,,
Cicadella viridis,NHMSYS0020705270,1,1,1950,,,
Cicadetta montana,NBNSYS0000010417,1,1,1950,,,
Cicadula (Cicadula) flori,NHMSYS0020705274,1,1,1950,,,
Cicadula (Cicadula) persimilis,NHMSYS0020705278,1,1,1950,,,
Cicadula (Cicadula) quadrinotata,NHMSYS0020705279,1,1,1950,,,
Cicadula (Cicadula) quinquenotata,NHMSYS0020705280,1,1,1950,,,
Cicadula (Cicadula) saturata,NHMSYS0020705281,1,1,1950,,,
Cicadula (Cyperana) intermedia,NHMSYS0020705276,1,1,1950,,,
Cicadula (Cyperana) ornata,NHMSYS0020705277,1,1,1950,,,
Cicadula (Henriana) frontalis,NHMSYS0020705275,1,1,1950,,,
Cicadula aurantipes,NHMSYS0020705273,1,1,1950,,,
Cixius (Acanthocixius) cambricus,NHMSYS0020705284,1,1,1950,,,
Cixius (Acanthocixius) similis,NHMSYS0020705289,1,1,1950,,,
Cixius (Ceratocixius) caledonicus,NHMSYS0020705283,1,1,1950,,,
Cixius (Ceratocixius) cunicularius,NHMSYS0020705285,1,1,1950,,,
Cixius (Ceratocixius) remotus,NHMSYS0020705288,1,1,1950,,,
Cixius (Ceratocixius) simplex,NHMSYS0020705290,1,1,1950,,,
Cixius (Paracixius) distinguendus,NHMSYS0020705286,1,1,1950,,,
Cixius nervosus,NHMSYS0020705287,1,1,1950,,,
Colladonus torneellus,NHMSYS0020705292,1,1,1950,,,
Conomelus anceps,NHMSYS0020705295,1,1,1950,,,
Conosanus obsoletus,NHMSYS0020705297,1,1,1950,,,
Cosmotettix (Airosus) costalis,NHMSYS0020705300,1,1,1950,,,
Cosmotettix (Cosmotettix) caudatus,NHMSYS0020705299,1,1,1950,,,
Cosmotettix (Cosmotettix) panzeri,NHMSYS0020705301,1,1,1950,,,
Criomorphus albomarginatus,NHMSYS0020705311,1,1,1950,,,
Criomorphus moestus,NHMSYS0020442316,1,1,1950,,,
Criomorphus williamsi,NHMSYS0020442317,1,1,1950,,,
Delphacinus mesomelas,NHMSYS0020705320,1,1,1950,,,
Delphacodes capnodes,NHMSYS0020442318,1,1,1950,,,
Delphacodes venosus,NHMSYS0020705322,1,1,1950,,,
Delphax crassicornis,NHMSYS0020745860,1,1,2000,,,
Delphax pulchellus,NHMSYS0020705324,1,1,1950,,,
Deltocephalus maculiceps,NHMSYS0020705326,1,1,1950,,,
Deltocephalus pulicaris,NHMSYS0020705327,1,1,1950,,,
Dicranotropis (Dicranotropis) hamata,NHMSYS0020705330,1,1,1950,,,
Dicranotropis (Leimonodite) divergens,NHMSYS0020705329,1,1,1950,,,
Dikraneura variata,NHMSYS0020705332,1,1,1950,,,
Ditropis pteridis,NHMSYS0020705337,1,1,1950,,,
Doratura impudica,NBNSYS0000010503,1,1,1950,,,
Doratura stylata,NHMSYS0020705339,1,1,1950,,,
Dryodurgades antoniae,NHMSYS0020745852,1,1,2000,,,
Ebarrius cognatus,NHMSYS0020442320,1,1,1950,,,
Edwardsiana alnicola,NHMSYS0020442321,1,1,1950,,,
Edwardsiana avellanae,NHMSYS0020705351,1,1,1950,,,
Edwardsiana bergmanni,NHMSYS0020705352,1,1,1950,,,
Edwardsiana candidula,NHMSYS0020705353,1,1,1950,,,
Edwardsiana crataegi,NHMSYS0020705354,1,1,1950,,,
Edwardsiana diversa,NHMSYS0020705355,1,1,1950,,,
Edwardsiana flavescens,NHMSYS0020705356,1,1,1950,,,
Edwardsiana frustrator,NHMSYS0020705357,1,1,1950,,,
Edwardsiana geometrica,NHMSYS0020705358,1,1,1950,,,
Edwardsiana ishidai,NHMSYS0020442322,1,1,1950,,,
Edwardsiana lanternae,NHMSYS0020442323,1,1,1950,,,
Edwardsiana lethierryi,NHMSYS0020705359,1,1,1950,,,
Edwardsiana nigriloba,NHMSYS0020705361,1,1,1950,,,
Edwardsiana plebeja,NHMSYS0020705362,1,1,1950,,,
Edwardsiana prunicola,NHMSYS0020705363,1,1,1950,,,
Edwardsiana rosae,NHMSYS0020705364,1,1,1950,,,
Edwardsiana rosaesugans,NHMSYS0020442324,1,1,1950,,,
Edwardsiana salicicola,NHMSYS0020705365,1,1,1950,,,
Edwardsiana spinigera,NHMSYS0020705366,1,1,1950,,,
Edwardsiana tersa,NHMSYS0020442325,1,1,1950,,,
Elymana kozhevnikovi,NBNSYS0100002955,1,1,1950,,,
Elymana sulphurella,NHMSYS0020705368,1,1,1950,,,
Emelyanoviana contraria,NHMSYS0020442329,1,1,1950,,,
Emelyanoviana mollicula,NHMSYS0020705370,1,1,1950,,,
Empoasca decipiens,NHMSYS0020705542,1,1,1950,,,
Empoasca pteridis,NHMSYS0020705543,1,1,1950,,,
Empoasca vitis,NHMSYS0020705544,1,1,1950,,,
Errastunus ocellaris,NHMSYS0020705533,1,1,1950,,,
Erythria (Erythria) aureola,NHMSYS0020705552,1,1,1950,,,
Euconomelus lepidus,NHMSYS0020705554,1,1,1950,,,
Euides speciosa,NHMSYS0020705556,1,1,1950,,,
Eupelix cuspidata,NHMSYS0020705558,1,1,1950,,,
Eupterycyba jucunda,NHMSYS0020705560,1,1,1950,,,
Eupteryx artemisiae,NHMSYS0020705562,1,1,1950,,,
Eupteryx atropunctata,NHMSYS0020705563,1,1,1950,,,
Eupteryx aurata,NHMSYS0020705564,1,1,1950,,,
Eupteryx cyclops,NHMSYS0020705565,1,1,1950,,,
Eupteryx decemnotata,NHMSYS0020745857,1,1,2000,,,
Eupteryx filicum,NHMSYS0020705566,1,1,1950,,,
Eupteryx florida,NHMSYS0020705567,1,1,1950,,,
Eupteryx heydenii,NHMSYS0020705568,1,1,1950,,,
Eupteryx melissae,NHMSYS0020705569,1,1,1950,,,
Eupteryx notata,NHMSYS0020705570,1,1,1950,,,
Eupteryx origani,NHMSYS0020705571,1,1,1950,,,
Eupteryx signatipennis,NHMSYS0020705572,1,1,1950,,,
Eupteryx stachydearum,NHMSYS0020705573,1,1,1950,,,
Eupteryx tenella,NHMSYS0020705574,1,1,1950,,,
Eupteryx thoulessi,NHMSYS0020705575,1,1,1950,,,
Eupteryx urticae,NHMSYS0020705576,1,1,1950,,,
Eupteryx vittata,NHMSYS0020705577,1,1,1950,,,
Eurhadina concinna,NHMSYS0020705579,1,1,1950,,,
Eurhadina kirschbaumi,NHMSYS0020442333,1,1,1950,,,
Eurhadina loewii,NHMSYS0020705580,1,1,1950,,,
Eurhadina pulchella,NHMSYS0020705581,1,1,1950,,,
Eurhadina ribauti,NHMSYS0020442334,1,1,1950,,,
Eurybregma nigrolineata,NHMSYS0020705583,1,1,1950,,,
Eurysa brunnea,NBNSYS0100003166,1,1,1950,,,
Eurysa lineata,NHMSYS0020705585,1,1,1950,,,
Eurysula lurida,NHMSYS0020442336,1,1,1950,,,
Euscelidius schenckii,NHMSYS0020442337,1,1,1950,,,
Euscelidius variegatus,NHMSYS0020442338,1,1,1950,,,
Euscelis incisus,NHMSYS0020705589,1,1,1950,,,
Euscelis lineolatus,NHMSYS0020705590,1,1,1950,,,
Euscelis ohausi,NHMSYS0020442339,1,1,1950,,,
Euscelis venosus,NBNSYS0000010554,1,1,1950,,,
Evacanthus acuminatus,NHMSYS0020705592,1,1,1950,,,
Evacanthus interruptus,NHMSYS0020705593,1,1,1950,,,
Fagocyba carri,NHMSYS0020705595,1,1,1950,,,
Fagocyba cruenta,NHMSYS0020705596,1,1,1950,,,
Fieberiella florii,NBNSYS0100003194,1,1,1990,,,
Florodelphax leptosoma sensu stricto,NHMSYS0020924615,1,1,1950,,,
Florodelphax paryphasma,NHMSYS0020442341,1,1,1950,,,
Forcipata citrinella,NHMSYS0020705603,1,1,1950,,,
Forcipata forcipata,NHMSYS0020705604,1,1,1950,,,
Gargara genistae,NHMSYS0020705606,1,1,1950,,,
Graphocephala fennahi,NHMSYS0020705608,1,1,1950,,,
Graphocraerus ventralis,NHMSYS0020705610,1,1,1950,,,
Gravesteiniella boldi,NHMSYS0020705612,1,1,1950,,,
Grypotes puncticollis,NHMSYS0020705614,1,1,1950,,,
Hardya melanopsis,NHMSYS0020705617,1,1,1950,,,
Hauptidia maroccana,NHMSYS0020705619,1,1,1950,,,
Hephathus nanus,NHMSYS0020442343,1,1,1950,,,
Hyledelphax elegantula,NHMSYS0020705627,1,1,1950,,,
Iassus lanio,NHMSYS0020705629,1,1,1950,,,
Iassus scutellaris,NHMSYS0020442411,1,1,1950,,,
Idiocerus herichii,NHMSYS0020705636,1,1,1950,,,
Idiocerus lituratus,NHMSYS0020705638,1,1,1950,,,
Idiocerus similis,NHMSYS0020705643,1,1,1950,,,
Idiocerus stigmaticalis,NHMSYS0020705644,1,1,1950,,,
Idiodonus cruentatus,NHMSYS0020705649,1,1,1950,,,
Issus coleoptratus,NHMSYS0020705653,1,1,1950,,,
Issus muscaeformis,NHMSYS0020442413,1,1,1950,,,
Jassargus (Arrailus) flori,NHMSYS0020705656,1,1,1950,,,
Jassargus (Sayetus) sursumflexus,NHMSYS0020705657,1,1,1950,,,
Jassargus distinguendus,NBNSYS0000010517,1,1,1950,,,
Javesella (Javesella) discolor,NHMSYS0020705659,1,1,1950,,,
Javesella (Javesella) dubia,NHMSYS0020705660,1,1,1950,,,
Javesella (Javesella) forcipata,NHMSYS0020705661,1,1,1950,,,
Javesella (Javesella) obscurella,NHMSYS0020705662,1,1,1950,,,
Javesella (Javesella) pellucida,NHMSYS0020705663,1,1,1950,,,
Kelisia guttula,NHMSYS0020705666,1,1,1950,,,
Kelisia guttulifera,NHMSYS0020705667,1,1,1950,,,
Kelisia occirrega,NHMSYS0020745859,1,1,2000,,,
Kelisia pallidula,NHMSYS0020705668,1,1,1950,,,
Kelisia punctulum,NHMSYS0020705669,1,1,1950,,,
Kelisia ribauti,NHMSYS0020705670,1,1,1950,,,
Kelisia sabulicola,NHMSYS0020705671,1,1,1950,,,
Kelisia vittipennis,NHMSYS0020705672,1,1,1950,,,
Kosswigianella exigua,NHMSYS0020705675,1,1,1950,,,
Kyboasca bipunctata,NHMSYS0020442415,1,1,1950,,,
Kybos butleri,NHMSYS0020705679,1,1,1950,,,
Kybos calyculus,NHMSYS0020442416,1,1,1950,,,
Kybos populi,NHMSYS0020705680,1,1,1950,,,
Kybos rufescens,NHMSYS0020705681,1,1,1950,,,
Kybos smaragdulus,NHMSYS0020705682,1,1,1950,,,
Kybos strigilifer,NHMSYS0020705683,1,1,1950,,,
Kybos virgator,NHMSYS0020705684,1,1,1950,,,
Lamprotettix nitidulus,NHMSYS0020705686,1,1,1950,,,
Laodelphax striatellus,NHMSYS0020442417,1,1,1950,,,
Ledra aurita,NHMSYS0020705689,1,1,1950,,,
Liguropia juniperi,NHMSYS0020745856,1,1,2000,,,
Limotettix atricapillus,NHMSYS0020442422,1,1,1950,,,
Limotettix striola,NHMSYS0020705691,1,1,1950,,,
Lindbergina aurovittata,NHMSYS0020705693,1,1,1950,,,
Linnavuoriana decempunctata,NHMSYS0020705695,1,1,1950,,,
Linnavuoriana sexmaculata,NHMSYS0020705696,1,1,1950,,,
Macropsis albae,NHMSYS0020705705,1,1,1950,,,
Macropsis cerea,NHMSYS0020705706,1,1,1950,,,
Macropsis fuscinervis,NHMSYS0020705707,1,1,1950,,,
Macropsis fuscula,NHMSYS0020705708,1,1,1950,,,
Macropsis glandacea,NHMSYS0020442424,1,1,1950,,,
Macropsis graminea,NHMSYS0020705709,1,1,1950,,,
Macropsis impura,NHMSYS0020705710,1,1,1950,,,
Macropsis infuscata,NHMSYS0020705711,1,1,1950,,,
Macropsis marginata,NHMSYS0020705712,1,1,1950,,,
Macropsis megerlei,NHMSYS0020745851,1,1,1950,,,
Macropsis mendax,NHMSYS0020442425,1,1,1950,,,
Macropsis prasina,NHMSYS0020705713,1,1,1950,,,
Macropsis scotti,NHMSYS0020705714,1,1,1950,,,
Macropsis scutellata sensu stricto,NHMSYS0020924639,1,1,1950,,,
Macrosteles alpinus,NHMSYS0020442426,1,1,1950,,,
Macrosteles cristatus,NHMSYS0020442427,1,1,1950,,,
Macrosteles fieberi,NHMSYS0020442428,1,1,1950,,,
Macrosteles frontalis,NHMSYS0020442429,1,1,1950,,,
Macrosteles horvathi,NHMSYS0020705718,1,1,1950,,,
Macrosteles laevis,NHMSYS0020705719,1,1,1950,,,
Macrosteles lividus,NHMSYS0020442430,1,1,1950,,,
Macrosteles oshanini,NHMSYS0020705720,1,1,1950,,,
Macrosteles ossiannilssoni,NHMSYS0020705721,1,1,1950,,,
Macrosteles quadripunctulatus,NHMSYS0020442432,1,1,1950,,,
Macrosteles septemnotatus,NHMSYS0020705722,1,1,1950,,,
Macrosteles sexnotatus,NHMSYS0020705723,1,1,1950,,,
Macrosteles sordidipennis,NHMSYS0020442433,1,1,1950,,,
Macrosteles variatus,NHMSYS0020705724,1,1,1950,,,
Macrosteles viridigriseus,NHMSYS0020705725,1,1,1950,,,
Macustus grisescens,NHMSYS0020705727,1,1,1950,,,
Megamelodes lequesnei,NHMSYS0020442434,1,1,1950,,,
Megamelodes quadrimaculatus sensu stricto,NHMSYS0020924651,1,1,1950,,,
Megamelus notulus,NHMSYS0020705732,1,1,1950,,,
Megophthalmus scabripennis,NHMSYS0020705734,1,1,1950,,,
Megophthalmus scanicus,NHMSYS0020705735,1,1,1950,,,
Metalimnus formosus,NHMSYS0020442437,1,1,1950,,,
Metidiocerus elegans,NHMSYS0020705634,1,1,1950,,,
Metidiocerus rutilans,NHMSYS0020705642,1,1,1950,,,
Mocuellus (Mocuellus) collinus,NHMSYS0020705743,1,1,1950,,,
Mocydia crocea,NHMSYS0020705746,1,1,1950,,,
Mocydiopsis attenuata,NHMSYS0020705748,1,1,1950,,,
Mocydiopsis parvicauda,NHMSYS0020705749,1,1,1950,,,
Muellerianella brevipennis,NHMSYS0020705751,1,1,1950,,,
Muellerianella extrusa,NHMSYS0020705752,1,1,1950,,,
