"km100","km10","coord_system","taxon","tvk"
"SU","20 21 30 93","OSGB","Cicadetta montana","NBNSYS0000010417"
"SJ","20 21 22 23 24 25 31 32 34 35 51","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"SK","20 40 50 90 91 92 93","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"SO","19 29","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"SP","00 01 02 07 08 10 11 14 17 18 19 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 39 40 41 42 43 44 48 49 50 51 52 53 54 55 60 61 62 63 70 71 72 73 76 80 81 82 83 84 85 86 87 88 90 91 92 94 95 96 97 98 99","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"ST","83 88 91 92 94 96 97 98 99","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"SU","02 04 05 06 07 08 09 15 16 17 18 19 23 24 25 27 28 29 35 36 37 38 39 41 46 47 48 49 50 51 56 57 58 59 60 65 67 68 69 70 76 77 78 79 80 85 86 87 88 89 94 95 96 97 98 99","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"SZ","28 58 59 68 69 79 89","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"TF","00 01 02 10 11 12 13 14 20 21 22 24 30 31 32 40 41 42 50 51 60 61 62 70 71 72 73 74 80 81 82 83 84 90 91 92 93","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"TG","00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 32 33 40 41 42","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"TL","00 01 02 04 05 06 07 08 09 10 11 14 15 16 17 18 19 25 26 27 28 29 33 34 35 36 37 38 39 40 43 44 45 46 47 48 49 50 53 54 55 56 57 58 59 66 67 68 69 76 77 78 79 80 87 88 89 97 98 99","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"TM","07 08 09 17 19 28 29 38 39 47 48 49 58 59","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"TQ","00 01 04 05 06 07 08 09 11 14 15 16 17 18 19 21 24 25 26 27 28 29 35 36 37 38 39 41 45 46 47 48 49 54 55 56 57 58 59 64 65 66 67 68 69 75 76 77 78 79 85 86 88 92 93 94 95","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"TR","03 04 05 13 14 15 16 25 35","OSGB","Idiocerus herrichi","NBNSYS0000010446"
"TR","36","OSGB","Doratura impudica","NBNSYS0000010503"
"TF","64 84 94","OSGB","Doratura impudica","NBNSYS0000010503"
"NN","60 69 70 72 74 75 79 81 82 86 91 92 94 95 96","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NH","31 41 42 43 44 52 53 54 63 64 70 73 74 75 78 80 81 82 83 84 85 90 91 92 93 94 95","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NJ","01 02 03 04 05 06 11 12 13 14 15 16 23 24 25 26 27 33 34 35 36 42 43 44 45 46 54 90 92","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NK","02 03 14 15","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SN","00 01 03 04 10 11 14 20 21 30 31 40 58 59 68 69","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SO","12 13 14 19 21 24 25 26 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 62 63 64 65 66 68 69 71 72 73 74 75 76 79 81 82 83 84 85 86 87 89 92 93 94 95 96 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SP","03 04 05 06 08 09 10 14 15 16 17 18 19 20 21 22 23 25 26 27 29 30 31 32 37 38 39 40 41 47 50 51 52 60 61 62 70 71 73 80 81 82 83 84 85 86 88 90 91 92 93 94 95 96 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SR","89 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SS","09 19 38 39 42 43 44 48 49 53 54 58 59 68 69 74 75 77 78 79 84 87 88 94 96","OSGB","Arocephalus punctum","NBNSYS0000010513"
"ST","03 04 06 14 16 24 25 26 27 33 34 35 36 37 42 47 48 51 52 53 57 58 60 61 62 63 70 71 72 73 75 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SU","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SV","80 81 90","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SW","32 33 44 52 54 61 62 65 71 81","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SX","03 17 44 54 57 58 63 64 66 67 68 73 83 84 85 86 94 95 96 97","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SY","07 18 28 48 58 66 67 68 69 77 78 79 87 88 89 97 98 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SZ","07 08 09 19 28 29 38 39 47 48 49 57 58 59 68 69 79 89 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"TA","00 01 02 03 04 05 06 07 08 09 10 12 15 16 17 18 20 21 24 26 27 30 31 40 41","OSGB","Arocephalus punctum","NBNSYS0000010513"
"TF","00 01 02 04 06 07 08 09 10 11 14 15 16 17 18 19 22 23 25 26 27 28 29 33 34 35 36 37 38 41 42 43 44 45 46 47 48 49 51 52 55 56 57 58 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94","OSGB","Arocephalus punctum","NBNSYS0000010513"
"TG","00 01 02 03 04 10 11 12 13 20 21 22 23 24 30 31 32 33 40 41 42 50 51","OSGB","Arocephalus punctum","NBNSYS0000010513"
"TL","00 01 02 03 04 05 06 08 09 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 31 32 33 34 35 37 40 41 42 43 44 45 46 50 52 54 55 56 60 66 67 69 70 76 77 78 79 87 88 89 98 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"TM","03 05 07 08 09 12 13 14 17 19 23 24 25 28 29 34 35 38 39 45 46 47 48 49 57 58 59","OSGB","Arocephalus punctum","NBNSYS0000010513"
"TQ","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65 68 69 70 71 72 73 74 80 81 82 83 84 91 93","OSGB","Arocephalus punctum","NBNSYS0000010513"
"TR","01 02 12","OSGB","Arocephalus punctum","NBNSYS0000010513"
"TV","49 59 69","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SC","16 17 26 27 28 37 38 39 47 48 49","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SD","16 17 19 20 21 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SE","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26 27 28 31 32 33 34 35 36 40 41 42 43 44 45 46 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SH","12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 61 63 64 65 66 67 68 71 75 76 77 78 85 86 87 88 97 98","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NO","00 02 03 04 06 10 11 12 13 14 15 20 21 22 23 24 25 30 31 32 33 34 35 36 39 40 41 42 43 44 45 46 50 51 52 53 54 55 56 60 61 63 64 65 66 69 74 75 76 79 86 87 88 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NR","70","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NS","00 02 10 14 15 20 21 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 40 41 43 44 45 46 47 48 50 55 56 57 58 59 60 61 62 65 66 67 68 69 70 71 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NT","00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 39 40 43 44 45 46 47 48 49 53 54 56 57 58 59 67 68 69 77 84 87 95 96","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NU","05","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NW","95 96 97","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NX","03 04 05 06 07 08 09 13 14 15 16 17 18 19 24 25 26 27 28 29 30 33 34 35 36 37 38 39 40 43 44 45 46 47 48 49 54 55 56 57 58 59 64 65 66 67 68 69 74 75 76 77 78 79 86 87 88 89 96 98 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NY","07 08 09 10 11 17 19 20 21 27 28 29 30 31 38 39 40 41 42 49 50 51 59 60 61 63 64 70 71 72 73 77 80 81 82 84 90 91 92 93","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NZ","00 01 02 03 10 11 12 13 14 15 21 23 24 41 42 43 44 45 50 52 53 60 61 62 70 71 72 80 81 90 91","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SJ","06 07 08 10 11 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 47 48 49 50 51 52 53 54 55 56 59 60 61 62 63 64 66 67 68 69 71 72 73 74 75 76 77 78 79 80 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SK","00 01 02 03 04 05 06 07 08 09 10 11 14 15 16 17 18 19 20 21 22 24 25 26 27 28 29 30 31 33 34 59 67 68 69 77 79 86 87 88 89 90 91 92 93 94 96 97 98","OSGB","Arocephalus punctum","NBNSYS0000010513"
"SM","50 70 72 80 81 82 83 90 91 93","OSGB","Arocephalus punctum","NBNSYS0000010513"
"NK","02 03 14 15","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"NJ","90 92","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"SE","32 33 34 35 41 42 43 44 45 50 51 53 67 68 69 70 71 76 77 78 79 80 81 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"NO","43 44 45 53 61 63 64 65 66 74 75 76 79 86 87 88 99","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"NZ","11 12 13 17 20 21 22 23 25 26 30 31 32 33 34 35 36 37 41 42 43 44 45 46 52 53 60 61 62 70 71 72 80 81 90 91","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"SD","17 26 27 37 38 45 46 47 48 57","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"SO","66 71 72 73 74 75 76 80 81 82 83 84 85 86 87 90 91 92 93 94 95 96","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"SH","58 67 68 77 78 87 88 97 98","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"SJ","07 08 18","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"SK","05 06 07 14 15 16 17 18 25 26 27 30 31 32 35 36 37 41 42 43 44 45 46 47 48 49 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"SU","00 01 09 11 21 22 28 29 32 38 39 47 48 49 50 57 58 59 60 67 68 69 70 78 79 80 88 89 99","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"SZ","38 47 48 49 57 58 59 68 69 79 89 99","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"TA","00 01 02 03 05 06 07 08 09 10 16 17 18 26 27","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"TF","00 01 02 03 04 05 06 07 09 10 11 13 14 19 22 24 26 28 29 35 37 38 41 46","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"TL","00 01 02 08 09 16 19 28 29 40 44 45 55 56 60 66 67 70 76 77 78","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"TQ","00 04 29 39 49 59 69","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"SP","00 01 02 03 04 05 06 10 11 12 13 14 15 16 20 21 22 23 25 26 30 31 32 33 35 36 40 41 42 43 45 46 47 49 50 51 52 57 58 59 60 61 68 69 70 71 72 73 79 80 81 83 84 88 89 90 91 99","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"ST","78 79 87 88 89 90 99","OSGB","Adarrus multinotatus","NBNSYS0000010515"
"SH","45 46 48 56 57 58 67 76 77 78 87 88 97 98","OSGB","Jassargus flori","NBNSYS0000010518"
