code,taxon,tvk
3,Priocnemis coriacea,NBNSYS0000007950
3,Myrmica rubra,NBNSYS0000009343
3,Dipogon bifasciatus,NBNSYS0000009395
3,Dipogon subintermedius,NBNSYS0000009396
3,Dipogon variegatus,NBNSYS0000009397
3,Auplopus carbonarius,NBNSYS0000009398
3,Caliadurgus fasciatellus,NBNSYS0000009399
3,Cryptocheilus notatus,NBNSYS0000009400
4,Priocnemis agilis,NBNSYS0000009401
3,Priocnemis cordivalvata,NBNSYS0000009402
3,Priocnemis exaltata,NBNSYS0000009403
3,Priocnemis fennica,NBNSYS0000009404
3,Priocnemis hyalinata,NBNSYS0000009406
3,Priocnemis parvula,NBNSYS0000009407
3,Priocnemis propinqua,NBNSYS0000009408
4,Priocnemis pusilla,NBNSYS0000009409
3,Priocnemis schioedtei,NBNSYS0000009410
3,Priocnemis perturbator,NBNSYS0000009411
3,Priocnemis susterai,NBNSYS0000009412
3,Pompilus cinereus,NBNSYS0000009413
3,Agenioideus cinctellus,NBNSYS0000009414
3,Arachnospila anceps,NBNSYS0000009416
4,Arachnospila consobrina,NBNSYS0000009417
3,Arachnospila trivialis,NBNSYS0000009418
3,Arachnospila wesmaeli,NBNSYS0000009419
5,Arachnospila rufa,NBNSYS0000009422
3,Evagetes crassicornis,NBNSYS0000009424
2,Anoplius viaticus,NBNSYS0000009431
3,Aporus unicolor,NBNSYS0000009434
3,Gymnomerus laevipes,NBNSYS0000009446
3,Ancistrocerus oviventris,NBNSYS0000009451
3,Miscophus concolor,NBNSYS0000009479
3,Ectemnius sexcinctus,NBNSYS0000009512
3,Ectemnius continuus,NBNSYS0000009513
3,Psenulus pallipes,NBNSYS0000009538
3,Andrena congruens,NBNSYS0000009676
4,Sphecodes crassus,NBNSYS0000009728
4,Sphecodes miniatus,NBNSYS0000009736
3,Sphecodes rubicundus,NBNSYS0000009742
5,Dufourea minuta,NBNSYS0000009745
5,Bombus magnus,NBNSYS0000009837
3,Coelioxys conoidea,NBNSYS0000144805
3,Crossocerus varus,NBNSYS0000145291
5,Megachile ericetorum,NBNSYS0000173000
3,Andrena nitidiuscula,NBNSYS0100001525
4,Anteon exiguum,NBNSYS0100001577
4,Aphelopus querceus,NBNSYS0100001612
3,Bombus barbutellus,NBNSYS0100002024
3,Bombus bohemicus,NBNSYS0100002025
5,Bombus cryptarum,NBNSYS0100002027
2,Bombus rupestris,NBNSYS0100002028
3,Bombus vestalis,NBNSYS0100002030
2,Colletes hederae,NBNSYS0100002538
3,Didineis lunicornis,NBNSYS0100002844
3,Dryudella pinguis,NBNSYS0100002902
4,Gonatopus formicicolus,NBNSYS0100003275
3,Lasioglossum lativentre,NBNSYS0100003668
3,Lasioglossum leucopus,NBNSYS0100003669
3,Lasioglossum malachurum,NBNSYS0100003670
4,Lasius platythorax,NBNSYS0100003683
4,Lasius psammophilus,NBNSYS0100003684
5,Lasius sabularum,NBNSYS0100003685
4,Linepithema humile,NBNSYS0100003766
3,Mimesa equestris,NBNSYS0100004083
3,Mimumesa dahlbomi,NBNSYS0100004089
3,Mimumesa spooneri,NBNSYS0100004091
4,Monomorium floricola,NBNSYS0100004108
3,Nomada roberjeotiana,NBNSYS0100004273
3,Osmia caerulescens,NBNSYS0100004362
5,Passaloecus turionum,NBNSYS0100004491
5,Philoctetes truncatus,NBNSYS0100004564
4,Plastanoxus chittendenii,NBNSYS0100004759
3,Pseudomalus auratus,NBNSYS0100004922
3,Pseudomalus violaceus,NBNSYS0100004923
3,Pseudospinolia neglecta,NBNSYS0100004936
3,Smicromyrme rufipes,NBNSYS0100005540
