"start_day","start_month","end_day","end_month","stage","taxon","tvk"
1,4,31,8,"mature","Priocnemis coriacea","NBNSYS0000007950"
1,5,30,9,"mature","Dipogon bifasciatus","NBNSYS0000009395"
1,4,31,10,"mature","Dipogon subintermedius","NBNSYS0000009396"
1,5,31,10,"mature","Dipogon variegatus","NBNSYS0000009397"
1,4,31,10,"mature","Auplopus carbonarius","NBNSYS0000009398"
1,5,31,10,"mature","Caliadurgus fasciatellus","NBNSYS0000009399"
1,5,30,9,"mature","Cryptocheilus notatus","NBNSYS0000009400"
1,5,31,10,"mature","Priocnemis agilis","NBNSYS0000009401"
1,4,30,9,"mature","Priocnemis cordivalvata","NBNSYS0000009402"
1,4,31,10,"mature","Priocnemis exaltata","NBNSYS0000009403"
1,5,31,10,"mature","Priocnemis fennica","NBNSYS0000009404"
1,6,31,10,"mature","Priocnemis hyalinata","NBNSYS0000009406"
1,4,31,10,"mature","Priocnemis parvula","NBNSYS0000009407"
1,4,30,11,"mature","Priocnemis pusilla","NBNSYS0000009409"
1,4,31,10,"mature","Priocnemis schioedtei","NBNSYS0000009410"
1,3,31,8,"mature","Priocnemis perturbator","NBNSYS0000009411"
1,4,31,8,"mature","Priocnemis susterai","NBNSYS0000009412"
1,5,31,10,"mature","Pompilus cinereus","NBNSYS0000009413"
1,5,30,9,"mature","Agenioideus cinctellus","NBNSYS0000009414"
1,4,31,10,"mature","Arachnospila anceps","NBNSYS0000009416"
1,6,31,8,"mature","Arachnospila consobrina","NBNSYS0000009417"
1,4,31,10,"mature","Arachnospila trivialis","NBNSYS0000009418"
1,5,30,9,"mature","Arachnospila wesmaeli","NBNSYS0000009419"
1,6,30,9,"mature","Arachnospila rufa","NBNSYS0000009422"
1,4,31,10,"mature","Evagetes crassicornis","NBNSYS0000009424"
1,2,30,11,"mature","Anoplius viaticus","NBNSYS0000009431"
1,7,30,9,"mature","Aporus unicolor","NBNSYS0000009434"
1,1,31,8,"mature","Gymnomerus laevipes","NBNSYS0000009446"
1,4,30,11,"mature","Ancistrocerus oviventris","NBNSYS0000009451"
1,5,30,9,"mature","Miscophus concolor","NBNSYS0000009479"
1,6,30,9,"mature","Ectemnius sexcinctus","NBNSYS0000009512"
1,1,31,10,"mature","Ectemnius continuus","NBNSYS0000009513"
1,4,31,10,"mature","Psenulus pallipes","NBNSYS0000009538"
1,4,30,9,"mature","Andrena congruens","NBNSYS0000009676"
1,3,30,9,"mature","Sphecodes crassus","NBNSYS0000009728"
1,4,30,9,"mature","Sphecodes miniatus","NBNSYS0000009736"
1,4,31,7,"mature","Sphecodes rubicundus","NBNSYS0000009742"
1,6,31,8,"mature","Dufourea minuta","NBNSYS0000009745"
1,3,31,12,"mature","Bombus magnus","NBNSYS0000009837"
1,5,31,8,"mature","Coelioxys conoidea","NBNSYS0000144805"
1,6,30,9,"mature","Andrena nitidiuscula","NBNSYS0100001525"
1,6,31,8,"mature","Anteon exiguum","NBNSYS0100001577"
1,6,31,7,"mature","Aphelopus querceus","NBNSYS0100001612"
1,3,31,10,"mature","Bombus barbutellus","NBNSYS0100002024"
1,1,30,11,"mature","Bombus bohemicus","NBNSYS0100002025"
1,3,30,11,"mature","Bombus cryptarum","NBNSYS0100002027"
1,2,30,9,"mature","Bombus rupestris","NBNSYS0100002028"
1,1,30,11,"mature","Bombus vestalis","NBNSYS0100002030"
1,4,30,11,"mature","Colletes hederae","NBNSYS0100002538"
1,7,31,10,"mature","Didineis lunicornis","NBNSYS0100002844"
1,5,30,9,"mature","Dryudella pinguis","NBNSYS0100002902"
1,2,31,10,"mature","Lasioglossum lativentre","NBNSYS0100003668"
1,3,31,10,"mature","Lasioglossum leucopus","NBNSYS0100003669"
1,2,30,11,"mature","Lasioglossum malachurum","NBNSYS0100003670"
1,3,31,12,"mature","Lasius platythorax","NBNSYS0100003683"
1,4,30,9,"mature","Lasius sabularum","NBNSYS0100003685"
1,10,31,10,"mature","Linepithema humile","NBNSYS0100003766"
1,4,30,9,"mature","Mimesa equestris","NBNSYS0100004083"
1,5,31,10,"mature","Mimumesa dahlbomi","NBNSYS0100004089"
1,6,30,9,"mature","Mimumesa spooneri","NBNSYS0100004091"
1,6,31,8,"mature","Nomada roberjeotiana","NBNSYS0100004273"
1,3,30,9,"mature","Osmia caerulescens","NBNSYS0100004362"
1,5,30,9,"mature","Passaloecus turionum","NBNSYS0100004491"
1,7,31,7,"mature","Philoctetes truncatus","NBNSYS0100004564"
1,5,30,9,"mature","Pseudomalus auratus","NBNSYS0100004922"
1,5,30,9,"mature","Pseudomalus violaceus","NBNSYS0100004923"
1,4,31,8,"mature","Pseudospinolia neglecta","NBNSYS0100004936"
1,4,30,9,"mature","Smicromyrme rufipes","NBNSYS0100005540"
1,1,31,10,"mature","Sphecodes geoffrellus","NBNSYS0100005568"
1,6,31,10,"mature","Spilomena curruca","NBNSYS0100005571"
1,2,31,12,"mature","Stenamma debile","NBNSYS0100005585"
1,5,30,9,"mature","Symmorphus bifasciatus","NBNSYS0100005641"
1,5,31,7,"mature","Tachysphex unicolor sensu lato","NHMSYS0000873270"
1,3,31,12,"mature","Trypoxylon figulus sensu lato","NHMSYS0000873272"
1,6,31,8,"mature","Agenioideus sericeus","NHMSYS0000875032"
1,5,30,9,"mature","Ammophila pubescens","NHMSYS0000875038"
1,4,31,10,"mature","Ammophila sabulosa","NHMSYS0000875039"
1,5,30,6,"mature","Ancistrocerus antilope","NHMSYS0000875042"
1,3,31,10,"mature","Ancistrocerus gazella","NHMSYS0000875045"
1,1,31,10,"mature","Ancistrocerus nigricornis","NHMSYS0000875046"
1,1,31,10,"mature","Ancistrocerus parietinus","NHMSYS0000875049"
1,3,31,10,"mature","Ancistrocerus parietum","NHMSYS0000875050"
1,4,30,9,"mature","Ancistrocerus scoticus","NHMSYS0000875053"
1,4,31,10,"mature","Ancistrocerus trifasciatus","NHMSYS0000875054"
1,3,30,9,"mature","Andrena alfkenella","NHMSYS0000875157"
1,3,31,8,"mature","Andrena angustior","NHMSYS0000875161"
1,3,30,6,"mature","Andrena apicata","NHMSYS0000875162"
1,6,30,9,"mature","Andrena argentata","NHMSYS0000875164"
1,3,30,9,"mature","Andrena barbilabris","NHMSYS0000875170"
1,2,30,9,"mature","Andrena bicolor","NHMSYS0000875171"
1,2,31,8,"mature","Andrena bimaculata","NHMSYS0000875172"
1,3,30,6,"mature","Andrena bucephala","NHMSYS0000875173"
1,2,31,12,"mature","Andrena chrysosceles","NHMSYS0000875176"
1,1,31,10,"mature","Andrena cineraria","NHMSYS0000875177"
1,2,31,8,"mature","Andrena clarkella","NHMSYS0000875179"
1,4,30,9,"mature","Andrena coitana","NHMSYS0000875181"
1,6,30,9,"mature","Andrena denticulata","NHMSYS0000875192"
1,3,30,11,"mature","Andrena dorsata","NHMSYS0000875195"
1,4,31,8,"mature","Andrena falsifica","NHMSYS0000875199"
1,4,30,6,"mature","Andrena ferox","NHMSYS0000875201"
1,2,30,11,"mature","Andrena flavipes","NHMSYS0000875202"
1,4,31,8,"mature","Andrena florea","NHMSYS0000875203"
1,3,31,8,"mature","Andrena fucata","NHMSYS0000875206"
1,2,31,12,"mature","Andrena fulva","NHMSYS0000875207"
1,4,31,12,"mature","Andrena fulvago","NHMSYS0000875208"
1,4,30,11,"mature","Andrena fuscipes","NHMSYS0000875212"
1,3,30,6,"mature","Andrena gravida","NHMSYS0000875213"
1,1,30,9,"mature","Andrena haemorrhoa","NHMSYS0000875215"
1,6,30,9,"mature","Andrena hattorfiana","NHMSYS0000875216"
1,3,31,8,"mature","Andrena helvola","NHMSYS0000875217"
1,4,31,8,"mature","Andrena humilis","NHMSYS0000875218"
1,3,31,8,"mature","Andrena labialis","NHMSYS0000875221"
1,4,31,7,"mature","Andrena labiata","NHMSYS0000875222"
1,3,31,8,"mature","Andrena lapponica","NHMSYS0000875224"
1,4,31,7,"mature","Andrena lathyri","NHMSYS0000875226"
1,7,31,8,"mature","Andrena lepida","NHMSYS0000875227"
1,6,31,10,"mature","Andrena marginata","NHMSYS0000875232"
1,3,31,10,"mature","Andrena minutula","NHMSYS0000875234"
1,3,30,9,"mature","Andrena minutuloides","NHMSYS0000875235"
1,4,31,7,"mature","Andrena nana","NHMSYS0000875238"
1,6,31,8,"mature","Andrena nigriceps","NHMSYS0000875241"
1,3,30,9,"mature","Andrena nigroaenea","NHMSYS0000875243"
1,4,31,8,"mature","Andrena nigrospina","NHMSYS0000875244"
1,5,31,7,"mature","Andrena niveata","NHMSYS0000875247"
1,3,31,12,"mature","Andrena ovatula","NHMSYS0000875249"
1,4,31,12,"mature","Andrena pilipes","NHMSYS0000875254"
1,7,31,7,"mature","Andrena polita","NHMSYS0000875256"
1,3,31,7,"mature","Andrena praecox","NHMSYS0000875257"
1,4,31,8,"mature","Andrena rosae","NHMSYS0000875262"
1,3,30,6,"mature","Andrena ruficrus","NHMSYS0000875264"
1,2,30,11,"mature","Andrena scotica","NHMSYS0000875268"
1,4,30,9,"mature","Andrena semilaevis","NHMSYS0000875269"
1,3,31,7,"mature","Andrena similis","NHMSYS0000875273"
1,6,30,9,"mature","Andrena simillima","NHMSYS0000875274"
1,3,31,10,"mature","Andrena subopaca","NHMSYS0000875279"
1,3,30,9,"mature","Andrena synadelpha","NHMSYS0000875280"
1,6,30,9,"mature","Andrena tarsata","NHMSYS0000875281"
1,3,30,9,"mature","Andrena thoracica","NHMSYS0000875282"
1,3,31,7,"mature","Andrena tibialis","NHMSYS0000875283"
1,7,31,8,"mature","Andrena tridentata","NHMSYS0000875284"
1,3,31,12,"mature","Andrena trimmerana","NHMSYS0000875285"
1,4,30,4,"mature","Andrena vaga","NHMSYS0000875286"
1,3,31,7,"mature","Andrena varians","NHMSYS0000875287"
1,3,31,12,"mature","Andrena wilkella","NHMSYS0000875290"
1,4,30,9,"mature","Anergates atratulus","NHMSYS0000875294"
1,4,30,9,"mature","Anoplius caviventris","NHMSYS0000875304"
1,5,30,9,"mature","Anoplius concinnus","NHMSYS0000875305"
1,4,30,9,"mature","Anoplius infuscatus","NHMSYS0000875307"
1,4,31,10,"mature","Anoplius nigerrimus","NHMSYS0000875308"
1,5,31,7,"mature","Anteon arcuatum","NHMSYS0000875314"
1,4,30,6,"mature","Anteon brachycerum","NHMSYS0000875317"
1,6,30,9,"mature","Anteon ephippiger","NHMSYS0000875331"
1,5,31,7,"mature","Anteon flavicorne","NHMSYS0000875333"
1,5,30,9,"mature","Anteon fulviventre","NHMSYS0000875338"
1,6,31,8,"mature","Anteon gaullei","NHMSYS0000875341"
1,5,31,8,"mature","Anteon infectum","NHMSYS0000875346"
1,3,31,8,"mature","Anteon pubicorne","NHMSYS0000875365"
1,7,31,7,"mature","Anteon reticulatum","NHMSYS0000875367"
1,5,31,7,"mature","Anteon scapulare","NHMSYS0000875369"
1,5,31,8,"mature","Anteon tripartitum","NHMSYS0000875378"
1,3,30,9,"mature","Anthidium manicatum","NHMSYS0000875389"
1,5,30,9,"mature","Anthophora bimaculata","NHMSYS0000875402"
1,4,31,10,"mature","Anthophora furcata","NHMSYS0000875403"
1,1,31,8,"mature","Anthophora plumipes","NHMSYS0000875407"
1,3,30,9,"mature","Anthophora quadrimaculata","NHMSYS0000875408"
1,3,31,8,"mature","Anthophora retusa","NHMSYS0000875409"
1,5,30,9,"mature","Aphelopus atratus","NHMSYS0000875415"
1,4,30,9,"mature","Aphelopus melaleucus","NHMSYS0000875419"
1,5,30,6,"mature","Aphelopus nigriceps","NHMSYS0000875420"
1,5,31,8,"mature","Aphelopus serratus","NHMSYS0000875421"
1,1,30,11,"mature","Apis mellifera","NHMSYS0000875423"
1,5,30,9,"mature","Arachnospila minutula","NHMSYS0000875439"
1,4,30,9,"mature","Arachnospila spissa","NHMSYS0000875440"
1,5,31,8,"mature","Argogorytes fargeii","NHMSYS0000875445"
1,4,31,10,"mature","Argogorytes mystaceus","NHMSYS0000875446"
1,5,31,10,"mature","Astata boops","NHMSYS0000875449"
1,4,31,12,"mature","Bethylus boops","NHMSYS0000875457"
1,6,30,9,"mature","Bethylus dendrophilus","NHMSYS0000875459"
1,2,31,10,"mature","Bethylus fuscicornis","NHMSYS0000875461"
1,4,30,11,"mature","Bombus campestris","NHMSYS0000875546"
1,5,30,9,"mature","Bombus cullumanus","NHMSYS0000875550"
1,1,31,10,"mature","Bombus distinguendus","NHMSYS0000875554"
1,1,30,11,"mature","Bombus humilis","NHMSYS0000875563"
1,1,30,11,"mature","Bombus hypnorum","NHMSYS0000875564"
1,2,30,11,"mature","Bombus jonellus","NHMSYS0000875565"
1,3,30,9,"mature","Bombus lucorum","NHMSYS0000875570"
1,2,30,11,"mature","Bombus monticola","NHMSYS0000875571"
1,1,31,10,"mature","Bombus muscorum","NHMSYS0000875572"
1,3,31,10,"mature","Bombus ruderarius","NHMSYS0000875582"
1,2,31,10,"mature","Bombus ruderatus","NHMSYS0000875583"
1,4,31,10,"mature","Bombus soroeensis","NHMSYS0000875588"
1,3,30,11,"mature","Bombus subterraneus","NHMSYS0000875592"
1,2,31,10,"mature","Bombus sylvarum","NHMSYS0000875593"
1,2,30,11,"mature","Bombus sylvestris","NHMSYS0000875594"
1,5,30,9,"mature","Cephalonomia formiciformis","NHMSYS0000875607"
1,4,30,9,"mature","Cerceris arenaria","NHMSYS0000875625"
