code,taxon,tvk
3,Lycopodiella inundata,NBNSYS0000002001
3,Lycopodium annotinum,NBNSYS0000002002
2,Lycopodium clavatum,NBNSYS0000002003
2,Diphasiastrum alpinum,NBNSYS0000002004
2,Isoetes lacustris,NBNSYS0000002008
3,Isoetes echinospora,NBNSYS0000002009
3,Isoetes histrix,NBNSYS0000002010
3,Equisetum hyemale,NBNSYS0000002011
3,Equisetum ramosissimum,NBNSYS0000002014
2,Equisetum fluviatile,NBNSYS0000002016
2,Equisetum palustre,NBNSYS0000002018
2,Equisetum sylvaticum,NBNSYS0000002020
3,Equisetum pratense,NBNSYS0000002021
1,Equisetum arvense,NBNSYS0000002022
2,Equisetum telmateia,NBNSYS0000002025
2,Osmunda regalis,NBNSYS0000002027
4,Trichomanes speciosum,NBNSYS0000002028
3,Hymenophyllum wilsonii,NBNSYS0000002030
1,Pteridium aquilinum,NBNSYS0000002031
3,Anogramma leptophylla,NBNSYS0000002033
2,Adiantum capillus-veneris,NBNSYS0000002034
4,Onoclea sensibilis,NBNSYS0000002035
2,Blechnum spicant,NBNSYS0000002036
2,Asplenium adiantum-nigrum,NBNSYS0000002041
3,Asplenium onopteris,NBNSYS0000002042
3,Asplenium obovatum,NBNSYS0000002043
2,Asplenium marinum,NBNSYS0000002045
2,Asplenium trichomanes,NBNSYS0000002046
2,Asplenium ruta-muraria,NBNSYS0000002050
3,Asplenium septentrionale,NBNSYS0000002051
2,Athyrium filix-femina,NBNSYS0000002054
3,Athyrium distentifolium,NBNSYS0000002055
2,Cystopteris fragilis,NBNSYS0000002058
3,Cystopteris montana,NBNSYS0000002060
3,Woodsia alpina,NBNSYS0000002062
2,Dryopteris oreades,NBNSYS0000002065
3,Dryopteris aemula,NBNSYS0000002070
2,Polystichum aculeatum,NBNSYS0000002074
3,Polystichum lonchitis,NBNSYS0000002077
3,Thelypteris palustris,NBNSYS0000002081
2,Gymnocarpium dryopteris,NBNSYS0000002083
2,Gymnocarpium robertianum,NBNSYS0000002084
3,Polypodium cambricum,NBNSYS0000002086
2,Polypodium vulgare,NBNSYS0000002087
2,Polypodium interjectum,NBNSYS0000002088
3,Pilularia globulifera,NBNSYS0000002089
2,Azolla filiculoides,NBNSYS0000002090
2,Botrychium lunaria,NBNSYS0000002091
2,Ophioglossum vulgatum,NBNSYS0000002097
3,Ophioglossum lusitanicum,NBNSYS0000002098
2,Baldellia ranunculoides,NBNSYS0000002099
3,Luronium natans,NBNSYS0000002100
2,Alisma plantago-aquatica,NBNSYS0000002101
2,Alisma lanceolatum,NBNSYS0000002102
3,Alisma gramineum,NBNSYS0000002103
2,Sagittaria sagittifolia,NBNSYS0000002105
3,Sagittaria latifolia,NBNSYS0000002106
4,Sagittaria rigida,NBNSYS0000002107
2,Butomus umbellatus,NBNSYS0000002108
2,Hydrocharis morsus-ranae,NBNSYS0000002109
2,Stratiotes aloides,NBNSYS0000002110
3,Vallisneria spiralis,NBNSYS0000002118
3,Scheuchzeria palustris,NBNSYS0000002119
2,Triglochin palustre,NBNSYS0000002120
2,Potamogeton natans,NBNSYS0000002126
3,Potamogeton coloratus,NBNSYS0000002128
2,Potamogeton lucens,NBNSYS0000002130
3,Potamogeton gramineus,NBNSYS0000002131
3,Potamogeton praelongus,NBNSYS0000002133
2,Potamogeton perfoliatus,NBNSYS0000002134
4,Potamogeton epihydrus,NBNSYS0000002135
3,Potamogeton friesii,NBNSYS0000002136
3,Potamogeton rutilus,NBNSYS0000002137
3,Potamogeton pusillus,NBNSYS0000002138
3,Potamogeton berchtoldii,NBNSYS0000002140
3,Potamogeton compressus,NBNSYS0000002142
3,Potamogeton acutifolius,NBNSYS0000002143
2,Potamogeton crispus,NBNSYS0000002144
3,Potamogeton filiformis,NBNSYS0000002145
2,Potamogeton pectinatus,NBNSYS0000002146
2,Groenlandia densa,NBNSYS0000002147
2,Zannichellia palustris,NBNSYS0000002150
3,Najas marina,NBNSYS0000002153
2,Eriocaulon aquaticum,NBNSYS0000002154
3,Hemerocallis fulva,NBNSYS0000002158
3,Hemerocallis lilioasphodelus,NBNSYS0000002159
2,Convallaria majalis,NBNSYS0000002161
3,Polygonatum verticillatum,NBNSYS0000002162
3,Polygonatum multiflorum,NBNSYS0000002164
2,Ruscus aculeatus,NBNSYS0000002170
2,Lilium martagon,NBNSYS0000002171
3,Lilium pyrenaicum,NBNSYS0000002172
2,Fritillaria meleagris,NBNSYS0000002173
2,Tulipa sylvestris,NBNSYS0000002174
2,Ornithogalum nutans,NBNSYS0000002180
2,Ornithogalum pyrenaicum,NBNSYS0000002181
3,Scilla autumnalis,NBNSYS0000002183
2,Scilla siberica,NBNSYS0000002184
1,Hyacinthoides non-scripta,NBNSYS0000002185
2,Muscari neglectum,NBNSYS0000002187
2,Colchicum autumnale,NBNSYS0000002189
2,Paris quadrifolia,NBNSYS0000002190
2,Allium scorodoprasum,NBNSYS0000002194
3,Allium sphaerocephalon,NBNSYS0000002195
2,Allium vineale,NBNSYS0000002196
2,Allium oleraceum,NBNSYS0000002197
2,Allium carinatum,NBNSYS0000002198
2,Allium schoenoprasum,NBNSYS0000002199
2,Allium roseum,NBNSYS0000002200
2,Allium triquetrum,NBNSYS0000002203
2,Allium ursinum,NBNSYS0000002205
3,Nothoscordum borbonicum,NBNSYS0000002206
3,Pontederia cordata,NBNSYS0000002209
2,Juncus squarrosus,NBNSYS0000002210
2,Juncus tenuis,NBNSYS0000002211
2,Juncus compressus,NBNSYS0000002213
2,Juncus gerardii,NBNSYS0000002214
2,Juncus trifidus,NBNSYS0000002215
3,Juncus ambiguus,NBNSYS0000002218
3,Juncus foliosus,NBNSYS0000002219
2,Juncus inflexus,NBNSYS0000002220
2,Juncus effusus,NBNSYS0000002221
2,Juncus conglomeratus,NBNSYS0000002222
3,Juncus filiformis,NBNSYS0000002224
3,Juncus balticus,NBNSYS0000002225
2,Juncus maritimus,NBNSYS0000002226
2,Juncus acutus,NBNSYS0000002227
3,Juncus capitatus,NBNSYS0000002228
2,Juncus subnodulosus,NBNSYS0000002229
3,Juncus acutiflorus,NBNSYS0000002230
2,Juncus articulatus,NBNSYS0000002231
3,Juncus alpinoarticulatus,NBNSYS0000002232
2,Juncus bulbosus,NBNSYS0000002234
3,Juncus bulbosus,NBNSYS0000002234
3,Juncus biglumis,NBNSYS0000002237
3,Juncus triglumis,NBNSYS0000002238
2,Luzula pilosa,NBNSYS0000002239
2,Luzula spicata,NBNSYS0000002244
3,Luzula arcuata,NBNSYS0000002245
2,Luzula campestris,NBNSYS0000002246
2,Luzula multiflora,NBNSYS0000002247
2,Allium cepa,NBNSYS0000002249
2,Allium porrum,NBNSYS0000002250
3,Leucojum vernum,NBNSYS0000002251
2,Leucojum aestivum,NBNSYS0000002252
1,Galanthus nivalis,NBNSYS0000002253
3,Sisyrinchium bermudiana,NBNSYS0000002263
3,Iris spuria,NBNSYS0000002266
3,Iris versicolor,NBNSYS0000002267
2,Iris foetidissima,NBNSYS0000002268
2,Iris pseudacorus,NBNSYS0000002269
2,Iris germanica,NBNSYS0000002270
2,Crocus vernus,NBNSYS0000002273
3,Romulea columnae,NBNSYS0000002277
3,Gladiolus communis,NBNSYS0000002280
3,Cypripedium calceolus,NBNSYS0000002284
2,Cephalanthera longifolia,NBNSYS0000002286
2,Epipactis helleborine,NBNSYS0000002289
2,Epipactis atrorubens,NBNSYS0000002294
3,Epipogium aphyllum,NBNSYS0000002295
2,Spiranthes romanzoffiana,NBNSYS0000002298
2,Neottia nidus-avis,NBNSYS0000002301
3,Hammarbya paludosa,NBNSYS0000002303
2,Platanthera bifolia,NBNSYS0000002313
3,Neotinea maculata,NBNSYS0000002314
2,Ophrys fuciflora,NBNSYS0000002316
2,Ophrys insectifera,NBNSYS0000002318
3,Orchis militaris,NBNSYS0000002321
3,Orchis simia,NBNSYS0000002322
2,Orchis mascula,NBNSYS0000002326
2,Anacamptis pyramidalis,NBNSYS0000002347
2,Acorus calamus,NBNSYS0000002348
3,Calla palustris,NBNSYS0000002349
1,Arum maculatum,NBNSYS0000002351
2,Lemna trisulca,NBNSYS0000002357
2,Lemna minor,NBNSYS0000002358
2,Lemna gibba,NBNSYS0000002359
2,Sparganium erectum,NBNSYS0000002361
2,Sparganium emersum,NBNSYS0000002366
3,Sparganium natans,NBNSYS0000002368
2,Typha latifolia,NBNSYS0000002369
2,Typha angustifolia,NBNSYS0000002370
2,Eriophorum angustifolium,NBNSYS0000002372
2,Eriophorum latifolium,NBNSYS0000002374
2,Eriophorum vaginatum,NBNSYS0000002375
4,Trichophorum alpinum,NBNSYS0000002377
2,Bolboschoenus maritimus,NBNSYS0000002381
2,Scirpus sylvaticus,NBNSYS0000002382
3,Schoenoplectus triqueter,NBNSYS0000002384
4,Schoenoplectus pungens,NBNSYS0000002385
2,Schoenoplectus lacustris,NBNSYS0000002386
2,Eleogiton fluitans,NBNSYS0000002392
3,Eleocharis palustris subsp. vulgaris,NBNSYS0000002398
2,Cyperus longus,NBNSYS0000002403
3,Cyperus fuscus,NBNSYS0000002404
2,Schoenus nigricans,NBNSYS0000002405
3,Schoenus ferrugineus,NBNSYS0000002406
2,Rhynchospora alba,NBNSYS0000002407
2,Cladium mariscus,NBNSYS0000002409
2,Carex distans,NBNSYS0000002413
3,Carex punctata,NBNSYS0000002414
2,Carex hostiana,NBNSYS0000002415
3,Carex flava,NBNSYS0000002417
2,Carex extensa,NBNSYS0000002421
3,Carex capillaris,NBNSYS0000002423
3,Carex depauperata,NBNSYS0000002424
2,Carex pseudocyperus,NBNSYS0000002425
2,Carex rostrata,NBNSYS0000002426
2,Carex vesicaria,NBNSYS0000002427
3,Carex saxatilis,NBNSYS0000002429
2,Carex riparia,NBNSYS0000002430
2,Carex acutiformis,NBNSYS0000002431
2,Carex pallescens,NBNSYS0000002434
3,Carex filiformis,NBNSYS0000002435
2,Carex panicea,NBNSYS0000002436
3,Carex vaginata,NBNSYS0000002437
2,Carex limosa,NBNSYS0000002438
3,Carex magellanica,NBNSYS0000002439
2,Carex hirta,NBNSYS0000002442
3,Carex lasiocarpa,NBNSYS0000002443
2,Carex pilulifera,NBNSYS0000002444
3,Carex ericetorum,NBNSYS0000002445
3,Carex montana,NBNSYS0000002447
3,Carex digitata,NBNSYS0000002449
3,Carex ornithopoda,NBNSYS0000002450
4,Carex buxbaumii,NBNSYS0000002452
3,Carex atrata,NBNSYS0000002453
3,Carex atrofusca,NBNSYS0000002455
2,Carex elata,NBNSYS0000002456
2,Carex acuta,NBNSYS0000002457
2,Carex aquatilis,NBNSYS0000002458
3,Carex recta,NBNSYS0000002459
2,Carex nigra,NBNSYS0000002460
4,Carex trinervis,NBNSYS0000002461
2,Carex paniculata,NBNSYS0000002464
3,Carex diandra,NBNSYS0000002466
2,Carex otrubae,NBNSYS0000002467
3,Carex vulpina,NBNSYS0000002468
3,Carex maritima,NBNSYS0000002474
3,Carex elongata,NBNSYS0000002481
2,Carex echinata,NBNSYS0000002482
2,Carex remota,NBNSYS0000002483
4,Carex microglochin,NBNSYS0000002489
2,Carex pulicaris,NBNSYS0000002492
3,Leersia oryzoides,NBNSYS0000002496
2,Molinia caerulea,NBNSYS0000002499
2,Danthonia decumbens,NBNSYS0000002500
2,Glyceria notata,NBNSYS0000002504
3,Festuca altissima,NBNSYS0000002511
3,Festuca heterophylla,NBNSYS0000002512
2,Festuca rubra subsp. commutata,NBNSYS0000002515
3,Festuca arenaria,NBNSYS0000002516
4,Festuca longifolia,NBNSYS0000002525
1,Lolium perenne,NBNSYS0000002527
2,Lolium multiflorum,NBNSYS0000002529
3,Lolium temulentum,NBNSYS0000002530
4,Lolium remotum,NBNSYS0000002531
2,Vulpia bromoides,NBNSYS0000002533
2,Puccinellia distans,NBNSYS0000002538
3,Vulpia unilateralis,NBNSYS0000002543
2,Poa annua,NBNSYS0000002544
3,Poa infirma,NBNSYS0000002545
3,Poa bulbosa,NBNSYS0000002546
3,Poa alpina,NBNSYS0000002547
2,Poa nemoralis,NBNSYS0000002550
3,Poa glauca,NBNSYS0000002551
2,Poa compressa,NBNSYS0000002553
3,Poa angustifolia,NBNSYS0000002555
3,Poa humilis,NBNSYS0000002556
2,Poa trivialis,NBNSYS0000002557
3,Poa palustris,NBNSYS0000002558
2,Dactylis glomerata,NBNSYS0000002561
2,Cynosurus cristatus,NBNSYS0000002563
3,Cynosurus echinatus,NBNSYS0000002564
2,Briza media,NBNSYS0000002565
3,Briza minor,NBNSYS0000002566
2,Briza maxima,NBNSYS0000002567
2,Melica uniflora,NBNSYS0000002568
2,Melica nutans,NBNSYS0000002569
2,Sesleria caerulea,NBNSYS0000002570
3,Bromopsis benekenii,NBNSYS0000002573
2,Bromus hordeaceus subsp. hordeaceus,NBNSYS0000002580
3,Bromus racemosus,NBNSYS0000002585
3,Bromus arvensis,NBNSYS0000002588
3,Bromus secalinus,NBNSYS0000002589
3,Ceratochloa cathartica,NBNSYS0000002591
2,Elymus caninus,NBNSYS0000002594
2,Elytrigia juncea,NBNSYS0000002597
2,Leymus arenarius,NBNSYS0000002598
2,Hordeum murinum,NBNSYS0000002600
4,Hordeum geniculatum,NBNSYS0000002602
2,Hordeum vulgare,NBNSYS0000002604
2,Hordeum jubatum,NBNSYS0000002605
3,Koeleria vallesiana,NBNSYS0000002609
2,Avena fatua,NBNSYS0000002612
2,Avena sativa,NBNSYS0000002615
2,Holcus lanatus,NBNSYS0000002619
2,Holcus mollis,NBNSYS0000002620
2,Deschampsia flexuosa,NBNSYS0000002623
2,Aira praecox,NBNSYS0000002625
3,Aira caryophyllea,NBNSYS0000002626
2,Aira caryophyllea,NBNSYS0000002626
2,Ammophila arenaria,NBNSYS0000002629
2,Calamagrostis epigejos,NBNSYS0000002630
3,Calamagrostis stricta,NBNSYS0000002632
4,Calamagrostis scotica,NBNSYS0000002633
2,Agrostis capillaris,NBNSYS0000002638
2,Agrostis gigantea,NBNSYS0000002639
2,Agrostis stolonifera,NBNSYS0000002640
4,Agrostis scabra,NBNSYS0000002642
3,Polypogon viridis,NBNSYS0000002643
3,Apera spica-venti,NBNSYS0000002644
3,Apera interrupta,NBNSYS0000002645
3,Mibora minima,NBNSYS0000002647
3,Gastridium ventricosum,NBNSYS0000002648
2,Lagurus ovatus,NBNSYS0000002649
2,Phleum bertolonii,NBNSYS0000002650
3,Phleum alpinum,NBNSYS0000002652
2,Phleum arenarium,NBNSYS0000002654
2,Alopecurus pratensis,NBNSYS0000002656
2,Alopecurus geniculatus,NBNSYS0000002657
2,Alopecurus aequalis,NBNSYS0000002659
