"code","taxon","tvk"
1,"Porella platyphylla","NBNSYS0000022259"
4,"Preissia quadrata","NBNSYS0000022262"
4,"Scapania nemorea","NBNSYS0000022266"
1,"Bryum pallens","NBNSYS0000022271"
1,"Fontinalis antipyretica","NBNSYS0000022274"
1,"Rhytidiadelphus squarrosus","NBNSYS0000022280"
1,"Rhytidiadelphus loreus","NBNSYS0000022281"
4,"Haplomitrium hookeri","NBNSYS0000035761"
4,"Mastigophora woodsii","NBNSYS0000035762"
5,"Herbertus borealis","NBNSYS0000035766"
4,"Kurzia pauciflora","NBNSYS0000035772"
4,"Lepidozia pearsonii","NBNSYS0000035776"
5,"Bazzania pearsonii","NBNSYS0000035780"
3,"Calypogeia fissa","NBNSYS0000035781"
5,"Calypogeia integristipula","NBNSYS0000035784"
4,"Calypogeia azurea","NBNSYS0000035787"
5,"Cephalozia macrostachya","NBNSYS0000035794"
5,"Cephalozia leucantha","NBNSYS0000035797"
5,"Cephalozia loitlesbergeri","NBNSYS0000035800"
3,"Cephalozia connivens","NBNSYS0000035801"
4,"Hygrobiella laxifolia","NBNSYS0000035807"
5,"Cephaloziella rubella","NBNSYS0000035815"
4,"Cephaloziella hampeana","NBNSYS0000035816"
5,"Cephaloziella baumgartneri","NBNSYS0000035817"
4,"Cephaloziella divaricata","NBNSYS0000035818"
5,"Cephaloziella integerrima","NBNSYS0000035824"
4,"Barbilophozia lycopodioides","NBNSYS0000035834"
4,"Anastrepta orcadensis","NBNSYS0000035836"
4,"Lophozia longidens","NBNSYS0000035837"
5,"Lophozia wenzelii","NBNSYS0000035844"
5,"Anastrophyllum donnianum","NBNSYS0000035868"
5,"Anastrophyllum joergensenii","NBNSYS0000035869"
4,"Tritomaria exsecta","NBNSYS0000035870"
4,"Tritomaria exsectiformis","NBNSYS0000035871"
4,"Jungermannia pumila","NBNSYS0000035881"
5,"Jungermannia polaris","NBNSYS0000035882"
5,"Jungermannia borealis","NBNSYS0000035883"
5,"Nardia geoscyphus","NBNSYS0000035894"
4,"Nardia breidleri","NBNSYS0000035895"
5,"Marsupella profunda","NBNSYS0000035904"
5,"Gymnomitrion corallioides","NBNSYS0000035915"
5,"Scapania gymnostomophila","NBNSYS0000035923"
5,"Scapania parvifolia","NBNSYS0000035926"
