code,taxon,tvk
2,Abrothallus cetrariae,BMSSYS0000000001
5,Acarospora anomala,BMSSYS0000000050
5,Acarospora macrospora subsp. murorum,BMSSYS0000000058
2,Acarospora umbilicata f. congredians,BMSSYS0000000071
4,Agonimia gelatinosa,BMSSYS0000001190
4,Agonimia repleta,BMSSYS0000001192
1,Amandinea punctata,BMSSYS0000001357
2,Anisomeridium polypori,BMSSYS0000001474
3,Anisomeridium viridescens,BMSSYS0000001475
3,Arthonia apotheciorum,BMSSYS0000001639
4,Arthonia diploiciae,BMSSYS0000001651
3,Arthonia molendoi,BMSSYS0000001679
3,Arthonia muscigena,BMSSYS0000001680
2,Arthonia phaeophysciae,BMSSYS0000001682
5,Arthonia subfuscicola,BMSSYS0000001691
3,Arthophacopsis parmeliarum,BMSSYS0000001696
4,Arthopyrenia atractospora,BMSSYS0000001703
2,Arthrorhaphis aeruginosa,BMSSYS0000001775
3,Arthrorhaphis muddii,BMSSYS0000001778
5,Aspergillus glaucus,BMSSYS0000001955
2,Aspicilia radiosa,BMSSYS0000002006
2,Bacidia caesiovirens,BMSSYS0000002134
2,Bactrospora homalotropa,BMSSYS0000002237
4,Baeomyces carneus,BMSSYS0000002248
2,Biatora chrysantha,BMSSYS0000002351
4,Biatora efflorescens,BMSSYS0000002359
4,Biatora subduplex,BMSSYS0000002410
1,Biatoropsis usnearum,BMSSYS0000002503
2,Bilimbia sabuletorum,BMSSYS0000002547
5,Bryoria tenuis,BMSSYS0000002920
3,Buellia badia,BMSSYS0000002938
4,Buellia hyperbolica,BMSSYS0000002968
5,Buellia sequax,BMSSYS0000002985
4,Caloplaca caesiorufella,BMSSYS0000003120
1,Caloplaca chrysodeta,BMSSYS0000003127
1,Caloplaca flavocitrina,BMSSYS0000003136
3,Caloplaca phlogina,BMSSYS0000003150
3,Caloplaca pyracea,BMSSYS0000003153
1,Caloplaca xantholyta,BMSSYS0000003160
4,Catillaria gilbertii,BMSSYS0000003348
3,Cercidospora cladoniicola,BMSSYS0000003480
3,Cercidospora parva,BMSSYS0000003482
2,Cetraria aculeata,BMSSYS0000003564
2,Cetraria muricata,BMSSYS0000003585
2,Cetrariella delisei,BMSSYS0000003592
3,Cetrelia cetrarioides,BMSSYS0000003593
5,Chaenothecopsis rubescens,BMSSYS0000003616
2,Chrysothrix flavovirens,BMSSYS0000003784
4,Cladonia alpina,BMSSYS0000003886
3,Cladonia borealis,BMSSYS0000003892
2,Cladonia diversa,BMSSYS0000003914
3,Cladonia polydactyla var. umbricola,BMSSYS0000003971
4,Cladonia trassii,BMSSYS0000003990
1,Cladonia verticillata,BMSSYS0000003992
4,Cliostomum flavidulum,BMSSYS0000004205
2,Cliostomum tenerum,BMSSYS0000004206
2,Collema crispum var. crispum,BMSSYS0000004369
4,Coppinsia minutissima,BMSSYS0000004650
3,Cornutispora ciliata,BMSSYS0000004778
3,Cornutispora lichenicola,BMSSYS0000004779
3,Corticiruptor abeloneae,BMSSYS0000004784
1,Cresponea premnea,BMSSYS0000005245
3,Cyrtidula hippocastani,BMSSYS0000005502
2,Cyrtidula quercus,BMSSYS0000005503
4,Dacampia rufescentis,BMSSYS0000005577
4,Dactylospora amygdalariae,BMSSYS0000005637
4,Dactylospora australis,BMSSYS0000005639
4,Dactylospora purpurascens,BMSSYS0000005642
5,Dermatocarpon deminuens,BMSSYS0000005778
4,Didymellopsis collematum,BMSSYS0000005957
4,Didymellopsis pulposi,BMSSYS0000005958
5,Diplolaeviopsis ranula,BMSSYS0000006107
3,Elixia flexella,BMSSYS0000006326
4,Endocarpon pusillum var. pallidum,BMSSYS0000006356
3,Endococcus caudisporus,BMSSYS0000006366
3,Endococcus perpusillus,BMSSYS0000006370
