tvk,value_code,taxon
MM0001Z1ZT0011Z1,2,Nothogeophilus turki
MM0001Z1ZT0011ZZ,2,Arenophilus peregrinus
NBNSYS0000008545,1,Buddelundiella cataractae
NBNSYS0000008548,2,Metatrichoniscoides celticus
NBNSYS0000008549,2,Miktoniscus linearis
NBNSYS0000008551,1,Oritoniscus flavus
NBNSYS0000011349,1,Trachysphaera lobata
NBNSYS0000011371,1,Polydesmus testaceus
NBNSYS0000011374,1,Thalassisobates littoralis
NBNSYS0000011379,1,Nopoiulus kochii
NBNSYS0000011388,1,Enantiulus armatus
NBNSYS0000011395,1,Cylindroiulus truncorum
NBNSYS0000011406,2,Pachymerium ferrugineum
NBNSYS0000011413,1,Geophilus pusillifrater
NBNSYS0000011414,2,Geophilus proximus
NBNSYS0000011420,2,Dicellophilus carniolensis
NBNSYS0000011424,1,Hydroschendyla submarina
NBNSYS0000039488,2,Metaiulus pratensis
NHMSYS0000356222,1,Adenomeris gibbosa
NHMSYS0000356226,1,Anthogona britannica
NHMSYS0000356235,2,Chordeuma sylvestre
NHMSYS0000356277,2,Melogona voigti
NHMSYS0000356296,1,Polydesmus barberii
NHMSYS0000570600,2,Schendyla monoeci
NHMSYS0020108462,2,Anamastigona pulchella
NHMSYS0020108917,1,Eurygeophilus pinguis
NHMSYS0020302558,2,Burmoniscus meeusei
NHMSYS0020302559,2,Caecidotea communis
NHMSYS0020302560,2,Chaetophiloscia sp.
NHMSYS0020302565,2,Metatrichoniscoides leydigii
NHMSYS0020302571,2,Setaphora patiencei
NHMSYS0020302572,2,Stenophiloscia glarearum
NHMSYS0020500657,2,Cryptops doriae
NHMSYS0020500669,1,Lithobius (Lithobius) lapidicola
NHMSYS0020500674,2,Lithobius (Lithobius) peregrinus
NHMSYS0020500675,1,Lithobius (Lithobius) piceus
NHMSYS0020500677,2,Lithobius (Lithobius) tenebrosus
NHMSYS0020500687,2,Mecistocephalus guildingii
NHMSYS0020500696,1,Stenotaenia linearis
NHMSYS0020784884,2,Mecistocephalus punctifrons
NHMSYS0020784896,2,Tygarrup javanicus
NHMSYS0020977697,2,Brachyiulus lusitanus
NHMSYS0020977763,2,Siphonophoridae sp. Eden A
NHMSYS0020977769,2,Eutrichodesmus sp. Eden A
NHMSYS0020977872,2,Cryptops sp.
