code,taxon,tvk
6,Geophilus easoni,MM0001Z1ZT0011FY
6,Nothogeophilus turki,MM0001Z1ZT0011Z1
6,Arenophilus peregrinus,MM0001Z1ZT0011ZZ
1,Ligia oceanica,NBNSYS0000008542
2,Ligidium hypnorum,NBNSYS0000008543
2,Androniscus dentiger,NBNSYS0000008544
2,Buddelundiella cataractae,NBNSYS0000008545
3,Haplophthalmus danicus,NBNSYS0000008546
4,Metatrichoniscoides celticus,NBNSYS0000008548
5,Miktoniscus linearis,NBNSYS0000008549
3,Miktoniscus patiencei,NBNSYS0000008550
3,Oritoniscus flavus,NBNSYS0000008551
3,Trichoniscoides albidus,NBNSYS0000008552
4,Trichoniscus pusillus,NBNSYS0000008555
4,Cordioniscus stebbingi,NBNSYS0000008557
4,Styloniscus spinosus,NBNSYS0000008558
1,Oniscus asellus,NBNSYS0000008561
2,Philoscia muscorum,NBNSYS0000008564
3,Trichorhina tomentosa,NBNSYS0000008566
3,Armadillidium album,NBNSYS0000008567
2,Armadillidium depressum,NBNSYS0000008568
2,Armadillidium nasatum,NBNSYS0000008569
3,Armadillidium pictum,NBNSYS0000008570
3,Armadillidium pulchellum,NBNSYS0000008571
2,Armadillidium vulgare,NBNSYS0000008572
2,Cylisticus convexus,NBNSYS0000008575
3,Agabiformius lentus,NBNSYS0000008577
3,Porcellio dilatatus,NBNSYS0000008578
1,Porcellio scaber,NBNSYS0000008580
2,Porcellio spinicornis,NBNSYS0000008581
2,Porcellionides cingendus,NBNSYS0000008582
2,Porcellionides pruinosus,NBNSYS0000008583
2,Polyxenus lagurus,NBNSYS0000011347
1,Glomeris marginata,NBNSYS0000011348
3,Trachysphaera lobata,NBNSYS0000011349
3,Chordeuma proximum,NBNSYS0000011353
4,Melogona gallica,NBNSYS0000011355
4,Brachychaeteuma bagnalli,NBNSYS0000011357
4,Brachychaeteuma bradeae,NBNSYS0000011358
2,Stosatea italica,NBNSYS0000011362
2,Oxidus gracilis,NBNSYS0000011363
3,Macrosternodesmus palicola,NBNSYS0000011364
3,Prosopodesmus panporus,NBNSYS0000011366
2,Polydesmus angustus,NBNSYS0000011367
3,Polydesmus denticulatus,NBNSYS0000011368
3,Polydesmus inconstans,NBNSYS0000011370
3,Brachydesmus superus,NBNSYS0000011372
2,Nemasoma varicorne,NBNSYS0000011373
3,Thalassisobates littoralis,NBNSYS0000011374
2,Blaniulus guttulatus,NBNSYS0000011375
2,Archiboreoiulus pallidus,NBNSYS0000011376
2,Boreoiulus tenuis,NBNSYS0000011377
4,Nopoiulus kochii,NBNSYS0000011379
2,Proteroiulus fuscus,NBNSYS0000011380
4,Julus scandinavius,NBNSYS0000011381
4,Ophyiulus pilosus,NBNSYS0000011382
4,Leptoiulus belgicus,NBNSYS0000011383
4,Leptoiulus kervillei,NBNSYS0000011384
1,Ommatoiulus sabulosus,NBNSYS0000011385
3,Brachyiulus pusillus,NBNSYS0000011387
3,Enantiulus armatus,NBNSYS0000011388
2,Cylindroiulus londinensis,NBNSYS0000011390
2,Cylindroiulus vulnerarius,NBNSYS0000011391
2,Cylindroiulus punctatus,NBNSYS0000011392
4,Cylindroiulus latestriatus,NBNSYS0000011393
4,Cylindroiulus britannicus,NBNSYS0000011394
4,Cylindroiulus truncorum,NBNSYS0000011395
4,Cylindroiulus parisiorum,NBNSYS0000011396
3,Unciger foetidus,NBNSYS0000011397
3,Cryptops anomalans,NBNSYS0000011398
3,Cryptops hortensis,NBNSYS0000011399
3,Henia brevis,NBNSYS0000011401
3,Strigamia acuminata,NBNSYS0000011403
3,Strigamia crassipes,NBNSYS0000011404
3,Strigamia maritima,NBNSYS0000011405
3,Pachymerium ferrugineum,NBNSYS0000011406
3,Geophilus insculptus,NBNSYS0000011411
4,Geophilus pusillifrater,NBNSYS0000011413
4,Geophilus proximus,NBNSYS0000011414
5,Dicellophilus carniolensis,NBNSYS0000011420
3,Hydroschendyla submarina,NBNSYS0000011424
3,Schendyla nemorensis,NBNSYS0000011425
3,Scutigera coleoptrata,NBNSYS0000011447
3,Arcitalitrus dorrieni,NBNSYS0000013807
4,Trichoniscoides sarsi,NBNSYS0000033085
2,Cylindroiulus caeruleocinctus,NBNSYS0000033245
3,Metaiulus pratensis,NBNSYS0000039488
3,Geophilus gracilis,NBNSYS0000147735
3,Proasellus meridianus,NBNSYS0000186055
3,Proasellus cavaticus,NBNSYS0000188496
3,Adenomeris gibbosa,NHMSYS0000356222
3,Allajulus nitidus,NHMSYS0000356224
3,Anthogona britannica,NHMSYS0000356226
4,Choneiulus palmatus,NHMSYS0000356233
3,Chordeuma sylvestre,NHMSYS0000356235
3,Cylindroiulus salicivorus,NHMSYS0000356246
3,Geoglomeris subterranea,NHMSYS0000356252
3,Haplopodoiulus spathifer,NHMSYS0000356254
3,Ophiodesmus albonanus,NHMSYS0000356287
3,Polydesmus barberii,NHMSYS0000356296
4,Styloniscus mauritiensis,NHMSYS0000377500
3,Cryptops parisi,NHMSYS0000570555
4,Geophilus electricus,NHMSYS0000570564
3,Geophilus flavus,NHMSYS0000570565
4,Geophilus osquidatum,NHMSYS0000570570
3,Lamyctes emarginatus,NHMSYS0000570579
5,Schendyla monoeci,NHMSYS0000570600
3,Schendyla peyerimhoffi,NHMSYS0000570601
3,Halophiloscia couchii,NHMSYS0001593599
3,Trachelipus rathkii,NHMSYS0001593918
4,Trichoniscoides helveticus,NHMSYS0001593924
4,Trichoniscus provisorius,NHMSYS0001593929
3,Anamastigona pulchella,NHMSYS0020108462
3,Brachychaeteuma melanops,NHMSYS0020108466
2,Craspedosoma rawlinsii,NHMSYS0020108469
3,Cylindrodesmus hirsutus,NHMSYS0020108471
3,Melogona scutellaris,NHMSYS0020108475
1,Nanogona polydesmoides,NHMSYS0020108477
3,Paraspirobolus lucifugus,NHMSYS0020108481
3,Polydesmus coriaceus,NHMSYS0020108482
1,Polyzonium germanicum,NHMSYS0020108483
3,Poratia digitata,NHMSYS0020108484
3,Propolydesmus testaceus,NHMSYS0020108486
2,Tachypodoiulus niger,NHMSYS0020108490
3,Eurygeophilus pinguis,NHMSYS0020108917
5,Burmoniscus meeusei,NHMSYS0020302558
5,Caecidotea communis,NHMSYS0020302559
5,Chaetophiloscia sp.,NHMSYS0020302560
4,Haplophthalmus mengii,NHMSYS0020302562
4,Haplophthalmus montivagus,NHMSYS0020302563
4,Metatrichoniscoides leydigii,NHMSYS0020302565
3,Nagurus cristatus,NHMSYS0020302566
3,Nagurus nanus,NHMSYS0020302567
1,Platyarthrus hoffmannseggii,NHMSYS0020302568
3,Porcellio laevis,NHMSYS0020302569
3,Reductoniscus costulatus,NHMSYS0020302570
5,Setaphora patiencei,NHMSYS0020302571
4,Stenophiloscia glarearum,NHMSYS0020302572
1,Trichoniscus pusillus sensu lato,NHMSYS0020322386
5,Cryptops doriae,NHMSYS0020500657
2,Geophilus truncorum,NHMSYS0020500660
3,Haplophilus subterraneus,NHMSYS0020500661
2,Henia vesuviana,NHMSYS0020500663
3,Lithobius (Lithobius) borealis,NHMSYS0020500666
3,Lithobius (Lithobius) calcaratus,NHMSYS0020500667
2,Lithobius (Lithobius) forficatus,NHMSYS0020500668
4,Lithobius (Lithobius) lapidicola,NHMSYS0020500669
