start_day,start_month,start_year,end_day,end_month,end_year,taxon,tvk
1,1,1940,,,,Nothogeophilus turki,MM0001Z1ZT0011Z1
1,1,1940,,,,Arenophilus peregrinus,MM0001Z1ZT0011ZZ
1,1,1873,,,,Ligidium hypnorum,NBNSYS0000008543
1,1,1981,,,,Buddelundiella cataractae,NBNSYS0000008545
1,1,1979,,,,Metatrichoniscoides celticus,NBNSYS0000008548
1,1,1908,,,,Miktoniscus linearis,NBNSYS0000008549
1,1,1971,,,,Miktoniscus patiencei,NBNSYS0000008550
1,1,1911,,,,Trichoniscoides albidus,NBNSYS0000008552
1,1,1907,,,,Cordioniscus stebbingi,NBNSYS0000008557
1,1,1907,,,,Styloniscus spinosus,NBNSYS0000008558
1,1,1906,,,,Armadillidium album,NBNSYS0000008567
1,1,1917,,,,Armadillidium pictum,NBNSYS0000008570
1,1,1814,,,,Polyxenus lagurus,NBNSYS0000011347
1,1,1814,,,,Glomeris marginata,NBNSYS0000011348
1,6,1984,,,,Trachysphaera lobata,NBNSYS0000011349
1,1,1964,,,,Chordeuma proximum,NBNSYS0000011353
1,1,1957,,,,Melogona gallica,NBNSYS0000011355
1,1,1911,,,,Brachychaeteuma bagnalli,NBNSYS0000011357
1,1,1917,,,,Brachychaeteuma bradeae,NBNSYS0000011358
1,1,1922,,,,Stosatea italica,NBNSYS0000011362
1,1,1902,,,,Oxidus gracilis,NBNSYS0000011363
1,1,1912,,,,Macrosternodesmus palicola,NBNSYS0000011364
1,3,1975,,,,Prosopodesmus panporus,NBNSYS0000011366
1,1,1814,,,,Polydesmus angustus,NBNSYS0000011367
1,1,1901,,,,Polydesmus denticulatus,NBNSYS0000011368
1,1,1906,,,,Polydesmus inconstans,NBNSYS0000011370
1,1,1901,,,,Brachydesmus superus,NBNSYS0000011372
1,1,1912,,,,Nemasoma varicorne,NBNSYS0000011373
1,1,1916,,,,Thalassisobates littoralis,NBNSYS0000011374
1,1,1814,,,,Blaniulus guttulatus,NBNSYS0000011375
1,1,1920,,,,Archiboreoiulus pallidus,NBNSYS0000011376
1,1,1918,,,,Boreoiulus tenuis,NBNSYS0000011377
1,4,1988,,,,Nopoiulus kochii,NBNSYS0000011379
1,1,1901,,,,Proteroiulus fuscus,NBNSYS0000011380
1,1,1814,,,,Julus scandinavius,NBNSYS0000011381
1,1,1942,,,,Ophyiulus pilosus,NBNSYS0000011382
1,1,1922,,,,Leptoiulus belgicus,NBNSYS0000011383
27,1,1934,,,,Leptoiulus kervillei,NBNSYS0000011384
1,1,1814,,,,Ommatoiulus sabulosus,NBNSYS0000011385
1,1,1815,,,,Brachyiulus pusillus,NBNSYS0000011387
1,1,1972,,,,Enantiulus armatus,NBNSYS0000011388
1,1,1815,,,,Cylindroiulus londinensis,NBNSYS0000011390
1,1,1975,,,,Cylindroiulus vulnerarius,NBNSYS0000011391
1,1,1815,,,,Cylindroiulus punctatus,NBNSYS0000011392
1,1,1845,,,,Cylindroiulus latestriatus,NBNSYS0000011393
1,1,1906,,,,Cylindroiulus britannicus,NBNSYS0000011394
1,1,1957,,,,Cylindroiulus truncorum,NBNSYS0000011395
1,1,1918,,,,Cylindroiulus parisiorum,NBNSYS0000011396
27,4,1983,,,,Unciger foetidus,NBNSYS0000011397
1,1,1960,,,,Pachymerium ferrugineum,NBNSYS0000011406
1,1,1961,,,,Geophilus pusillifrater,NBNSYS0000011413
1,8,1974,,,,Geophilus proximus,NBNSYS0000011414
1,1,1913,,,,Dicellophilus carniolensis,NBNSYS0000011420
1,1,1907,,,,Scutigera coleoptrata,NBNSYS0000011447
31,12,1899,,,,Cylindroiulus caeruleocinctus,NBNSYS0000033245
1,6,1939,,,,Metaiulus pratensis,NBNSYS0000039488
1,1,1961,,,,Geophilus gracilis,NBNSYS0000147735
1,1,1925,,,,Proasellus cavaticus,NBNSYS0000188496
16,4,2004,,,,Adenomeris gibbosa,NHMSYS0000356222
1,1,1917,,,,Allajulus nitidus,NHMSYS0000356224
18,10,1983,,,,Anthogona britannica,NHMSYS0000356226
1,1,1912,,,,Choneiulus palmatus,NHMSYS0000356233
1,1,1972,,,,Chordeuma sylvestre,NHMSYS0000356235
2,11,1987,,,,Cylindroiulus salicivorus,NHMSYS0000356246
1,1,1957,,,,Geoglomeris subterranea,NHMSYS0000356252
30,3,1976,,,,Haplopodoiulus spathifer,NHMSYS0000356254
1,1,1918,,,,Ophiodesmus albonanus,NHMSYS0000356287
24,2,1995,,,,Polydesmus barberii,NHMSYS0000356296
7,8,1986,,,,Styloniscus mauritiensis,NHMSYS0000377500
1,10,1943,,,,Schendyla monoeci,NHMSYS0000570600
1,1,1946,,,,Schendyla peyerimhoffi,NHMSYS0000570601
1,1,1858,,,,Halophiloscia couchii,NHMSYS0001593599
1,12,2011,,,,Anamastigona pulchella,NHMSYS0020108462
1,1,1918,,,,Brachychaeteuma melanops,NHMSYS0020108466
1,1,1814,,,,Craspedosoma rawlinsii,NHMSYS0020108469
1,1,1986,,,,Cylindrodesmus hirsutus,NHMSYS0020108471
1,1,1916,,,,Melogona scutellaris,NHMSYS0020108475
1,1,1814,,,,Nanogona polydesmoides,NHMSYS0020108477
11,5,2005,,,,Paraspirobolus lucifugus,NHMSYS0020108481
1,1,1903,,,,Polydesmus coriaceus,NHMSYS0020108482
1,1,1920,,,,Polyzonium germanicum,NHMSYS0020108483
21,4,1985,,,,Poratia digitata,NHMSYS0020108484
1,1,1903,,,,Propolydesmus testaceus,NHMSYS0020108486
