code,taxon,tvk
3,Derbesia marina,JNCCMNCR00000752
3,Chaetomorpha litorea,NHMSYS0000377547
4,Cystoseira humilis subsp. myriophylloides,NHMSYS0000377563
1,Erythrotrichia investiens,NHMSYS0000377572
1,Myrionema orbiculare,NHMSYS0000377591
4,Rhodochorton concrescens,NHMSYS0000377609
3,Rhodochorton membranaceum,NHMSYS0000377610
3,Ulvaria fusca,NHMSYS0000377624
3,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
1,Acrochaetium nemalii,NHMSYS0000567745
4,Codium fragile subsp. atlanticum,NHMSYS0000567898
1,Cruoria cruoriaeformis,NHMSYS0000567922
4,Polysiphonia ceramiaeformis,NHMSYS0000568104
4,Porphyra amplissima,NHMSYS0000568111
3,Porphyra dioica,NHMSYS0000568112
1,Feldmannia lebelii,NHMSYS0000568157
4,Gelidium maggsiae,NHMSYS0000568172
4,Pterothamnion polyacanthum,NHMSYS0000568267
4,Streblonema helophorum,NHMSYS0000568355
7,Titanoderma laminariae,NHMSYS0000568373
4,Pseudendoclonium marinum nom. illeg.,NHMSYS0000568401
4,Chlorochytrium facciolae,NHMSYS0000600706
3,Cladophora glomerata,NHMSYS0000600860
1,Porphyridium aerugineum,NHMSYS0000605692
3,Cutleria multifida,NHMSYS0021058368
4,Zanardinia typus,NHMSYS0021058370
3,Arthrocladia villosa,NHMSYS0021058374
4,Desmarestia dudresnayi,NHMSYS0021058379
3,Desmarestia viridis,NHMSYS0021058382
3,Dictyota spiralis,NHMSYS0021058389
4,Padina pavonica,NHMSYS0021058395
3,Taonia atomaria,NHMSYS0021058399
4,Choristocarpus tenellus,NHMSYS0021058401
1,Acinetospora crinita,NHMSYS0021058405
1,Feldmannia irregularis,NHMSYS0021058409
1,Feldmannia mitchelliae,NHMSYS0021058411
1,Feldmannia padinae,NHMSYS0021058413
1,Feldmannia paradoxa,NHMSYS0021058414
1,Feldmannia simplex,NHMSYS0021058415
4,Herponema solitarium,NHMSYS0021058418
4,Herponema valiantei,NHMSYS0021058419
4,Herponema velutinum,NHMSYS0021058420
4,Hincksia fenestrata,NHMSYS0021058422
1,Hincksia granulosa,NHMSYS0021058423
