code,taxon,tvk
3,Derbesia marina,JNCCMNCR00000752
5,Acrochaetium chylocladiae,NHMSYS0000377516
5,Chaetomorpha litorea,NHMSYS0000377547
6,Cladostephus spongiosus f. verticillatus,NHMSYS0000377550
4,Cystoseira humilis subsp. myriophylloides,NHMSYS0000377563
5,Erythrotrichia investiens,NHMSYS0000377572
5,Myrionema orbiculare,NHMSYS0000377591
5,Rhodochorton concrescens,NHMSYS0000377609
5,Rhodochorton membranaceum,NHMSYS0000377610
6,Ulvaria fusca,NHMSYS0000377624
2,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
5,Acrochaetium efflorescens,NHMSYS0000567741
5,Acrochaetium nemalii,NHMSYS0000567745
5,Codium fragile subsp. atlanticum,NHMSYS0000567898
4,Cruoria cruoriaeformis,NHMSYS0000567922
5,Polysiphonia ceramiaeformis,NHMSYS0000568104
4,Porphyra amplissima,NHMSYS0000568111
4,Porphyra dioica,NHMSYS0000568112
5,Feldmannia lebelii,NHMSYS0000568157
5,Gelidium maggsiae,NHMSYS0000568172
5,Pterothamnion polyacanthum,NHMSYS0000568267
5,Streblonema helophorum,NHMSYS0000568355
4,Titanoderma laminariae,NHMSYS0000568373
5,Pseudendoclonium marinum nom. illeg.,NHMSYS0000568401
5,Chlorochytrium facciolae,NHMSYS0000600706
5,Cladophora glomerata,NHMSYS0000600860
5,Porphyridium aerugineum,NHMSYS0000605692
5,Stichococcus bacillaris,NHMSYS0000606907
5,Codium fragile subsp. fragile,NHMSYS0020954908
2,Cutleria multifida,NHMSYS0021058368
2,Zanardinia typus,NHMSYS0021058370
4,Arthrocladia villosa,NHMSYS0021058374
2,Desmarestia aculeata,NHMSYS0021058378
3,Desmarestia dudresnayi,NHMSYS0021058379
1,Desmarestia ligulata,NHMSYS0021058381
4,Desmarestia viridis,NHMSYS0021058382
1,Dictyota dichotoma,NHMSYS0021058387
1,Dictyota spiralis,NHMSYS0021058389
1,Dictyopteris polypodioides,NHMSYS0021058392
1,Padina pavonica,NHMSYS0021058395
2,Taonia atomaria,NHMSYS0021058399
5,Choristocarpus tenellus,NHMSYS0021058401
5,Acinetospora crinita,NHMSYS0021058405
5,Feldmannia irregularis,NHMSYS0021058409
5,Feldmannia mitchelliae,NHMSYS0021058411
4,Feldmannia padinae,NHMSYS0021058413
5,Feldmannia paradoxa,NHMSYS0021058414
5,Feldmannia simplex,NHMSYS0021058415
5,Herponema solitarium,NHMSYS0021058418
5,Herponema valiantei,NHMSYS0021058419
3,Herponema velutinum,NHMSYS0021058420
5,Hincksia fenestrata,NHMSYS0021058422
4,Hincksia granulosa,NHMSYS0021058423
5,Hincksia hincksiae,NHMSYS0021058425
5,Hincksia ovata,NHMSYS0021058426
5,Hincksia sandriana,NHMSYS0021058427
5,Hincksia secunda,NHMSYS0021058428
5,Kuetzingiella battersii,NHMSYS0021058429
5,Kuetzingiella holmesii,NHMSYS0021058430
5,Pogotrichum filiforme,NHMSYS0021058431
4,Pylaiella littoralis,NHMSYS0021058435
5,Acrothrix gracilis,NHMSYS0021058440
2,Asperococcus bullosus,NHMSYS0021058446
4,Asperococcus fistulosus,NHMSYS0021058449
5,Asperococcus scaber,NHMSYS0021058452
5,Botrytella micromora,NHMSYS0021058454
5,Buffhamia speciosa,NHMSYS0021058458
5,Chilionema hispanicum,NHMSYS0021058460
5,Chilionema ocellatum,NHMSYS0021058462
3,Chordaria flagelliformis,NHMSYS0021058464
5,Cladosiphon contortus,NHMSYS0021058467
5,Cladosiphon zosterae,NHMSYS0021058468
4,Corynophlaea crispa,NHMSYS0021058474
5,Corynophlaea umbellata,NHMSYS0021058475
5,Cylindrocarpus microscopicus,NHMSYS0021058477
5,Dictyosiphon chordaria,NHMSYS0021058480
5,Dictyosiphon ekmanii,NHMSYS0021058481
3,Dictyosiphon foeniculaceus,NHMSYS0021058482
3,Elachista flaccida,NHMSYS0021058484
3,Elachista fucicola,NHMSYS0021058485
2,Elachista scutulata,NHMSYS0021058489
5,Elachista stellaris,NHMSYS0021058490
3,Eudesme virescens,NHMSYS0021058492
5,Giraudia sphacelarioides,NHMSYS0021058493
5,Halothrix lumbricalis,NHMSYS0021058497
5,Hecatonema terminale,NHMSYS0021058500
4,Isthmoplea sphaerophora,NHMSYS0021058503
5,Laminariocolax aecidioides,NHMSYS0021058504
5,Laminariocolax tomentosoides,NHMSYS0021058506
2,Leathesia marina,NHMSYS0021058510
5,Leblondiella densa,NHMSYS0021058513
5,Leptonematella fasciculata,NHMSYS0021058515
3,Litosiphon laminariae,NHMSYS0021058518
4,Mesogloia lanosa,NHMSYS0021058521
5,Mesogloia vermiculata,NHMSYS0021058522
4,Mesogloia vermiculata,NHMSYS0021058522
5,Microcoryne ocellata,NHMSYS0021058523
5,Microspongium globosum,NHMSYS0021058524
5,Microspongium immersum,NHMSYS0021058526
5,Microspongium stilophorae,NHMSYS0021058527
5,Mikrosyphar polysiphoniae,NHMSYS0021058532
5,Mikrosyphar porphyrae,NHMSYS0021058533
4,Myriactula areschougii,NHMSYS0021058537
4,Myriactula chordae,NHMSYS0021058538
4,Myriactula clandestina,NHMSYS0021058539
4,Myriactula haydenii,NHMSYS0021058540
4,Myriactula rivulariae,NHMSYS0021058541
5,Myriactula stellulata,NHMSYS0021058542
5,Myriocladia lovenii,NHMSYS0021058545
5,Myriocladia tomentosa,NHMSYS0021058546
