km100,km10,coord_system,taxon,tvk
HU,25 34 36 37 39 44,OSGB,Derbesia marina,JNCCMNCR00000752
HY,21 30 33 41 43 51 53 74,OSGB,Derbesia marina,JNCCMNCR00000752
NB,00 01 13 20 21 42,OSGB,Derbesia marina,JNCCMNCR00000752
NF,09 73 74 84 85 86 87,OSGB,Derbesia marina,JNCCMNCR00000752
NG,24 31 72 88,OSGB,Derbesia marina,JNCCMNCR00000752
NH,66,OSGB,Derbesia marina,JNCCMNCR00000752
NC,35,OSGB,Derbesia marina,JNCCMNCR00000752
NX,08,OSGB,Derbesia marina,JNCCMNCR00000752
SH,12 13 32 57,OSGB,Derbesia marina,JNCCMNCR00000752
SM,70,OSGB,Derbesia marina,JNCCMNCR00000752
SS,14,OSGB,Derbesia marina,JNCCMNCR00000752
SV,80 91,OSGB,Derbesia marina,JNCCMNCR00000752
SW,52 83,OSGB,Derbesia marina,JNCCMNCR00000752
SX,73,OSGB,Derbesia marina,JNCCMNCR00000752
SY,48 87 88 97,OSGB,Derbesia marina,JNCCMNCR00000752
NM,35 42 66 78,OSGB,Derbesia marina,JNCCMNCR00000752
NN,11,OSGB,Derbesia marina,JNCCMNCR00000752
NR,24 46 47 78,OSGB,Derbesia marina,JNCCMNCR00000752
NS,98,OSGB,Derbesia marina,JNCCMNCR00000752
NU,23,OSGB,Derbesia marina,JNCCMNCR00000752
TV,09,OSGB,Derbesia marina,JNCCMNCR00000752
SZ,99,OSGB,Derbesia marina,JNCCMNCR00000752
TQ,30,OSGB,Derbesia marina,JNCCMNCR00000752
TV,49,OSGB,Acrochaetium chylocladiae,NHMSYS0000377516
HY,21,OSGB,Chaetomorpha litorea,NHMSYS0000377547
NO,51,OSGB,Chaetomorpha litorea,NHMSYS0000377547
SY,08,OSGB,Chaetomorpha litorea,NHMSYS0000377547
SZ,39,OSGB,Chaetomorpha litorea,NHMSYS0000377547
TF,94,OSGB,Chaetomorpha litorea,NHMSYS0000377547
SM,80,OSGB,Chaetomorpha litorea,NHMSYS0000377547
SR,89 99,OSGB,Chaetomorpha litorea,NHMSYS0000377547
NS,15,OSGB,Chaetomorpha litorea,NHMSYS0000377547
NZ,35,OSGB,Chaetomorpha litorea,NHMSYS0000377547
SS,19 49,OSGB,Chaetomorpha litorea,NHMSYS0000377547
SW,42,OSGB,Cladostephus spongiosus f. verticillatus,NHMSYS0000377550
SZ,07,OSGB,Cladostephus spongiosus f. verticillatus,NHMSYS0000377550
SW,72,OSGB,Cystoseira humilis subsp. myriophylloides,NHMSYS0000377563
SX,64 73,OSGB,Cystoseira humilis subsp. myriophylloides,NHMSYS0000377563
SV,90,OSGB,Cystoseira humilis subsp. myriophylloides,NHMSYS0000377563
NM,55,OSGB,Erythrotrichia investiens,NHMSYS0000377572
NX,07 44,OSGB,Erythrotrichia investiens,NHMSYS0000377572
SJ,18,OSGB,Erythrotrichia investiens,NHMSYS0000377572
NO,51,OSGB,Myrionema orbiculare,NHMSYS0000377591
NS,15,OSGB,Myrionema orbiculare,NHMSYS0000377591
NT,68,OSGB,Myrionema orbiculare,NHMSYS0000377591
SV,80 81 91,OSGB,Myrionema orbiculare,NHMSYS0000377591
NM,83,OSGB,Rhodochorton concrescens,NHMSYS0000377609
NR,39 78,OSGB,Rhodochorton concrescens,NHMSYS0000377609
SZ,08,OSGB,Rhodochorton concrescens,NHMSYS0000377609
NO,51,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
NR,24 25 39 46 47 69 79,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
NL,93,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
NM,04 05 14 15 26 29 33 38 39 47 48 71 83,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
NU,23,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
NZ,71,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
NS,15,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
NT,67 96,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
HU,33 34 44 46 56,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
NB,22 54,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
ND,48,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
SV,91,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
TA,08,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
TF,74 84,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
TQ,30,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
SS,14 48 58,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
SD,66,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
SH,12 22,OSGB,Rhodochorton membranaceum,NHMSYS0000377610
NM,17 25 35 40 41 46 48 49 54 56 57 65 67 68 69 70 71 77 78 81 83 84 85 95,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NN,07,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NC,00 02 03 13 14 15 23 25 45 46 76 80 90 91,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
ND,07 35 36 37 48 59,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NF,19 66 71 72 73 75 77 82 84 96 98,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NG,15 19 23 24 35 37 45 50 51 53 61 65 72 77 81 82 85 88 89,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NH,19 64 74 87 88 89 98,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NJ,06 16 17 36 76 90 96,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NK,14,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SJ,18,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SM,70 71 72 73 80 81 82 93,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NO,40 42 51 53 65 76 86 87 88,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NR,15 24 25 26 27 34 36 37 38 39 45 47 56 58 59 62 64 65 67 68 75 76 77 78 79 82 83 84 86 92 94 95 96 97 98,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NS,00 05 06 07 08 10 14 15 16 21 29 37,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NT,17 28 29 39 47 49 58 67 68 69 77 95 96,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NU,04 05 06 13 14 21 22 23,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NW,95 97,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NX,03 04 06 07 08 09 13 18 33 43 44 54 55 64 74 91 95,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NZ,29 37 38 39 90,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SC,16 17 26 28 37,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SD,26 46,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SH,12 13 22 23 24 27 32 34 36 41 43 46 51 68,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
HT,93 94,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
HU,15 27 32 33 34 35 36 37 42 43 44 47 54 56 59,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
HW,83,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
HY,10 21 22 32 33 43 51 74,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
HZ,27,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
,00 10 92,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
NB,13 32 42 43 53 54,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SS,09 14 19 32 38 43 48 49 54 58 68 87,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SU,60 70 80 90,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SV,80 81 90 91,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SW,32 33 42 43 44 52 53 54 61 62 64 71 72 73 75 76 81 82 83 87 94 97,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SX,04 05 08 15 19 25 35 36 44 45 54 63 64 73 83 84 85 86 94 95 96 97,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SY,07 08 09 18 28 39 49 66 67 68 77 78 87 88 97,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SZ,07 08 39 69 79 89 99,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
TA,18,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
TM,59,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
TQ,30 40,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
TR,06 23 26 34 36 37 47,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SN,03 04 10 14 25 35 48,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
SR,99,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
TV,49,OSGB,Scytosiphon lomentaria nom. cons.,NHMSYS0000567730
HU,37,OSGB,Acrochaetium nemalii,NHMSYS0000567745
HP,50,OSGB,Cruoria cruoriaeformis,NHMSYS0000567922
HU,44 53 54,OSGB,Cruoria cruoriaeformis,NHMSYS0000567922
HZ,27,OSGB,Cruoria cruoriaeformis,NHMSYS0000567922
NG,72 82,OSGB,Cruoria cruoriaeformis,NHMSYS0000567922
SW,83,OSGB,Cruoria cruoriaeformis,NHMSYS0000567922
NM,78,OSGB,Cruoria cruoriaeformis,NHMSYS0000567922
SH,12 32,OSGB,Cruoria cruoriaeformis,NHMSYS0000567922
SV,80,OSGB,Cruoria cruoriaeformis,NHMSYS0000567922
SY,97,OSGB,Polysiphonia ceramiaeformis,NHMSYS0000568104
NT,96,OSGB,Porphyra amplissima,NHMSYS0000568111
NU,06,OSGB,Porphyra amplissima,NHMSYS0000568111
HY,20 31 51,OSGB,Porphyra amplissima,NHMSYS0000568111
NG,23 25,OSGB,Porphyra amplissima,NHMSYS0000568111
NL,58 94,OSGB,Porphyra amplissima,NHMSYS0000568111
NM,04 15 22 23 26 35 42 43 45 46 47 52 54 55 56 66 67 72 73 74 77 78 82 83 89 94,OSGB,Porphyra amplissima,NHMSYS0000568111
NN,07,OSGB,Porphyra amplissima,NHMSYS0000568111
NR,24 38 47 58 59 68 69 71 78 79,OSGB,Porphyra amplissima,NHMSYS0000568111
NS,07 14 15,OSGB,Porphyra amplissima,NHMSYS0000568111
HT,93,OSGB,Porphyra amplissima,NHMSYS0000568111
HU,15 16 27 32 34 36 44 47,OSGB,Porphyra amplissima,NHMSYS0000568111
ND,48,OSGB,Porphyra amplissima,NHMSYS0000568111
,00 10,OSGB,Porphyra amplissima,NHMSYS0000568111
NB,20,OSGB,Porphyra amplissima,NHMSYS0000568111
NC,14 15 25,OSGB,Porphyra amplissima,NHMSYS0000568111
NF,81 82 96,OSGB,Porphyra amplissima,NHMSYS0000568111
HU,44,OSGB,Porphyra dioica,NHMSYS0000568112
SN,25 58,OSGB,Porphyra dioica,NHMSYS0000568112
SR,99,OSGB,Porphyra dioica,NHMSYS0000568112
SS,09 48 58 74 87,OSGB,Porphyra dioica,NHMSYS0000568112
ST,14,OSGB,Porphyra dioica,NHMSYS0000568112
SW,97,OSGB,Porphyra dioica,NHMSYS0000568112
SX,45 54,OSGB,Porphyra dioica,NHMSYS0000568112
SY,18,OSGB,Porphyra dioica,NHMSYS0000568112
SZ,57 79,OSGB,Porphyra dioica,NHMSYS0000568112
NK,03,OSGB,Porphyra dioica,NHMSYS0000568112
NM,71,OSGB,Porphyra dioica,NHMSYS0000568112
NO,51 76,OSGB,Porphyra dioica,NHMSYS0000568112
SH,37,OSGB,Porphyra dioica,NHMSYS0000568112
SM,80,OSGB,Porphyra dioica,NHMSYS0000568112
TR,07,OSGB,Porphyra dioica,NHMSYS0000568112
TA,08,OSGB,Porphyra dioica,NHMSYS0000568112
TG,14 24,OSGB,Porphyra dioica,NHMSYS0000568112
TQ,30,OSGB,Porphyra dioica,NHMSYS0000568112
SM,90,OSGB,Pterothamnion polyacanthum,NHMSYS0000568267
SX,45,OSGB,Pterothamnion polyacanthum,NHMSYS0000568267
HU,37,OSGB,Titanoderma laminariae,NHMSYS0000568373
SS,85,OSGB,Titanoderma laminariae,NHMSYS0000568373
SW,83,OSGB,Titanoderma laminariae,NHMSYS0000568373
SX,84,OSGB,Titanoderma laminariae,NHMSYS0000568373
SY,88,OSGB,Titanoderma laminariae,NHMSYS0000568373
SZ,69,OSGB,Titanoderma laminariae,NHMSYS0000568373
HY,41 42 63,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
ND,59,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
NF,70 71 73 75 85,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
NM,35 71 82 83,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
NC,13,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
NW,97,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
NX,54,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
SC,26,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
SH,33,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
SU,80,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
SV,80 81 91,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
SW,32 62 71 72 81 82,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
NR,46 78,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
NT,96,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
NU,06,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
TQ,30,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
SX,04 19 73,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
SY,08 67 68 78 87 88 97,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
SZ,07 08 68 69 89 99,OSGB,Codium fragile subsp. fragile,NHMSYS0020954908
HT,93 94,OSGB,Cutleria multifida,NHMSYS0021058368
HU,15 16 24 25 28 32 34 36 37 42 43 44 48 53 54 55 56 67,OSGB,Cutleria multifida,NHMSYS0021058368
HY,30 40 41 63,OSGB,Cutleria multifida,NHMSYS0021058368
HZ,16 27,OSGB,Cutleria multifida,NHMSYS0021058368
NB,01 10 11 20 21 42 90,OSGB,Cutleria multifida,NHMSYS0021058368
NC,14 15 23 25 45 46,OSGB,Cutleria multifida,NHMSYS0021058368
ND,29 39 48 49,OSGB,Cutleria multifida,NHMSYS0021058368
NF,09 19 70 72 82 96,OSGB,Cutleria multifida,NHMSYS0021058368
HP,62,OSGB,Cutleria multifida,NHMSYS0021058368
NO,60,OSGB,Cutleria multifida,NHMSYS0021058368
NR,39 58 67 75 76 77 78 79 95 97 98,OSGB,Cutleria multifida,NHMSYS0021058368
NS,00 07 09 15,OSGB,Cutleria multifida,NHMSYS0021058368
NT,67 68 69 77 86 95 96,OSGB,Cutleria multifida,NHMSYS0021058368
NU,04 05,OSGB,Cutleria multifida,NHMSYS0021058368
NX,07,OSGB,Cutleria multifida,NHMSYS0021058368
