code,taxon,tvk
1,Podiceps cristatus,NBNSYS0000000001
1,Tachybaptus ruficollis,NBNSYS0000000002
1,Fulmarus glacialis,NBNSYS0000000003
2,Phalacrocorax carbo,NBNSYS0000000004
1,Ardea cinerea,NBNSYS0000000006
1,Anas platyrhynchos,NBNSYS0000000007
1,Tadorna tadorna,NBNSYS0000000008
1,Branta canadensis,NBNSYS0000000009
1,Cygnus olor,NBNSYS0000000010
2,Fratercula arctica,NBNSYS0000000013
2,Puffinus puffinus,NBNSYS0000000014
1,Gallinula chloropus,NBNSYS0000000024
1,Fulica atra,NBNSYS0000000025
1,Haematopus ostralegus,NBNSYS0000000026
1,Vanellus vanellus,NBNSYS0000000027
2,Charadrius hiaticula,NBNSYS0000000028
2,Pluvialis apricaria,NBNSYS0000000029
2,Gallinago gallinago,NBNSYS0000000030
1,Scolopax rusticola,NBNSYS0000000031
2,Numenius arquata,NBNSYS0000000032
2,Tringa totanus,NBNSYS0000000034
2,Calidris alpina,NBNSYS0000000035
2,Larus marinus,NBNSYS0000000036
2,Larus fuscus,NBNSYS0000000037
2,Larus argentatus,NBNSYS0000000038
1,Rissa tridactyla,NBNSYS0000000039
3,Alca torda,NBNSYS0000000040
3,Uria aalge,NBNSYS0000000041
2,Mergus merganser,NBNSYS0000000128
1,Anas crecca,NBNSYS0000000131
1,Aythya ferina,NBNSYS0000000137
3,Sterna hirundo,NBNSYS0000000138
1,Aythya fuligula,NBNSYS0000000139
2,Pluvialis squatarola,NBNSYS0000000141
1,Arenaria interpres,NBNSYS0000000142
2,Lymnocryptes minimus,NBNSYS0000000143
2,Numenius phaeopus,NBNSYS0000000144
2,Limosa limosa,NBNSYS0000000145
2,Limosa lapponica,NBNSYS0000000146
2,Tringa ochropus,NBNSYS0000000147
3,Tringa glareola,NBNSYS0000000148
2,Tringa erythropus,NBNSYS0000000149
2,Tringa nebularia,NBNSYS0000000150
2,Calidris canutus,NBNSYS0000000151
2,Calidris alba,NBNSYS0000000152
1,Recurvirostra avosetta,NBNSYS0000000154
4,Calidris bairdii,NBNSYS0000000155
3,Charadrius alexandrinus,NBNSYS0000000159
3,Limnodromus scolopaceus,NBNSYS0000000161
2,Charadrius dubius,NBNSYS0000000162
3,Calidris minuta,NBNSYS0000000163
4,Tringa flavipes,NBNSYS0000000164
2,Phalaropus fulicarius,NBNSYS0000000165
3,Calidris melanotos,NBNSYS0000000166
2,Calidris maritima,NBNSYS0000000167
2,Phalaropus lobatus,NBNSYS0000000172
3,Calidris temminckii,NBNSYS0000000174
4,Charadrius leschenaultii,NBNSYS0000000175
2,Charadrius morinellus,NBNSYS0000000176
1,Himantopus himantopus,NBNSYS0000000180
4,Tringa solitaria,NBNSYS0000000181
4,Tringa melanoleuca,NBNSYS0000000182
4,Gallinago media,NBNSYS0000000185
4,Tringa stagnatilis,NBNSYS0000000187
1,Anas acuta,NBNSYS0000000189
2,Bucephala clangula,NBNSYS0000000191
2,Aythya marila,NBNSYS0000000193
2,Clangula hyemalis,NBNSYS0000000194
2,Melanitta fusca,NBNSYS0000000195
2,Melanitta nigra,NBNSYS0000000196
1,Somateria mollissima,NBNSYS0000000197
2,Mergus serrator,NBNSYS0000000198
3,Cygnus cygnus,NBNSYS0000000199
3,Cygnus columbianus,NBNSYS0000000200
1,Anser anser,NBNSYS0000000201
1,Branta leucopsis,NBNSYS0000000214
2,Gavia stellata,NBNSYS0000000218
3,Gavia arctica,NBNSYS0000000219
3,Gavia immer,NBNSYS0000000220
3,Podilymbus podiceps,NBNSYS0000000222
2,Podiceps grisegena,NBNSYS0000000223
2,Podiceps auritus,NBNSYS0000000224
2,Podiceps nigricollis,NBNSYS0000000225
3,Calonectris diomedea,NBNSYS0000000230
