taxon,tvk,km100,km10,coord_system
Accipiter gentilis,NHMSYS0000530119,HX,51 62,OSGB
Accipiter gentilis,NHMSYS0000530119,HY,10 20 21 22 23 30 31 32 33 34 35 40 41 42 43 44 45 50 51 52 53 54 55 60 61 62 63 64 72 73 74 75,OSGB
Accipiter gentilis,NHMSYS0000530119,NB,90 91,OSGB
Accipiter gentilis,NHMSYS0000530119,NC,00 01 02 03 10 11 12 13 14 15 16 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 37 40 41 42 43 44 45 46 47 50 51 52 53 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 76 80 81 82 83 84 85 86 90 91 92 93 94 95 96,OSGB
Accipiter gentilis,NHMSYS0000530119,ND,01 02 03 04 05 06 07 12 13 14 15 16 17 19 23 24 25 26 27 28 29 33 34 35 36 37 38 39 47 48 49 59,OSGB
Accipiter gentilis,NHMSYS0000530119,NG,10 13 14 15 20 23 24 25 26 30 31 32 33 34 35 36 37 38 40 41 42 43 44 45 46 47 50 51 52 53 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,NH,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98,OSGB
Accipiter gentilis,NHMSYS0000530119,NJ,00 01 02 03 04 05 06 10 11 12 13 14 15 16 17 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 53 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 76 80 81 82 83 84 85 86 90 91 92 93 94 95 96,OSGB
Accipiter gentilis,NHMSYS0000530119,NK,02 03 04 05 06 13 14 15,OSGB
Accipiter gentilis,NHMSYS0000530119,NM,19 29 37 38 39 46 47 48 49 54 55 56 57 59 64 65 66 67 68 69 73 74 75 76 77 78 79 84 85 86 87 88 89 94 95 96 97 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,NN,04 05 06 07 08 09 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 45 46 47 48 49 50 51 52 53 54 56 57 58 59 60 61 62 63 67 68 69 70 71 73 77 78 79 80 88 89 90 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,NO,00 07 08 09 15 16 17 18 19 23 24 25 26 27 28 29 32 33 34 35 36 37 38 39 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 63 64 65 66 67 68 69 74 75 76 77 78 79 86 87 88 89 99,OSGB
Accipiter gentilis,NHMSYS0000530119,NR,82 83 84 91 92 93 94 95,OSGB
Accipiter gentilis,NHMSYS0000530119,NS,01 02 03 04 38 39 47 48 49 57 58 59 68 69 77 78 79 86 87 88 89 97 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,NT,01 02 03 04 05 07 08 09 10 11 12 13 14 15 20 21 22 23 24 25 30 31 32 33 34 35 40 41 42 43 44 45 46 50 51 52 53 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 87 90 91 92 93 94 95 96,OSGB
Accipiter gentilis,NHMSYS0000530119,NU,00 01 02 03 04 05 10 11 12 13 14 20 21 22 23,OSGB
Accipiter gentilis,NHMSYS0000530119,NY,39 48 49 58 59 64 65 66 67 68 69 72 74 75 76 77 78 79 80 81 82 84 85 86 87 88 89 90 91 92 94 95 96 97 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,NZ,00 01 02 04 05 06 07 08 09 10 11 15 16 17 18 19 20 21 26 27 28 29 30 31 36 37 38 39 40 41 50 51 60 61 70 71 72 80 81 82 90 91,OSGB
Accipiter gentilis,NHMSYS0000530119,SD,20 21 30 31 32 33 34 35 36 40 41 42 43 44 45 46 47 50 51 52 53 54 55 56 57 61 62 63 64 65 66 67 68 69 71 72 73 74 75 76 77 78 79 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,SE,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 81 82 83 84 85 86 87 88 89 92 93 94 95 96 97 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,SH,12 13 22 23 24 27 28 29 32 33 34 36 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 78 80 81 82 83 84 85 86 87 88 90 91 92 93 94 95 96 97 98,OSGB
Accipiter gentilis,NHMSYS0000530119,SJ,00 01 02 03 04 05 06 07 08 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 48 49 50 51 52 53 54 58 59 60 61 62 63 64 69 70 71 72 73 74 80 97 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,SK,03 05 06 07 08 09 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 38 39 42 43 44 45 46 47 48 49 53 55 56 57 58 59 65 66 67 68 69,OSGB
Accipiter gentilis,NHMSYS0000530119,SM,60 62 70 71 72 73 80 81 82 83 84 90 91 92 93 94,OSGB
Accipiter gentilis,NHMSYS0000530119,SN,00 01 02 03 04 10 11 12 13 14 15 20 21 22 23 24 25 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,SO,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 88 89 90 91 92 93,OSGB
Accipiter gentilis,NHMSYS0000530119,SP,00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 51 53 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 85 90 91 92 93 94 95,OSGB
Accipiter gentilis,NHMSYS0000530119,SR,89 99,OSGB
Accipiter gentilis,NHMSYS0000530119,SS,09 19 38 39 48 49 58 59 68 69 77 78 79 87 88 89 96 97 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,ST,06 07 08 09 16 17 18 19 26 27 28 29 38 39 48 49 58 59 69 78 79 88 89 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,SU,09 19 29 78 79 88 89 97 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,TA,02 03 04 05 06 07 08 09 11 12 13 14 15 16 17 18 21 22 23 24 25 26 27 28 30 31 32 33 40 41 42,OSGB
Accipiter gentilis,NHMSYS0000530119,TF,40 41 42 50 51 52 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94,OSGB
Accipiter gentilis,NHMSYS0000530119,TG,00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 32 33 40 41 42 50 51,OSGB
Accipiter gentilis,NHMSYS0000530119,TL,00 01 49 59 68 69 78 79 87 88 89 98 99,OSGB
Accipiter gentilis,NHMSYS0000530119,TM,07 08 09 17 18 19 28 29 38 39 49,OSGB
Accipiter gentilis,NHMSYS0000530119,TQ,07 08 09,OSGB
Accipiter nisus,NHMSYS0000530120,HP,40 50 51 60 61 62,OSGB
Accipiter nisus,NHMSYS0000530120,HT,93 94,OSGB
Accipiter nisus,NHMSYS0000530120,HU,06 14 15 16 24 25 26 27 28 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 53 54 55 56 57 58 59 66 67 68 69 77,OSGB
Accipiter nisus,NHMSYS0000530120,HW,62 63 83,OSGB
Accipiter nisus,NHMSYS0000530120,HX,51 62,OSGB
Accipiter nisus,NHMSYS0000530120,HY,10 20 21 22 23 30 31 32 33 34 35 40 41 42 43 44 45 50 51 52 53 54 55 60 61 62 63 64 72 73 74 75,OSGB
Accipiter nisus,NHMSYS0000530120,HZ,16 17 26 27,OSGB
Accipiter nisus,NHMSYS0000530120,NA,00 10 64 74 81 90 91 92 93,OSGB
Accipiter nisus,NHMSYS0000530120,NB,00 01 02 03 10 11 12 13 14 20 21 22 23 24 25 30 31 32 33 34 35 40 41 42 43 44 45 46 52 53 54 55 56 90 91,OSGB
Accipiter nisus,NHMSYS0000530120,NC,00 01 02 03 10 11 12 13 14 15 16 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 37 40 41 42 43 44 45 46 47 50 51 52 53 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 76 80 81 82 83 84 85 86 90 91 92 93 94 95 96,OSGB
Accipiter nisus,NHMSYS0000530120,ND,01 02 03 04 05 06 07 12 13 14 15 16 17 19 23 24 25 26 27 28 29 33 34 35 36 37 38 39 47 48 49 59,OSGB
Accipiter nisus,NHMSYS0000530120,NF,09 19 56 58 60 61 66 67 68 70 71 72 73 74 75 76 77 80 81 82 83 84 85 86 87 88 89 95 96 97 98 99,OSGB
Accipiter nisus,NHMSYS0000530120,NG,07 08 09 10 13 14 15 18 19 20 23 24 25 26 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 49 50 51 52 53 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Accipiter nisus,NHMSYS0000530120,NH,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98,OSGB
Accipiter nisus,NHMSYS0000530120,NJ,00 01 02 03 04 05 06 10 11 12 13 14 15 16 17 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 40 41 42 43 44 45 46 50 51 52 53 54 55 56 60 61 62 63 64 65 66 70 71 72 73 74 75 76 80 81 82 83 84 85 86 90 91 92 93 94 95 96,OSGB
Accipiter nisus,NHMSYS0000530120,NK,02 03 04 05 06 13 14 15,OSGB
Accipiter nisus,NHMSYS0000530120,NL,57 58 68 69 72 73 74 75 79 80 81 82 83 84 85 86 90 91 92 93 94 95 96 97,OSGB
Accipiter nisus,NHMSYS0000530120,NM,00 01 02 03 04 05 06 07 10 11 12 13 14 15 16 17 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Accipiter nisus,NHMSYS0000530120,NN,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Accipiter nisus,NHMSYS0000530120,NO,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 63 64 65 66 67 68 69 72 74 75 76 77 78 79 86 87 88 89 99,OSGB
Accipiter nisus,NHMSYS0000530120,NR,04 05 06 07 08 09 13 14 15 16 17 18 19 23 24 25 26 27 28 29 32 33 34 35 36 37 38 39 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 91 92 93 94 95 96 97 98 99,OSGB
Accipiter nisus,NHMSYS0000530120,NS,00 01 02 03 04 05 06 07 08 09 10 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Accipiter nisus,NHMSYS0000530120,NT,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 80 81 82 83 84 85 86 87 90 91 92 93 94 95 96,OSGB
Accipiter nisus,NHMSYS0000530120,NU,00 01 02 03 04 05 10 11 12 13 14 20 21 22 23,OSGB
Accipiter nisus,NHMSYS0000530120,NW,59 69 79 89 95 96 97,OSGB
Accipiter nisus,NHMSYS0000530120,NX,03 04 05 06 07 08 09 13 14 15 16 17 18 19 24 25 26 27 28 29 30 33 34 35 36 37 38 39 40 43 44 45 46 47 48 49 54 55 56 57 58 59 64 65 66 67 68 69 74 75 76 77 78 79 84 85 86 87 88 89 90 91 92 93 95 96 97 98 99,OSGB
Accipiter nisus,NHMSYS0000530120,NY,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Accipiter nisus,NHMSYS0000530120,NZ,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 50 51 52 53 60 61 62 70 71 72 80 81 82 90 91,OSGB
