"code","taxon","tvk"
1,"Papilio machaon","NBNSYS0000005514"
2,"Plebejus argus","NBNSYS0000005539"
1,"Cacyreus marshalli","NBNSYS0100002143"
1,"Issoria lathonia","NBNSYS0100003607"
1,"Limenitis camilla","NBNSYS0100003750"
1,"Vanessa cardui","NBNSYS0100005950"
1,"Aglais urticae","NHMSYS0000501034"
1,"Apatura iris","NHMSYS0000501116"
1,"Aphantopus hyperantus","NHMSYS0000501120"
1,"Aporia crataegi","NHMSYS0000501147"
1,"Araschnia levana","NHMSYS0000501166"
1,"Argynnis paphia","NHMSYS0000501356"
2,"Boloria euphrosyne","NHMSYS0000501513"
1,"Callophrys rubi","NHMSYS0000501598"
1,"Carterocephalus palaemon","NHMSYS0000501644"
1,"Colias croceus","NHMSYS0000501953"
3,"Colias hyale","NHMSYS0000501954"
1,"Cupido minimus","NHMSYS0000502045"
2,"Cyaniris semiargus","NHMSYS0000502047"
1,"Danaus plexippus","NHMSYS0000502090"
1,"Hamearis lucina","NHMSYS0000502800"
1,"Hesperia comma","NHMSYS0000502853"
1,"Iphiclides podalirius","NHMSYS0000502952"
2,"Lampides boeticus","NHMSYS0000502994"
1,"Lasiommata megera","NHMSYS0000503020"
1,"Melitaea athalia","NHMSYS0000503190"
1,"Melitaea cinxia","NHMSYS0000503191"
1,"Pieris brassicae","NHMSYS0000503827"
1,"Pieris rapae","NHMSYS0000503832"
1,"Polygonia c-album","NHMSYS0000503893"
2,"Pontia daplidice","NHMSYS0000503906"
1,"Pyrgus malvae","NHMSYS0000504013"
1,"Satyrium pruni","NHMSYS0000504084"
1,"Satyrium w-album","NHMSYS0000504085"
1,"Thecla betulae","NHMSYS0000504486"
1,"Thymelicus acteon","NHMSYS0000504513"
2,"Thymelicus lineola","NHMSYS0000504514"
2,"Thymelicus sylvestris","NHMSYS0000504515"
1,"Vanessa atalanta","NHMSYS0000504624"
3,"Vanessa virginiensis","NHMSYS0000504626"
1,"Heteropterus morpheus","NHMSYS0000515916"
1,"Anthocharis cardamines","NHMSYS0000516186"
2,"Aricia artaxerxes","NHMSYS0000516231"
1,"Celastrina argiolus","NHMSYS0000516260"
1,"Euphydryas aurinia","NHMSYS0000516340"
1,"Gonepteryx rhamni","NHMSYS0000516380"
2,"Leptidea sinapis","NHMSYS0000516430"
1,"Lycaena dispar","NHMSYS0000516450"
1,"Lycaena phlaeas","NHMSYS0000516465"
1,"Nymphalis antiopa","NHMSYS0000516570"
2,"Nymphalis polychloros","NHMSYS0000516575"
1,"Pieris napi","NHMSYS0000516630"
1,"Polyommatus icarus","NHMSYS0000516660"
1,"Coenonympha tullia","NHMSYS0000519078"
1,"Coenonympha pamphilus","NHMSYS0000519083"
1,"Erebia aethiops","NHMSYS0000519783"
1,"Erebia epiphron","NHMSYS0000519788"
1,"Hipparchia semele","NHMSYS0000520428"
1,"Maniola jurtina","NHMSYS0000521977"
1,"Melanargia galathea","NHMSYS0000522017"
1,"Pyronia tithonus","NHMSYS0000522857"
1,"Pararge aegeria","NHMSYS0000523344"
1,"Erynnis tages","NHMSYS0000550499"
1,"Ochlodes sylvanus","NHMSYS0020755521"
1,"Phengaris arion","NHMSYS0020757917"
2,"Cupido argiades","NHMSYS0020825929"
1,"Polyommatus coridon","NHMSYS0020825965"
3,"Leptidea juvernica","NHMSYS0020978559"
1,"Favonius quercus","NHMSYS0021002801"
3,"Colias alfacariensis","NHMSYS0021143487"
2,"Boloria selene","NHMSYS0021143547"
1,"Aglais io","NHMSYS0021143568"
2,"Aricia agestis","NHMSYS0021143605"
1,"Polyommatus bellargus","NHMSYS0021143616"
2,"Speyeria aglaja","NHMSYS0021297309"
2,"Fabriciana adippe","NHMSYS0021459983"
