start_day,start_month,start_year,end_day,end_month,end_year,taxon,tvk
1,1,1700,,,,Papilio machaon,NBNSYS0000005514
1,1,1700,,,,Plebejus argus,NBNSYS0000005539
1,1,1997,,,,Cacyreus marshalli,NBNSYS0100002143
1,1,1700,,,,Issoria lathonia,NBNSYS0100003607
1,1,1700,,,,Limenitis camilla,NBNSYS0100003750
1,1,1700,,,,Vanessa cardui,NBNSYS0100005950
1,1,1700,,,,Aglais urticae,NHMSYS0000501034
1,1,1700,,,,Apatura iris,NHMSYS0000501116
1,1,1700,,,,Aphantopus hyperantus,NHMSYS0000501120
1,1,1700,1,1,1925,Aporia crataegi,NHMSYS0000501147
1,1,1700,,,,Araschnia levana,NHMSYS0000501166
1,1,1700,,,,Argynnis paphia,NHMSYS0000501356
1,1,1700,,,,Boloria euphrosyne,NHMSYS0000501513
1,1,1700,,,,Callophrys rubi,NHMSYS0000501598
1,1,1700,,,,Carterocephalus palaemon,NHMSYS0000501644
1,1,1700,,,,Colias croceus,NHMSYS0000501953
1,1,1700,,,,Colias hyale,NHMSYS0000501954
1,1,1700,,,,Cupido minimus,NHMSYS0000502045
1,1,1700,1,1,1904,Cyaniris semiargus,NHMSYS0000502047
1,1,1700,,,,Danaus plexippus,NHMSYS0000502090
1,1,1700,,,,Hamearis lucina,NHMSYS0000502800
1,1,1700,,,,Hesperia comma,NHMSYS0000502853
1,1,1700,,,,Iphiclides podalirius,NHMSYS0000502952
1,1,1700,,,,Lampides boeticus,NHMSYS0000502994
1,1,1700,,,,Lasiommata megera,NHMSYS0000503020
1,1,1700,,,,Melitaea athalia,NHMSYS0000503190
1,1,1700,,,,Melitaea cinxia,NHMSYS0000503191
1,1,1700,,,,Pieris brassicae,NHMSYS0000503827
1,1,1700,,,,Pieris rapae,NHMSYS0000503832
1,1,1700,,,,Polygonia c-album,NHMSYS0000503893
1,1,1700,,,,Pontia daplidice,NHMSYS0000503906
1,1,1700,,,,Pyrgus malvae,NHMSYS0000504013
1,1,1700,,,,Satyrium pruni,NHMSYS0000504084
1,1,1700,,,,Satyrium w-album,NHMSYS0000504085
1,1,1700,,,,Thecla betulae,NHMSYS0000504486
1,1,1700,,,,Thymelicus acteon,NHMSYS0000504513
1,1,1889,,,,Thymelicus lineola,NHMSYS0000504514
1,1,1700,,,,Thymelicus sylvestris,NHMSYS0000504515
1,1,1700,,,,Vanessa atalanta,NHMSYS0000504624
1,1,1700,,,,Vanessa virginiensis,NHMSYS0000504626
1,1,1700,,,,Heteropterus morpheus,NHMSYS0000515916
1,1,1700,,,,Anthocharis cardamines,NHMSYS0000516186
1,1,1700,,,,Aricia artaxerxes,NHMSYS0000516231
1,1,1700,,,,Celastrina argiolus,NHMSYS0000516260
1,1,1700,,,,Euphydryas aurinia,NHMSYS0000516340
1,1,1700,,,,Gonepteryx rhamni,NHMSYS0000516380
1,1,1700,,,,Leptidea sinapis,NHMSYS0000516430
1,1,1700,1,1,1864,Lycaena dispar,NHMSYS0000516450
1,1,1700,,,,Lycaena phlaeas,NHMSYS0000516465
1,1,1700,,,,Nymphalis antiopa,NHMSYS0000516570
1,1,1700,,,,Nymphalis polychloros,NHMSYS0000516575
1,1,1700,,,,Pieris napi,NHMSYS0000516630
1,1,1700,,,,Polyommatus icarus,NHMSYS0000516660
1,1,1700,,,,Coenonympha tullia,NHMSYS0000519078
1,1,1700,,,,Coenonympha pamphilus,NHMSYS0000519083
1,1,1700,,,,Erebia aethiops,NHMSYS0000519783
1,1,1700,,,,Erebia epiphron,NHMSYS0000519788
1,1,1700,,,,Hipparchia semele,NHMSYS0000520428
1,1,1700,,,,Maniola jurtina,NHMSYS0000521977
1,1,1700,,,,Melanargia galathea,NHMSYS0000522017
1,1,1700,,,,Pyronia tithonus,NHMSYS0000522857
1,1,1700,,,,Pararge aegeria,NHMSYS0000523344
1,1,1700,,,,Erynnis tages,NHMSYS0000550499
1,1,1700,,,,Ochlodes sylvanus,NHMSYS0020755521
1,1,1700,,,,Phengaris arion,NHMSYS0020757917
1,1,1700,,,,Cupido argiades,NHMSYS0020825929
1,1,1700,,,,Polyommatus coridon,NHMSYS0020825965
1,1,1700,,,,Leptidea juvernica,NHMSYS0020978559
1,1,1700,,,,Favonius quercus,NHMSYS0021002801
1,1,1700,,,,Colias alfacariensis,NHMSYS0021143487
1,1,1700,,,,Boloria selene,NHMSYS0021143547
1,1,1700,,,,Aglais io,NHMSYS0021143568
1,1,1700,,,,Aricia agestis,NHMSYS0021143605
1,1,1700,,,,Polyommatus bellargus,NHMSYS0021143616
1,1,1700,,,,Speyeria aglaja,NHMSYS0021297309
1,1,1700,,,,Fabriciana adippe,NHMSYS0021459983
