tvk,code,taxon
NBNSYS0000005231,2,Eupithecia sinuosaria
NBNSYS0000005256,1,Proserpinus proserpina
NBNSYS0000005281,3,Aporophyla lueneburgensis
NBNSYS0000005284,3,Mniotype solieri
NBNSYS0000005290,5,Polyphaenis sericata
NBNSYS0000005307,1,Hepialus humuli
NBNSYS0000005341,4,Monochroa moyses
NBNSYS0000005356,2,Phyllonorycter leucographella
NBNSYS0000005366,4,Scrobipalpa pauperella
NBNSYS0000005367,2,Prolita sexpunctella
NBNSYS0000005661,1,Zeuzera pyrina
NBNSYS0000005662,1,Cossus cossus
NBNSYS0000005663,3,Adscita statices
NBNSYS0000005670,1,Zygaena filipendulae
NBNSYS0000005673,3,Zygaena trifolii
NBNSYS0000005677,3,Zygaena lonicerae
NBNSYS0000005683,1,Apoda limacodes
NBNSYS0000005685,2,Sesia apiformis
NBNSYS0000005687,1,Paranthrene tabaniformis
NBNSYS0000005688,1,Synanthedon tipuliformis
NBNSYS0000005689,1,Synanthedon vespiformis
NBNSYS0000005691,1,Synanthedon scoliaeformis
NBNSYS0000005692,1,Synanthedon flaviventris
NBNSYS0000005693,1,Synanthedon andrenaeformis
NBNSYS0000005694,1,Synanthedon myopaeformis
NBNSYS0000005696,1,Synanthedon culiciformis
NBNSYS0000005700,1,Poecilocampa populi
NBNSYS0000005701,1,Trichiura crataegi
NBNSYS0000005702,1,Eriogaster lanestris
NBNSYS0000005703,1,Malacosoma neustria
NBNSYS0000005704,2,Malacosoma castrensis
NBNSYS0000005707,1,Lasiocampa quercus
NBNSYS0000005710,1,Macrothylacia rubi
NBNSYS0000005711,1,Dendrolimus pini
NBNSYS0000005712,1,Euthrix potatoria
NBNSYS0000005713,1,Phyllodesma ilicifolia
NBNSYS0000005714,1,Gastropacha quercifolia
NBNSYS0000005716,1,Endromis versicolora
NBNSYS0000005717,1,Falcaria lacertinaria
NBNSYS0000005720,1,Drepana falcataria
NBNSYS0000005721,3,Drepana curvatula
NBNSYS0000005722,1,Sabra harpagula
NBNSYS0000005723,1,Cilix glaucata
NBNSYS0000005724,1,Thyatira batis
NBNSYS0000005725,1,Habrosyne pyritoides
NBNSYS0000005730,2,Ochropacha duplaris
NBNSYS0000005732,1,Achlya flavicornis
NBNSYS0000005733,1,Polyploca ridens
NBNSYS0000005734,2,Archiearis parthenias
NBNSYS0000005737,1,Aplasta ononaria
NBNSYS0000005739,1,Geometra papilionaria
NBNSYS0000005743,2,Chlorissa viridata
NBNSYS0000005745,2,Thalera fimbrialis
NBNSYS0000005747,2,Jodis lactearia
NBNSYS0000005748,2,Cyclophora pendularia
NBNSYS0000005750,1,Cyclophora albipunctata
NBNSYS0000005752,3,Cyclophora porata
NBNSYS0000005753,2,Cyclophora punctaria
NBNSYS0000005756,1,Scopula immorata
NBNSYS0000005757,2,Scopula nigropunctata
NBNSYS0000005760,1,Scopula ornata
NBNSYS0000005761,1,Scopula rubiginata
NBNSYS0000005762,1,Scopula marginepunctata
NBNSYS0000005765,2,Scopula immutata
NBNSYS0000005766,2,Scopula floslactata
NBNSYS0000005770,2,Idaea serpentata
NBNSYS0000005771,2,Idaea muricata
NBNSYS0000005775,2,Idaea biselata
NBNSYS0000005778,2,Idaea fuscovenosa
NBNSYS0000005779,3,Idaea humiliata
NBNSYS0000005780,2,Idaea seriata
NBNSYS0000005781,2,Idaea dimidiata
NBNSYS0000005782,2,Idaea subsericeata
NBNSYS0000005784,2,Idaea trigeminata
NBNSYS0000005785,1,Idaea emarginata
NBNSYS0000005786,1,Idaea aversata
NBNSYS0000005788,2,Idaea straminata
NBNSYS0000005789,1,Rhodometra sacraria
NBNSYS0000005791,1,Phibalapteryx virgata
NBNSYS0000005792,1,Orthonama vittata
NBNSYS0000005794,2,Xanthorhoe biriviata
NBNSYS0000005795,1,Xanthorhoe designata
NBNSYS0000005800,2,Xanthorhoe ferrugata
NBNSYS0000005803,1,Xanthorhoe fluctuata
NBNSYS0000005804,5,Scotopteryx moeniata
NBNSYS0000005807,1,Scotopteryx chenopodiata
NBNSYS0000005809,3,Scotopteryx mucronata
NBNSYS0000005814,1,Catarhoe cuculata
NBNSYS0000005815,2,Epirrhoe tristata
NBNSYS0000005819,2,Costaconvexa polygrammata
NBNSYS0000005825,1,Larentia clavaria
NBNSYS0000005828,1,Mesoleuca albicillata
NBNSYS0000005829,1,Pelurga comitata
NBNSYS0000005831,2,Lampropteryx otregiata
NBNSYS0000005832,1,Cosmorhoe ocellata
NBNSYS0000005834,1,Eulithis prunata
NBNSYS0000005835,1,Eulithis testata
NBNSYS0000005836,2,Eulithis populata
NBNSYS0000005837,2,Eulithis mellinata
NBNSYS0000005840,2,Chloroclysta siterata
NBNSYS0000005841,2,Chloroclysta miata
NBNSYS0000005845,1,Cidaria fulvata
NBNSYS0000005850,2,Thera cognata
NBNSYS0000005851,1,Thera juniperata
NBNSYS0000005853,1,Electrophaes corylata
NBNSYS0000005855,2,Colostygia multistrigaria
NBNSYS0000005856,1,Colostygia pectinataria
NBNSYS0000005857,1,Hydriomena furcata
NBNSYS0000005867,2,Rheumaptera hastata
NBNSYS0000005870,2,Triphosa dubitata
NBNSYS0000005872,2,Philereme transversata
NBNSYS0000005873,2,Euphyia biangulata
NBNSYS0000005874,2,Euphyia unangulata
NBNSYS0000005876,4,Epirrita christyi
NBNSYS0000005877,3,Epirrita autumnata
NBNSYS0000005879,2,Operophtera brumata
NBNSYS0000005880,2,Operophtera fagata
NBNSYS0000005882,2,Perizoma affinitata
NBNSYS0000005883,2,Perizoma alchemillata
NBNSYS0000005884,2,Perizoma bifaciata
NBNSYS0000005890,1,Perizoma flavofasciata
NBNSYS0000005896,2,Eupithecia plumbeolata
NBNSYS0000005897,2,Eupithecia abietaria
NBNSYS0000005906,1,Eupithecia venosata
NBNSYS0000005912,2,Eupithecia intricata
NBNSYS0000005916,2,Eupithecia satyrata
NBNSYS0000005918,2,Eupithecia absinthiata
NBNSYS0000005920,2,Eupithecia assimilata
NBNSYS0000005921,3,Eupithecia expallidata
NBNSYS0000005922,2,Eupithecia vulgata
