taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Abraxas grossulariata,NBNSYS0000005975,1,1,1700,,,
Abraxas sylvata,NBNSYS0000005976,1,1,1700,,,
Abrostola tripartita,NBNSYS0100001391,1,1,1700,,,
Abrostola triplasia,NBNSYS0000006555,1,1,1700,,,
Acanthopsyche atra,NHMSYS0000500906,1,1,1700,,,
Acasis viretata,NHMSYS0021144153,1,1,1700,,,
Acentria ephemerella,NHMSYS0021143779,1,1,1700,,,
Acherontia atropos,NBNSYS0000006064,1,1,1700,,,
Achlya flavicornis,NBNSYS0000005732,1,1,1700,,,
Achlya flavicornis flavicornis,NHMSYS0021143801,1,1,1700,,,
Achlya flavicornis galbanus,NHMSYS0021143802,1,1,1700,,,
Achlya flavicornis scotica,NHMSYS0021143803,1,1,1700,,,
Achroia grisella,NHMSYS0000500919,1,1,1700,,,
Acleris abietana,NHMSYS0021143078,1,1,1700,,,
Acleris aspersana,NHMSYS0021143095,1,1,1700,,,
Acleris bergmanniana,NBNSYS0100001405,1,1,1700,,,
Acleris caledoniana,NHMSYS0000500924,1,1,1700,,,
Acleris comariana,NHMSYS0000500925,1,1,1700,,,
Acleris cristana,NHMSYS0021143093,1,1,1700,,,
Acleris effractana,NHMSYS0021143085,1,1,1700,,,
Acleris emargana,NHMSYS0000500927,1,1,1700,,,
Acleris ferrugana,NHMSYS0021143099,1,1,1700,,,
Acleris forsskaleana,NBNSYS0100001406,1,1,1700,,,
Acleris hastiana,NHMSYS0000500930,1,1,1700,,,
Acleris holmiana,NBNSYS0100001407,1,1,1700,,,
Acleris hyemana,NHMSYS0000500931,1,1,1700,,,
Acleris kochiella,NHMSYS0000500932,1,1,1700,,,
Acleris laterana,NHMSYS0000500933,1,1,1700,,,
Acleris lipsiana,NHMSYS0021143106,1,1,1700,,,
Acleris literana,NHMSYS0000500936,1,1,1700,,,
Acleris logiana,NHMSYS0000500937,1,1,1700,,,
Acleris lorquiniana,NHMSYS0000500938,1,1,1700,,,
Acleris maccana,NHMSYS0000500939,1,1,1700,,,
Acleris notana,NHMSYS0000500940,1,1,1700,,,
Acleris permutana,NHMSYS0000500941,1,1,1700,,,
Acleris rhombana,NHMSYS0021143081,1,1,1700,,,
Acleris rufana,NHMSYS0021143107,1,1,1700,,,
Acleris schalleriana,NHMSYS0000500944,1,1,1700,,,
Acleris shepherdana,NHMSYS0000500945,1,1,1700,,,
Acleris sparsana,NHMSYS0021143079,1,1,1700,,,
Acleris umbrana,NHMSYS0021143091,1,1,1700,,,
Acleris variegana,NHMSYS0021143094,1,1,1700,,,
Acompsia cinerella,NHMSYS0000500952,1,1,1700,,,
Acompsia schmidtiellus,NBNSYS0100001410,1,1,1700,,,
Acontia lucida,NBNSYS0000006521,1,1,1800,,,
Acontia trabealis,NHMSYS0021144491,1,1,1700,25,6,1960
Acosmetia caliginosa,NHMSYS0021144548,1,1,1700,,,
Acrobasis advenella,NHMSYS0021128173,1,1,1700,,,
Acrobasis consociella,NHMSYS0021143656,1,1,1700,,,
Acrobasis marmorea,NHMSYS0021128185,1,1,1700,,,
Acrobasis repandana,NHMSYS0021143654,1,1,1700,,,
Acrobasis suavella,NHMSYS0021128191,1,1,1700,,,
Acrobasis tumidana,NHMSYS0021143651,1,1,1700,,,
Acrocercops brongniardella,NHMSYS0000500964,1,1,1700,,,
Acroclita subsequana,NHMSYS0000500966,1,1,1700,,,
Acrolepia autumnitella,NBNSYS0000026058,1,1,1700,,,
Acrolepiopsis assectella,NHMSYS0000500971,1,1,1700,,,
Acrolepiopsis betulella,NHMSYS0000500972,1,1,1700,,,
Acrolepiopsis marcidella,NHMSYS0000500973,1,1,1700,,,
Acronicta aceris,NBNSYS0000006374,1,1,1700,,,
Acronicta alni,NBNSYS0000006376,1,1,1700,,,
Acronicta auricoma,NHMSYS0021144508,1,1,1700,31,12,1912
Acronicta cinerea,NHMSYS0021144509,1,1,1700,,,
Acronicta leporina,NBNSYS0000006375,1,1,1700,,,
Acronicta menyanthidis,NBNSYS0000006381,1,1,1700,,,
Acronicta menyanthidis menyanthidis,NHMSYS0021144506,1,1,1700,,,
Acronicta menyanthidis scotica,NHMSYS0021144507,1,1,1700,,,
Acronicta psi,NBNSYS0000006379,1,1,1700,,,
Acronicta rumicis,NBNSYS0000006384,1,1,1700,,,
Acronicta strigosa,NHMSYS0021144504,1,1,1700,31,12,1933
Acronicta tridens,NHMSYS0021144501,1,1,1700,,,
Actebia fennica,NBNSYS0000006186,1,8,1850,,,
Actebia praecox,NBNSYS0000006185,1,1,1700,,,
Actinotia polyodon,NBNSYS0000006183,1,6,1839,,,
Adaina microdactyla,NHMSYS0021142957,1,1,1700,,,
Adela croesella,NHMSYS0000500990,1,1,1700,,,
Adela cuprella,NHMSYS0021142163,1,1,1700,,,
Adela reaumurella,NBNSYS0100001422,1,1,1700,,,
Adoxophyes orana,MM0001Z10045DSS1,1,1,1700,,,
Adscita geryon,NHMSYS0000501001,1,1,1700,,,
Adscita geryon geryon,NHMSYS0021143419,1,1,1700,,,
Adscita statices,NBNSYS0000005663,1,1,1700,,,
Adscita statices statices,NHMSYS0021143418,1,1,1700,,,
Aedia funesta,NHMSYS0021126078,13,6,2014,,,
Aedia leucomelas,NHMSYS0020531219,11,9,2006,,,
Aethalura punctulata,NHMSYS0021144260,1,1,1700,,,
Aethes beatricella,NHMSYS0000501007,1,1,1700,,,
Aethes bilbaensis,NHMSYS0021143138,1,7,2008,,,
Aethes cnicana,NHMSYS0000501008,1,1,1700,,,
Aethes dilucidana,NHMSYS0000501009,1,1,1700,,,
Aethes fennicana,NHMSYS0021167174,19,8,2006,,,
Aethes fennicana fennicana,NHMSYS0021143139,1,1,2006,,,
Aethes francillana,NHMSYS0000501010,1,1,1700,,,
Aethes hartmanniana,NHMSYS0000501011,1,1,1700,,,
Aethes margaritana,NHMSYS0000501012,1,1,1700,,,
Aethes margarotana,NHMSYS0000501013,1,1,1700,,,
Aethes piercei,NHMSYS0000501014,1,1,1700,,,
Aethes rubigana,NHMSYS0000501015,1,1,1700,,,
Aethes rutilana,NHMSYS0021143134,1,1,1700,,,
Aethes smeathmanniana,NHMSYS0000501017,1,1,1700,,,
Aethes tesserana,NHMSYS0021143135,1,1,1700,,,
Aethes williana,NHMSYS0000501019,1,1,1700,,,
Agapeta hamana,NHMSYS0000501023,1,1,1700,,,
Agapeta zoegana,NHMSYS0000501024,1,1,1700,,,
Agdistis bennetii,NHMSYS0000501029,1,1,1700,,,
Agdistis meridionalis,NBNSYS0100001387,1,1,1700,,,
Agdistis tamaricis,NHMSYS0020973907,1,1,1700,,,
Aglossa caprealis,NHMSYS0021143694,1,1,1700,,,
Aglossa pinguinalis,NHMSYS0000501040,1,1,1700,,,
Agnoea flavifrontella,NHMSYS0021166475,1,1,1700,,,
Agnoea josephinae,NHMSYS0021166493,1,1,1700,,,
Agnoea subochreella,NHMSYS0021166481,1,1,1700,,,
Agonopterix alstromeriana,NHMSYS0000501042,1,1,1700,,,
Agonopterix angelicella,NHMSYS0021142595,1,1,1700,,,
Agonopterix arenella,NHMSYS0021142586,1,1,1700,,,
Agonopterix assimilella,NHMSYS0000501046,1,1,1700,,,
Agonopterix astrantiae,NHMSYS0000501047,1,1,1700,,,
Agonopterix atomella,NHMSYS0021142583,1,1,1700,,,
