"start_day","start_month","end_day","end_month","stage","taxon","tvk"
1,6,31,10,"mature","Scythris potentillella","MM0001Z1000RH411"
1,6,21,7,"mature","Bucculatrix humiliella","MM0001Z1003R8501"
1,6,31,10,"mature","Adoxophyes orana","MM0001Z10045DSS1"
1,8,7,9,"mature","Levipalpus hepatariella","MM0001Z1005LL6O1"
7,5,15,9,"mature","Hyles gallii","MM0001Z10063HLV1"
21,4,31,7,"mature","Hypomecis punctinalis","MM0001Z100758RH1"
15,6,21,11,"mature","Thysanoplusia orichalcea","MM0001Z100B1FMS1"
1,6,31,8,"mature","Xanthorhoe quadrifasiata","MM0001Z100BZSUG1"
15,4,21,7,"mature","Euclidia glyphica","MM0001Z100DH5JN1"
15,6,30,9,"mature","Hypenodes humidalis","MM0001Z100DMN711"
1,9,31,10,"mature","Meganephria bimaculosa","MM0001Z100H6VVQ1"
1,6,31,12,"mature","Palpita vitrealis","MM0001Z100HTMPQ1"
1,6,30,6,"mature","Retinia resinella","MM0001Z100QKZ9J1"
1,2,31,10,"mature","Duponchelia fovealis","MM0001Z1D7P511Z1"
1,10,7,11,"mature","Herpetogramma licarsisalis","MM0001Z1GPZNU1ZJ"
1,1,31,1,"mature","Ancylodes pallens","MM0001Z1GTI8C1MY"
7,1,21,9,"mature","Dryobota labecula","MM0001Z1Q00021ZZ"
1,6,31,8,"mature","Eupithecia sinuosaria","NBNSYS0000005231"
21,5,31,8,"mature","Proserpinus proserpina","NBNSYS0000005256"
21,7,15,10,"mature","Aporophyla lueneburgensis","NBNSYS0000005281"
1,8,30,9,"mature","Mniotype solieri","NBNSYS0000005284"
15,6,15,8,"mature","Polyphaenis sericata","NBNSYS0000005290"
21,5,31,8,"mature","Hepialus humuli","NBNSYS0000005307"
21,5,31,7,"mature","Monochroa moyses","NBNSYS0000005341"
1,4,31,10,"mature","Phyllonorycter leucographella","NBNSYS0000005356"
21,5,7,7,"mature","Scrobipalpa pauperella","NBNSYS0000005366"
1,5,7,7,"mature","Prolita sexpunctella","NBNSYS0000005367"
1,6,31,8,"mature","Zeuzera pyrina","NBNSYS0000005661"
15,5,15,7,"mature","Cossus cossus","NBNSYS0000005662"
7,5,7,8,"mature","Adscita statices","NBNSYS0000005663"
21,5,15,9,"mature","Zygaena filipendulae","NBNSYS0000005670"
1,5,21,8,"mature","Zygaena trifolii","NBNSYS0000005673"
21,5,15,8,"mature","Zygaena lonicerae","NBNSYS0000005677"
1,6,7,8,"mature","Apoda limacodes","NBNSYS0000005683"
7,5,31,7,"mature","Sesia apiformis","NBNSYS0000005685"
21,5,31,7,"mature","Paranthrene tabaniformis","NBNSYS0000005687"
21,5,31,7,"mature","Synanthedon tipuliformis","NBNSYS0000005688"
1,5,31,8,"mature","Synanthedon vespiformis","NBNSYS0000005689"
1,6,31,7,"mature","Synanthedon scoliaeformis","NBNSYS0000005691"
15,6,21,7,"mature","Synanthedon flaviventris","NBNSYS0000005692"
